"event_id","site_id","basin","sample_date","arrivetime","crew","depth","width","cur_spd","algae_diaoms_presen","thickness_diatoms_present","macrophyte_pct","canopy","embeddedness","rock","rubble","gravel","sand","silt","clay","land_use","general_comment","field_water_qlty","habitat","lgs_habitat_bank","lgs_habitat_macrophyte","lgs_habitat_snag","lgs_habitat_substrate","bottom_type","dominant_substrate","water_clarity_driver","macro_comment","gradient","epifaunal_cover","embeddedness_pooling","velocity_depth_regime","sediment_deposition","flow_status","channel_alteration","riffle_bend_frequency","left_bank_stability","right_bank_stability","left_bank_veg","right_bank_veg","left_bank_veg_zone","right_bank_veg_zone","habitat_comment","temp","spcond","do_conc","do_pct_sat","ph","salinity","photo","photo_2","ref_field_yn","riffle_present","chl_a","site_condition_v1","site_condition_v2","site_condition_notes","microtox","pht_id_up","pht_id_dwn","hab_present","biosample","habitat_total_score","event_id_date","snag_present"
"17-PENA-1.4_20180912","17-PENA-1.4",17,2018-09-12 04:00:00,10:54:00,"Lojpersberger,Woltmann",0.3,4,25,10,1,70,70,0,0,0,5,85,10,0,"Commercial",NA,NA,"Sand",2,2,2,2,"Soft","Sand","Turbidity","Sand swampy drainage near tidal zone but still fresh.   Next to active industrial","Low",14,12,8,8,16,10,11,9,10,7,5,4,2,NA,18,536,5.2,55,6.18,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912","Y"
"17-SANT-1.7_20180912","17-SANT-1.7",17,2018-09-12 04:00:00,13:57:00,"Lojpersberger,Woltmann",0.36,2,40,20,1,40,50,10,0,20,65,10,5,0,"Residential",NA,"Poor","Sand",2,2,1,2,"Hard","Gravel","Turbidity","Stream accessed behind house on cul de sac.","Low",14,12,11,16,17,8,6,6,4,6,2,5,1,NA,19,382,4.5,48,6.23,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912","Y"
"17-EMED-0.4_20180912","17-EMED-0.4",17,2018-09-12 04:00:00,15:12:00,"Lojpersberger,Woltmann",0.4,7,30,10,1,60,50,10,0,0,40,50,10,0,"Commercial",NA,"Poor","Sand",2,2,2,2,"Soft","Sand","Turbidity","Carp swimming in Area.  Low grDient urban stream","Low",13,5,5,9,12,4,6,8,8,5,5,1,1,NA,20,619,6,68,6.22,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912","Y"
"04-BLAK_N_T1-1.1_20190723","04-BLAK_N_T1-1.1",4,2019-07-23 04:00:00,13:09:00,"Conine,Lemley",0.2,3,10,NA,-9999,30,60,NA,5,0,0,0,95,0,"Agriculture",NA,NA,NA,2,2,2,2,"Very_soft","Silt",NA,NA,"Low",16,15,7,16,15,14,8,8,7,9,9,6,5,NA,18,774,6.76,71.9,7.65,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190723","Y"
"04-BLAK_T16-0.8_20190723","04-BLAK_T16-0.8",4,2019-07-23 04:00:00,14:18:00,"Conine,Lemley",0.1,0.5,20,0,0,10,30,NA,0,0,10,0,90,0,"Agriculture",NA,NA,NA,2,2,1,2,"Soft","Silt","DOC",NA,"Low",5,8,3,11,9,6,3,6,6,4,4,5,5,NA,21,627,9.12,102,8.29,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190723","Y"
"04-MCMI_S-5.0_20190723","04-MCMI_S-5.0",4,2019-07-23 04:00:00,14:40:00,"Schnore,Vanvessum",NA,4,2,NA,1,30,70,70,0,30,10,60,0,0,"Forest",NA,"Good","Sand",2,2,2,2,"Soft","Sand","Turbidity","Low gradient sandy bottom with rubble on top









","Low",16,18,7,16,18,19,7,9,9,9,9,5,9,NA,23,316,6.9,86,7.62,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190723","Y"
"04-WCONI-0.6_20190723","04-WCONI-0.6",4,2019-07-23 04:00:00,15:20:00,"Vanvessum,Schnore",0.15,3,27.3,20,1,20,70,80,10,0,40,30,20,0,"Forest",NA,"Good","Adequate",2,2,2,2,"Soft","Silt","Turbidity","2020-02-12 NOTE- SDG date and sample dates were entered in reverse. Corrected these and HABs IDs accordingly.","Low",15,10,10,10,17,15,5,8,10,3,9,6,10,NA,22,399,5.8,70,7.44,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190723","Y"
"04-JCOX_S-3.7_20190723","04-JCOX_S-3.7",4,2019-07-23 04:00:00,16:27:00,"Vanvessum,Schnore",NA,NA,-5,0,0,90,20,100,1,NA,NA,NA,99,NA,NA,NA,"Very_poor","Low_flow",2,2,0,2,"Very_soft","Silt",NA,NA,"Low",10,10,10,20,10,10,10,6,10,10,10,5,5,NA,21,901,3.8,45,7.35,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190723","N"
"04-WDIT-0.1_20190724","04-WDIT-0.1",4,2019-07-24 04:00:00,12:00:00,"Heitzman,Nichols",0.5,5,30,NA,-9999,10,80,NA,0,0,0,0,15,85,"Agriculture",NA,NA,NA,2,0,2,2,"Very_soft","Clay","Turbidity","Took 3 of 4 low gradient habitats Only tiny macrophytes, none in water anymore","Low",5,5,7,8,7,17,11,4,3,9,2,9,2,NA,20,562,6.94,76.7,7.75,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190724","Y"
"04-BLCE-5.2_20190724","04-BLCE-5.2",4,2019-07-24 04:00:00,15:40:00,"Lemley,Conine",0.8,15,25,10,1,10,20,10,0,10,0,0,90,0,"Forest",NA,"Poor","Adequate",2,0,1,2,"Soft","Silt","DOC",NA,"Low",12,10,12,14,14,14,7,8,8,9,8,9,8,NA,23,114,8.75,102.2,7.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190724","Y"
"04-WMRSG-0.2_20190725","04-WMRSG-0.2",4,2019-07-25 04:00:00,10:18:00,"Conine,Lemley",0.5,6,10,20,3,20,10,NA,0,0,15,0,85,0,"Forest",NA,"Good","Adequate",2,2,2,2,"Soft","Silt","Turbidity","Low gradient. Sampled above Wag Trail walking bridge in nature preserve.","Low",20,18,15,20,15,20,20,10,10,10,10,10,10,NA,20,129,7.52,81.8,7.24,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190725","Y"
"14-TENR-3.7_20190821","14-TENR-3.7",14,2019-08-21 04:00:00,10:02:00,"Schnore,Lemley",0.75,12,10,80,3,20,0,NA,10,10,0,40,10,30,"Wetland",NA,NA,NA,2,2,2,2,"Soft","Sand","DOC","Do not access from <U+0093>5th street<U+0094> as per google maps. Use lake shore drive.","Low",15,14,13,18,20,20,17,10,10,10,10,10,10,NA,21,108,7.53,84.5,7.26,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190821","Y"
"09-MARA-4.5_20190910","09-MARA-4.5",9,2019-09-10 04:00:00,11:11:00,"Vanvessum,Lemley",1,15,5,NA,-9999,NA,0,NA,0,0,0,0,70,30,"Forest",NA,"Poor","Low_flow",2,2,0,2,"Soft","Silt","DOC",NA,"Low",6,12,11,17,18,19,19,10,10,10,10,10,10,NA,15,81,7.19,72,6.72,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190910","N"
"09-BIBK-5.4_20190910","09-BIBK-5.4",9,2019-09-10 04:00:00,13:10:00,"Lemley,Vanvessum",1,10,10,50,3,30,0,10,NA,NA,NA,NA,NA,NA,"Forest",NA,"Good","Adequate",2,2,0,2,"Hard","Sand","Turbidity",NA,"Low",10,14,18,19,19,20,19,10,10,10,10,7,7,NA,16,46,9.16,92.4,7.03,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190910","N"
"09-LTTL-13.2_20190910","09-LTTL-13.2",9,2019-09-10 04:00:00,14:08:00,"Conine,Stoll",1.75,4,20,0,0,50,40,70,0,10,5,5,40,40,"Forest",NA,"Very_poor","Adequate",2,0,2,2,"Very_soft","Silt","Turbidity","Low gradient with deep channel. Lots of leaf litter. No observable bugs in net. Very turbid and tannic.","Low",10,7,12,4,10,6,5,6,5,6,3,7,2,NA,18,390,6.63,74,6.14,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190910","Y"
"09-FSCR-9.2_20190911","09-FSCR-9.2",9,2019-09-11 04:00:00,09:32:00,"Duffy,Smith_Z",2,15,1,50,3,60,0,NA,NA,NA,100,NA,NA,NA,"Agriculture",NA,"Poor","Other",2,2,0,2,"Hard","Gravel","DOC","Low gradient site that was deep and hard to access. No snags present and definitely a wetland associated lg stream. Bottom was gravely in area sampled.","Low",9,8,6,18,20,17,12,10,10,10,10,10,9,NA,16,250,3.1,33,6.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190911","N"
"09-WHIK-0.8_20190911","09-WHIK-0.8",9,2019-09-11 04:00:00,10:42:00,"Duffy,Smith_Z",0.3,4,30,100,3,20,10,NA,NA,NA,100,NA,NA,NA,"Agriculture",NA,"Good","Other",2,2,1,2,"Hard","Gravel","Turbidity","Low gradient stream with a riffle present. Textbook example of both habitats present but we sampled low gradient because it was dominantp","Low",12,14,13,13,16,13,11,3,7,3,5,0,0,NA,17,531,7.54,78.3,7.82,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190911","Y"
"09-CHPW-11.0_20190917","09-CHPW-11.0",9,2019-09-17 04:00:00,12:15:00,"Lemley,Stoll",1,4,0.1,NA,-9999,70,30,NA,0,0,0,0,100,0,"Agriculture",NA,"Poor","Low_flow",2,2,2,2,"Very_soft","Silt","Susp_algae","No visible flow. Active flow from small trib on n bank.","Low",20,18,14,16,17,17,18,10,10,3,3,7,7,NA,13,604,2.5,24,7.36,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190917","Y"
"09-OTTS-0.2_20190917","09-OTTS-0.2",9,2019-09-17 04:00:00,15:52:00,"Lemley,Stoll",0.2,3,5,NA,-9999,10,20,NA,0,0,10,0,90,0,"Wetland",NA,"Good","Adequate",2,2,0,2,"Very_soft",NA,"Turbidity",NA,"Low",13,12,11,16,17,20,18,10,10,10,10,10,10,NA,18,334,6,63,7.28,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190917","N"
"09-SOAP-0.8_20190918","09-SOAP-0.8",9,2019-09-18 04:00:00,08:44:00,"Lemley,Stoll",0.5,3,5,NA,-9999,50,30,NA,0,0,0,0,100,0,"Agriculture",NA,"Poor","Adequate",2,2,0,2,"Very_soft","Silt",NA,NA,"Low",12,16,10,16,14,18,13,10,10,7,7,6,5,NA,13,516,6,57,7.59,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20190918","N"
"01-FISN-2.4_20150804","01-FISN-2.4",1,2015-08-04 00:00:00,17:03:00,"Heitzman Pratt",0.3,4,0,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,"Field",NA,NA,NA,0,2,0,2,"Very soft","Clay","Turb",NA,NA,5,13,10,6,15,10,0,10,10,9,9,3,3,"Swamp",20.8,2132,2.27,25.5,7.4,NA,"14392991020003.jpg","14392991020004.jpg",NA,"No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150804","N"
"01-GILL-0.3_20150804","01-GILL-0.3",1,2015-08-04 00:00:00,17:45:00,"Heitzman Pratt",0.7,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,NA,NA,10,10,10,5,11,10,4,8,8,8,8,5,5,NA,24.4,476,11.74,1.4,8.8,NA,"14392991020005.jpg","14392991020006.jpg","No",NA,NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150804",NA
"01-GOTC-0.2_20150804","01-GOTC-0.2",1,2015-08-04 00:00:00,16:12:00,"Duffy Mosher",0.2,3,29,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,"Forest residential condos","Big Odonata; nasty site; channelized behind condos",NA,NA,0,2,1,2,"Very soft","Silt","Turb",NA,NA,4,3,3,7,16,2,2,9,9,8,8,10,2,"Gross, highly channelized behind condos",21.5,2108,12.5,142,7.8,NA,"14389715920003.jpg","14389715920004.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150804","Y"
"01-LSIS-2.4_20150805","01-LSIS-2.4",1,2015-08-05 00:00:00,11:28:00,"Duffy Mosher",0.3,20,1,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,"Forest","Bedrock and gravel in places but predominantly mushy clay",NA,NA,2,2,2,2,"Soft","Gravel","Turb",NA,NA,17,14,15,13,19,15,13,9,8,9,8,6,10,NA,20.7,909,3.6,40.6,7.5,NA,"14389715920005.jpg","14389715920006.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150805","Y"
"01-MURD-20.0_20150804","01-MURD-20.0",1,2015-08-04 00:00:00,12:40:00,"Duffy Mosher",0.2,5,0.07,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,"Forest agriculture","Very hard bottom. Lots of macrophytes",NA,NA,2,2,2,2,"Hard","Gravel","Turb",NA,NA,17,18,17,15,17,15,17,6,9,10,10,9,2,"Hard bottom, lots of macrophytes",21,636,7,79,7.5,NA,"14389715920001.jpg","14389715920002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150804","Y"
"01-PION-0.9_20150805","01-PION-0.9",1,2015-08-05 00:00:00,12:38:00,"Duffy Mosher",0.5,4,0,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Residential Forest","Site was recently undammed. No flow at all",NA,NA,2,2,2,2,"Soft","Clay","Turb",NA,NA,12,16,6,13,12,13,14,5,5,6,6,10,10,"Looks like it used to be dammed",22.2,711,4.7,54,7.8,NA,"14389715920007.jpg","14389715920008.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150805","Y"
"01-PLUT_N_T4-1.0_20150707","01-PLUT_N_T4-1.0",1,2015-07-07 00:00:00,18:08:00,"Duffy RSmith",0.2,1,0.1,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,"Suburban","Root mat bottom small site moved from inside airport fence.good variety of bugs",NA,NA,-9999,-9999,-9999,-9999,"Soft","Silt","Turb",NA,NA,10,5,5,18,20,17,12,8,9,10,10,4,8,NA,23.1,664,5.6,66,7.5,NA,"14363970980015.jpg","14363970980016.jpg","No","No",1.9,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150707",NA
"01-STYB_T5-0.3_20150708","01-STYB_T5-0.3",1,2015-07-08 00:00:00,12:37:00,"BDuffy; RSmith",0.1,0.3,0.4,NA,NA,0,45,NA,NA,NA,NA,NA,NA,NA,"Wetlands","Directly downstream of beaver dam.",NA,NA,2,0,2,2,"Very soft","Silt",NA,NA,NA,17,6,13,9,19,18,12,4,3,3,3,9,9,"Site directly down stream of beaver dam.",17.79,282,6.9,72.7,7.2,NA,"14363970980021.jpg","14363970980022.jpg","No","No",1.39,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150708","Y"
"01-TONA-103.5_20150806","01-TONA-103.5",1,2015-08-06 00:00:00,11:15:00,"Duffy Mosher",0.3,1.5,38,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Forest agriculture","No macrophytes; many cobbles",NA,NA,2,0,2,2,"Soft","Silt","Turb",NA,NA,18,19,17,15,18,13,18,9,9,10,3,9,8,"Channelized through pasture downstream",15,487,10.2,101,8.1,NA,"14389715920011.jpg","14389715920012.jpg","No","Yes",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150806","Y"
"03-BEAG-1.8_20150722","03-BEAG-1.8",3,2015-07-22 00:00:00,09:26:00,"JL/JD",1,4,2,NA,NA,10,96,NA,NA,NA,NA,NA,NA,NA,"AG","Nearly still water",NA,NA,2,2,2,2,"Soft","Sand","Turb",NA,NA,7,8,1,6,12,15,9,8,7,7,8,4,6,NA,19,820,4.69,49,7.78,NA,"14377589820009.jpg","14377589820010.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150722","Y"
"03-CHMO-8.6_20150721","03-CHMO-8.6",3,2015-07-21 00:00:00,16:23:00,"A. Smith; R. Smith",1,15,10,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Very little flow; had to move the site upstream from original coordinates due to access",NA,NA,2,2,2,2,"Very soft","Clay","Susp Algae",NA,NA,15,10,7,5,17,15,13,8,8,8,8,8,8,NA,23,506,1.2,13,7.2,NA,"14377607730005.jpg","14377607730006.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
"03-EMIL_E_T6-0.4_20150708","03-EMIL_E_T6-0.4",3,2015-07-08 00:00:00,09:32:00,"BDuffy;RSmith",0.2,1,0,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Mayfly found. May dry up during summer",NA,NA,2,2,0,2,"Hard","Gravel","Turb",NA,NA,11,5,2,17,14,7,3,8,7,3,3,2,1,"Thick mats of filamentous algae covered most of the substrate.",16.47,802,7.19,73.8,7.33,NA,"14363970980007.jpg","14363970980008.jpg","No","No",3.49,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150708","N"
"03-FOMI_S-0.1_20150721","03-FOMI_S-0.1",3,2015-07-21 00:00:00,13:45:00,"heitz novak",0.2,3,0,NA,NA,0,88,NA,NA,NA,NA,NA,NA,NA,"Rural residential",NA,NA,NA,2,0,2,2,NA,"Clay","Turb",NA,NA,10,15,5,11,13,15,13,6,6,4,4,10,9,NA,23,834,6,71,7.7,NA,"14377645430003.jpg","14377645430004.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
"03-FOMI-5.5_20150721","03-FOMI-5.5",3,2015-07-21 00:00:00,12:45:00,"Heitzman; Novak",0.2,2,15,NA,NA,50,44,NA,NA,NA,NA,NA,NA,NA,"Agricul; open fields","Scuds; Isopoda; crayfish; damsels",NA,NA,2,2,0,2,"Soft","Clay","Turb",NA,NA,10,11,6,17,13,15,10,8,8,9,8,9,7,NA,21.8,908,4.7,54,7.4,NA,"14377645430001.jpg","14377645430002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","N"
"03-GUFF-0.9_20150721","03-GUFF-0.9",3,2015-07-21 00:00:00,14:34:00,"A. Smith; R. Smith",0.3,5,10,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,"Agricultural","Impounded by beaver dam so there is very little flow if any. Filamentous algae and macrophytes cover the entire surface area of the water.",NA,NA,2,2,2,2,"Very soft","Clay","Turb",NA,NA,17,5,3,7,17,17,10,7,7,8,8,10,10,NA,24.6,373,1.7,20,6.9,NA,"14377607730003.jpg","14377607730004.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
"03-HRTB-2.2_20150721","03-HRTB-2.2",3,2015-07-21 00:00:00,12:53:00,"A. Smith; R. Smith",0.2,3,70,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Agricultural and residential","Small; shallow low gradient stream with exposed roots from riparian vegetation.",NA,NA,2,2,2,2,"Soft","Sand","Turb",NA,NA,14,16,8,12,17,13,9,6,8,5,8,2,2,NA,22,718,7.1,80,7.7,NA,"14377607730001.jpg","14377607730002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
"03-JEDO_T3-0.4_20150708","03-JEDO_T3-0.4",3,2015-07-08 00:00:00,09:58:00,"BDuffy; RSmith",0.2,0.4,0.2,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,"Agricultural",NA,NA,NA,2,2,2,2,"Hard","Gravel",NA,NA,NA,16,5,5,15,18,17,6,8,8,7,7,3,3,NA,18.35,879,10.69,113,8.06,NA,"14363970980001.jpg","14363970980002.jpg","No","No",2.19,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150708","Y"
"03-JOHN-13.7_20150721","03-JOHN-13.7",3,2015-07-21 00:00:00,14:53:00,"JL/JD",3,15,5,NA,NA,10,86,NA,NA,NA,NA,NA,NA,NA,"AG","Net Jab too deep to center",NA,NA,2,1,2,2,"Very soft","Silt","Turb",NA,NA,12,2,1,12,16,12,8,3,3,5,5,3,6,NA,25,694,6.6,82.7,8.13,NA,"14377589820007.jpg","14377589820008.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,"20150721","Y"
