BAS_LOC_RM,% Macrophyte,Depth,Width,Current,Canopy,Temp,pH,DO,Conduct,%Sat,ChlA,LandUse-pct_natural+wetland,1_Epifaunal_Substrate-Available_Cover,2_Pool_Substrate_Characterization,3_Pool_Variability,4_Sediment_Deposition,5_Channel_Flow_Status,6_Channel_Alteration,7_Channel_Sinuosity,8_LB_Stability,8_RB_Stability,9_LB_Vegetative_Protection,9_RB_Vegetative_Protection,10_LB_Riparian_Zone_Width,10_RB_Riparian_Zone_Width,STORAGE,DRNAREA,PRECIP,PRJUNAUG00,% slope,ElevDS
04-JCOX-4.6,10,0.4,12,0,25,21.58,8.09,10.95,837,125,3.9,18.70,8,3,5,15,19,19,5,8,8,8,8,8,8,0.039466008,4.50069093,29.60532,10.2316929,0.817419,225.781582
04-OATK-46.2,,0.3,12,33,48,22.2,7.7,6.2,574,71,,42.03,13,12,16,8,11,16,14,5,7,5,5,4,4,0.443448948,52.06303474,37.25412,11.77170471,0.7986044,292.79
04-SPRG-10.1,70,0.5,3,0.1,27,22.14,7.44,3.05,722,35.2,5.35,16.99,10,8,12,9,18,18,12,9,9,9,9,9,9,0.207845212,6.130818665,30.29496,10.60601967,0.5454294,278.9096875
05-CAMB-11.2,10,0.2,2,10,36,19,6.7,7.5,136,82,2.9,53.97,17,15,16,14,18,18,18,9,9,9,9,9,9,2.181603774,0.851361008,32.05731,11.06744093,6.9216778,474.7926562
05-WINI_T2-1.2,25,0.09,1.5,0,8,13.6,7.1,5.9,380,57,0.29,83.55,10,6,5,14,16,12,6,4,7,6,7,4,7,0.006382209,5.445227469,32.40351,10.90638582,2.9376817,274.02
06-FABS-5.0,20,0.5,12,70,15,14.55,7.66,10.82,560,106.2,0.14,35.45,19,12,18,7,19,19,16,9,9,9,9,9,9,2.087696443,4.683180594,41.70818,11.77131889,1.8893621,388.0762891
06-FLYS-0.7,50,0.7,8,40,99,14.73,7.71,10.74,393,106,2.17,42.65,13,8,14,3,18,18,18,9,9,9,7,9,7,1.14388555,7.59529243,40.45046,11.20072834,2.0033039,310.478418
06-MADB-0.1,10,0.7,7,0.4,93,13.89,7.13,8.8,211,85,0.42,66.79,15,13,13,16,19,18,10,10,10,5,6,5,5,0.287031545,6.901322,39.64382,11.37061022,2.2247285,314.898457
06-NING-7.7,50,0.6,3,0.4,25,16.89,6.87,8.79,84,90.7,,88.73,13,14,15,14,19,19,18,10,10,10,10,10,10,2.120902244,7.854237773,43.99854,11.63549211,1.9044922,354.8241016
07-BUTL-3.5,,0.8,8,0.2,80,22.1,7.8,7.2,610,82,3.1,42.64,10,10,10,18,20,15,15,10,9,10,9,5,10,3.936602637,8.103182095,38.78546,10.42505511,0.1137502,120.4805273
07-HARB-0.5,40,0.8,3,10,30,14.49,7.61,10.25,2085,99.6,0.06,32.69,6,6,11,6,18,1,1,8,8,4,5,2,7,0.401753222,12.04304359,38.26933,11.37973227,1.5303081,114.1302051
07-MUDE-4.4,10,0.24,1,0.4,33,14.43,7.47,8.2,470,80.5,2.19,33.74,14,18,15,17,19,14,15,9,9,6,9,2,8,5.975122388,23.36307905,39.35633,11.27944093,0.0989243,112.0150293
07-MUSK-0.5,40,0.8,8,40,5,21.8,7.35,4.93,508,57.1,2.75,33.88,14,12,13,8,14,18,13,9,9,8,8,8,7,12.17058492,21.59042712,39.38835,10.72528345,0.1490208,115.5461914
07-ONON_W_T7-1.5,40,0.15,0.5,,2,19.47,7.79,8.04,817,87.4,1.02,6.40,14,8,6,9,19,19,8,9,9,6,10,4,10,0.898793401,0.313622737,38.34002,11.42439369,1.0530205,278.6197852
07-POBK_T4-1.5,10,0.1,1,0.5,70,21.6,7.5,6.8,1478,77,0.8,5.74,10,6,10,10,15,13,12,7,7,8,8,9,2,0,0.793980635,32.81026,10.31139763,0.4359294,143.4099805
07-WBOT-0.3,40,0.6,4,30,5,19.9,7.74,7.7,1145,84.5,1.62,43.24,15,9,14,10,14,15,10,7,8,8,6,9,4,4.601884206,14.11182613,37.96749,11.14631495,0.6298754,118.2227734
08-BARE_T5-0.5,25,0.5,8,60,17,19,5.9,6.9,70,75,2,92.20,16,17,17,18,18,18,17,10,10,10,10,10,10,17.01285662,5.922766546,46.90959,13.1060866,1.1957957,425.8644922
08-BLAC-2.5,0,0.5,3,0,15,15.34,6.97,9.39,59,93.9,,88.92,10,13,13,12,19,17,11,8,5,7,6,7,3,7.403428781,17.64936858,40.86979,11.91527558,0.9868433,247.1276758
09-ALLE-1.9,0,0.1,1,0,100,18.67,6.87,2.6,290,28,,74.65,14,8,6,10,16,15,6,8,8,9,9,10,10,2.724581876,10.18856864,35.40052,11.87460235,1.0147309,97.3678418
09-BLCH-0.2,20,1.2,6,0,15,22.83,7.26,6.02,164,69.6,,97.59,8,6,7,11,19,19,8,10,10,9,9,8,7,15.48667226,12.15691622,40.78155,11.45140944,0.3250836,238.5142578
09-BRND-2.5,10,0.5,12,0.1,35,13.9,7.7,11,309,107,,72.60,11,13,13,12,13,16,12,6,4,8,5,8,6,29.68886128,34.43799296,32.76117,10.62967715,0.0840547,73.04677246
09-CEDL-0.1,30,1,2.5,0,0,21.73,7,4.53,339,51.6,,89.34,12,7,10,7,19,20,15,10,10,10,10,10,10,12.21252588,4.756662996,38.9747,11.87645274,0.8152285,175.2599023
09-ENGL-17.6,10,1,2.5,10,1,20.05,6.54,4.2,111,47.2,,93.78,12,16,11,16,19,20,6,10,10,7,7,4,9,50.69222207,1.110074667,34.09286,11.6847244,0.620022,330.7538672
09-FARR-3.1,30,1.5,5,10,0,20.12,7.52,7.31,213,80.9,,74.02,7,7,11,8,6,19,19,7,7,8,8,10,10,0.860862071,19.80348801,34.13517,12.26739369,1.2497079,89.54195313
09-JEWT-3.1,10,1,20,0,10,13.4,7,3.4,350,34,,60.45,12,13,12,14,14,15,16,7,8,3,4,3,1,7.878388598,16.64563681,35.74549,9.516208652,0.2456736,83.94491211
09-LSAL_T1-1.0,50,0.1,0.5,0,0,17,7.4,8,573,82,,39.32,11,7,5,15,7,17,11,8,8,5,5,9,9,0,1.169269896,32.43691,11.45802755,0.4579065,54.61140137
09-LSUK-11.3,0,0.5,2.5,0,20,21.54,7.18,6.21,345,70.9,,83.46,13,11,11,7,20,18,16,7,8,5,7,8,8,21.02311686,1.576840444,32.68139,10.60596456,0.2970381,93.12398438
09-PIKC-8.7,20,0.5,5,10,,19.1,7.7,8.2,211,87,,90.64,13,11,12,12,13,16,15,4,3,1,2,5,7,16.63480974,10.54532319,32.40916,11.14496849,0.3013704,60.74590332
09-PLMB-12.4,20,0.4,6,20,53,15.9,7,8.9,65,90,,96.82,17,17,13,8,9,20,16,7,5,8,5,6,10,3.641691084,15.31330009,40.52044,12.54295274,1.3639224,272.8524609
09-SCKE-16.4,100,0.5,2,0,0,14.2,7.11,14.19,564,137.2,,49.33,4,6,11,10,20,20,14,10,10,8,8,9,9,9.288862677,2.487975891,32.77705,10.12650393,0.2357729,96.88211914
09-TRAY-2.9,80,0.5,3,0,0,22.38,7.36,5.87,284,67.7,,78.53,12,14,15,11,19,18,19,5,8,4,8,0,9,6.319768735,12.15529443,36.76796,11.24099211,0.6997214,112.6177441
09-WSCK-3.4,50,0.5,10,0,10,14.6,7.4,6,2003,59,,36.93,14,13,15,12,15,16,13,5,4,5,4,7,9,0.927165731,6.863480301,39.20128,10.34039763,0.5609241,129.5539258
10-ARNO-0.1,0,0.5,4.5,10,15,22.54,7.77,8.02,286,93,,69.40,9,14,13,15,19,18,13,7,7,9,7,9,7,2.760491296,11.07576342,29.43087,10.42713385,2.4430088,84.12
10-COLW-0.7,0,0.7,4,20,0,21.79,7.57,8.56,166,97.6,0.45,93.57,10,8,11,13,19,17,7,8,8,5,5,7,7,1.380593455,12.1413934,30.69747,11.17412597,2.3475364,107.8832422
10-MILC-6.3,0,0.3,4,20,11,20.04,7.17,8.75,82,96.7,0.47,95.94,18,16,17,15,19,18,15,9,9,8,8,7,9,2.320321733,9.083011811,35.25267,12.63895274,2.915502,284.7150977
10-NSAR_T7-0.8,10,0.1,0.2,20,8,21,6.73,6.94,71,77.8,,99.14,10,5,6,4,19,19,16,9,9,8,8,9,8,0.081841228,1.934444503,34.98938,12.59182282,4.8258035,386.7183984
10-PUTM_T5-0.3,10,0.5,2,30,95,19.45,6.97,7.37,136,80.5,0,95.10,19,15,16,17,19,19,17,8,8,8,8,9,9,0.641709475,2.352788351,35.51971,12.24473621,1.8864641,298.75
10-TWOB-3.6,70,0.3,4,50,2,22.35,6.83,7.37,120,84.8,,90.49,14,12,12,15,19,18,7,9,9,9,9,9,9,7.964595863,17.35462808,36.35372,13.03884251,0.385374,471.4256641
10-URIL-0.4,10,0.5,3.5,10,22,23.98,7.55,7.19,314,85.7,,78.38,13,8,14,10,19,14,14,6,5,7,6,9,7,3.89388192,13.20293029,30.29178,10.6628307,1.3455211,80.64415039
11-GORN-6.0,25,0.6,1.5,40,6.4,16.79,7.47,10.14,310,104,1.7,74.73,18,15,13,6,14,20,18,9,9,9,9,10,10,4.107549483,3.968049704,37.85392,11.66791337,1.1031125,139.8200293
11-SRUN-3.8,,0.45,4.5,70,32,15,7.3,9.6,1309,96,0.25,38.27,16,4,8,16,17,16,17,7,8,8,8,9,4,2.617317602,9.576344006,37.16244,11.73423227,1.1717611,66.76477539
12-ALPL_T11-2.1,60,0.15,1,10,58.4,18.52,7.06,8.62,285,92.3,1.02,78.35,16,13,3,16,17,13,6,9,9,9,8,9,9,5.027642016,0.963882142,36.5558,11.72256692,1.4679361,162.7858496
12-BARK-0.6,60,0.25,1,15,,17.3,7.55,7.58,604,79,,38.59,8,15,10,16,12,16,10,10,10,8,8,7,8,0.567620928,1.721102269,39.08182,11.98641337,3.4286382,326.639668
12-TEET-0.8,5,5.5,3.5,10,11.6,15.73,4.35,8.12,18,81.7,1.11,99.30,17,17,16,15,19,18,11,9,9,9,9,7,10,6.802618328,3.067494487,50.86155,13.40068109,3.6374634,502.7307031
13-QKER-1.0,10,0.3,4,0.2,75,26.3,7.5,8.7,517,107,,40.55,15,10,10,5,20,15,13,7,8,6,7,3,4,2.85215515,27.27336224,40.67611,12.5764055,0.8037457,116.4216699
13-SPRO-9.2,0,25,7,30,15,17.45,8.04,11.73,414,119,1.74,63.75,10,10,6,14,18,18,6,6,6,6,6,5,5,3.138902847,33.65880148,40.17674,12.81546062,0.851831,87.84648438
13-WALK_T25-1.5,10,0.1,3,0.1,0,21.4,7.4,9.2,340,104,,28.73,5,5,6,10,20,12,9,10,10,10,10,7,6,2.212754261,1.404776554,39.0448,12.4778307,1.9114035,102.0517188
13-WBLKK-8.9,20,6.75,2.5,0,53.2,16.98,6.88,5.77,398,59.4,8.75,68.78,17,16,16,4,20,19,10,9,9,10,10,10,9,0.272070218,6.528619876,39.73555,11.01760629,4.0445,100.1584668
14-HURL-2.8,10,0.5,5,0.1,42,17.4,7.3,9.6,147,100,,77.66,13,13,10,19,20,16,12,9,9,9,9,2,5,6.857052919,4.416049088,45.43404,13.4455866,1.1315915,407.6646875
14-WLAK-5.8,20,0.1,3,0.3,0,18.5,6.5,8.2,208,88,,80.88,12,11,9,10,20,18,20,10,10,10,10,2,10,13.07366247,6.841354491,42.55136,12.78054723,0.7420065,368.3144922
15-HACK-3.3,0,1,10,0.1,22,22.9,7.3,5.1,538,56,,29.12,13,8,18,11,20,13,20,8,8,7,7,10,10,8.45307118,32.42076009,47.5304,13.10482676,0.6653709,16.5037793
15-MAWA-3.7,0,0.9,6,0.05,80,19.8,7.6,7.2,483,72,,69.34,15,18,17,18,19,20,20,9,9,9,9,10,5,2.995517272,13.17933715,49.91603,14.01492125,1.9007125,96.9353418
15-RAMA-13.7,0,0.6,8,0.1,45,23.1,7.5,9.1,1140,107,,50.04,12,16,15,17,17,18,17,10,7,9,9,10,10,2.723620371,16.84847605,48.3144,13.33041337,0.8339348,154.4274609
16-AMEN_T2-1.1,10,70,8,20,20,16.23,7.74,10.04,533,101.1,1.18,48.46,8,10,11,13,19,18,5,9,9,8,0,7,0,3.942544262,3.201716678,42.75128,12.71518503,1.8010152,165.8095312
16-BOGH-0.3,50,60,3,0,10,17.7,6.96,8.16,161,84.6,0.74,96.38,17,12,15,5,19,20,13,9,9,10,10,10,10,6.281040689,3.389843983,46.17987,13.17732676,2.2687083,160.7669629
16-WEBA_T4-1.3,10,0.5,1.5,140,3.5,13.75,7.29,10.74,424,103.6,0.04,74.55,15,16,14,15,17,18,10,9,9,9,7,7,9,1.565625614,3.339452741,41.87642,12.83854329,2.3717401,185.8255078
16-WEBA-23.3,10,0.6,3,90,2,17.02,6.87,5.33,258,55.1,0.74,57.67,15,16,16,8,19,16,12,9,9,9,9,9,9,7.514959738,6.272300284,42.92651,13.24696455,6.1447166,229.8878711
17-BRWN-0.9,20,0.3,15,20,95,16.98,6.01,11.6,288,120,,1.09,19,18,17,18,20,13,12,8,5,10,10,9,2,0,3.685472606,42.7649,0,0.3916061,1.83
17-BVDC-0.4,30,0.05,1.75,70,78,17.38,6.12,11.62,275,121,,45.44,16,15,4,10,13,15,11,8,7,5,10,7,5,0,1.955643578,43.26608,0,0.522141,1.79893845
17-CARL-0.8,10,0.5,4,0.7,61,21.39,2.2,9.55,240,108.3,,11.87,12,13,15,19,15,10,4,8,10,6,4,4,3,0,37.06714156,41.90969,0,0.2592855,1.41036102
17-CARM-12.9,70,0.4,10,0.1,87,15.8,4.55,7.8,218,78,,25.66,20,14,14,10,20,19,14,9,9,10,8,10,10,0,66.6975783,43.04639,0,0.1046164,12.92592407
17-CARM-9.0,80,0.6,10,30,20,20.5,6.5,7.3,202,81,,28.75,14,18,14,16,20,14,12,10,10,10,10,10,10,0,73.05892242,43.06649,0,0.1060949,5.70322632
17-GREN-0.8,10,0.1,1.5,0.2,100,15.8,5.9,8.5,230,86,,1.17,10,6,6,11,18,14,4,10,10,10,10,10,10,0,6.804323685,42.71776,0,0.4785583,2.90047455
17-MASS-1.2,60,0.5,10,0.2,20,22,6.2,9.2,388,106,,12.89,16,0,8,10,20,15,15,10,10,10,10,10,10,0,39.21647286,41.58998,0,0.4948722,3.15051453
17-MBUR-2.1,10,0.2,2.5,0.05,36,19.5,6.6,7.4,573,81,,0.26,8,14,7,12,18,17,18,7,7,4,4,10,10,0,4.460648233,41.11692,0,0.1921333,5.58829285
17-MUDL-1.4,20,0.2,8,0.5,65,16.1,6.06,12.7,320,128,,14.50,14,10,10,18,18,16,18,8,8,9,9,8,8,0,4.348860764,43.15518,0,0.3913402,2.16420029
17-NISS_E-2.6,0,0.2,3,70,80,15.8,5.98,6.7,522,68,,9.13,7,7,11,9,14,15,12,9,7,8,8,5,8,0,6.193527766,42.52418,0,0.347151,11.54543579
17-NISS-4.7,10,0.4,25,70,3,21.9,6.8,9.5,179,108,,12.99,10,13,13,15,18,14,10,5,8,6,5,2,3,0,27.10245677,42.3824,0,0.2401534,3.54
17-PECN-8.9,10,0.5,10,20,5,25.28,6.11,12.48,63,151,,58.55,19,16,19,12,18,17,18,10,8,10,10,10,10,0,58.40758178,43.73132,11.44839369,0.1419195,7.91828186
17-SAMP-2.1,10,0.1,6,20,85,15.93,6.04,9.13,262,93.4,,13.99,4,7,6,7,14,13,12,8,6,8,5,7,2,0,20.70408184,42.10355,0,0.2702972,7.39168396
17-TERR-0.2,10,0.1,0.3,10,100,17.84,6.11,11.32,127,119,,37.37,8,17,0,18,20,17,18,10,10,10,10,10,10,0,1.930235579,43.86559,0,0.9130742,5.15082947
