site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida
04-BLAK_N_T1-1.1,0,0,13,2,0,79,0,0,0,1,0,46,0,0,3,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,15
04-BLAK_T16-0.8,9,0,8,0,1,131,31,0,0,4,0,0,0,0,1,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,5
04-BLAK_T7-3.0,20,0,21,4,0,90,2,1,0,0,0,2,0,0,6,0,0,0,32,0,0,0,16,0,0,1,0,0,0,0,5
04-BLCE-5.2,28,0,6,32,2,112,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-JCOX-4.6,164,0,8,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
04-JCOX_S-3.7,25,0,2,0,0,1,2,0,0,4,0,165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-MCMI_S-5.0,14,0,3,33,1,49,11,0,0,0,0,13,0,0,0,0,0,0,2,0,1,46,0,0,0,0,0,0,1,0,26
04-OATK-46.2,27,0,2,5,1,63,5,0,0,3,0,6,0,0,0,0,0,0,2,0,0,2,45,0,0,0,0,0,1,0,38
04-SPRG-10.1,36,0,3,0,0,108,5,8,0,0,0,32,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,2
04-WCONI-0.6,20,0,9,2,0,54,72,0,0,1,0,21,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0
04-WDIT-0.1,79,0,6,4,0,64,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,32,6,3,0,0,0,0,1,0,2
04-WMRSG-0.2,3,0,2,71,0,41,1,0,0,1,0,15,0,5,0,0,0,0,8,0,0,0,37,0,0,0,0,0,0,0,16
05-CAMB-11.2,13,0,13,15,0,88,5,15,0,0,0,28,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0
05-CBRO-1.8,49,0,64,0,0,3,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,9
05-STEO-35.7,9,0,0,27,2,138,13,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,1
05-WINI_T2-1.2,76,0,12,3,0,47,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,41,6,0,0,0,0,0,0,0,5
06-FABS-5.0,2,0,1,1,0,118,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,10,0,0,0,0,0,2,0,60
06-FLYS-0.7,102,0,18,1,1,55,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
06-MADB-0.1,110,0,4,0,3,50,4,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-NING-7.7,5,0,0,10,0,145,3,7,0,0,0,1,0,0,6,0,0,0,3,0,0,6,2,0,1,1,0,0,0,0,10
07-BLDY-0.1,16,0,5,1,0,114,16,2,0,0,0,1,0,0,0,0,5,0,22,0,0,1,16,0,0,0,0,0,1,0,0
07-BUTL-3.5,26,0,41,6,0,101,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,2,4,0,0,1,0,0,3,0,0
07-CANA-32.8,63,0,9,10,3,71,2,1,0,1,0,2,0,0,1,0,0,0,10,0,0,21,3,0,0,0,0,0,0,0,3
07-COWA_T10-0.9,0,3,85,5,2,26,0,0,0,17,0,34,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,9
07-GEDD-1.4,184,0,1,0,0,6,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07-HARB-0.5,18,0,172,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
07-HENC_T4-1.2,11,0,16,28,0,123,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,3
07-JACB-1.9,1,0,3,74,0,70,0,2,0,0,0,19,0,0,0,0,0,0,3,0,2,4,6,0,0,0,0,0,0,1,15
07-LITR-0.2,25,2,8,8,2,29,53,0,0,0,0,1,0,0,0,0,29,0,6,0,0,11,1,0,0,0,0,0,0,0,25
07-MUDE-4.4,3,0,9,13,0,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,0,0,0,0,0,1,0,92
07-MUSK-0.5,133,0,0,19,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
07-NINE-0.7,2,0,0,10,0,177,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
07-NORB_T10-1.5,150,0,0,4,0,24,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,5
07-ONON_W_T7-1.5,33,0,53,12,0,56,8,0,0,0,0,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,30
07-POBK_T4-1.5,97,0,0,0,0,19,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,20,0,5
07-SNDR-1.5,1,0,44,0,4,32,3,0,0,0,0,41,0,0,0,0,0,0,34,0,0,0,15,0,0,0,0,0,0,0,26
07-WBOT-0.3,113,0,38,4,0,19,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
08-BARE_T5-0.5,0,0,1,2,0,184,3,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3
08-BENE-0.2,0,0,0,1,0,41,118,0,0,0,0,0,0,0,1,0,0,0,4,0,2,32,0,0,0,0,0,0,0,0,1
08-BLAC-2.5,1,0,0,7,1,84,22,0,0,0,0,2,0,0,1,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,2
08-MURM-3.4,0,0,0,14,0,62,41,0,0,0,0,17,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1
09-ALLE-1.9,5,0,0,2,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,2
09-BIBK-5.4,0,0,8,4,0,9,0,0,0,0,0,0,0,2,0,0,149,0,7,0,0,8,0,0,0,0,0,0,0,0,13
09-BLCH-0.2,99,0,5,5,0,50,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,22,0,0,0,0,0,0,0,7
09-BRND-2.5,77,0,3,29,0,9,17,13,0,0,0,7,2,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
09-CEDL-0.1,2,0,1,21,0,85,9,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,68,1,0,2,0,0,2,0,1
09-CHPW-11.0,79,0,3,9,0,10,8,0,0,0,0,31,0,0,0,0,45,0,13,0,0,0,1,0,0,0,0,0,1,0,0
09-ENGL-17.6,0,0,2,3,0,180,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0
09-FARR-3.1,0,0,0,42,1,125,22,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
09-FSCR-9.2,4,0,1,12,0,64,34,36,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
09-JEWT-3.1,47,0,6,6,0,56,6,0,7,3,0,16,4,0,0,0,12,0,35,0,0,2,0,0,0,0,0,0,0,0,0
09-LSAL_T1-1.0,69,0,0,2,0,4,2,15,0,6,0,67,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33
09-LSUK-11.3,14,0,8,11,0,137,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,2
09-LTTL-13.2,0,0,1,0,1,140,1,0,0,0,0,0,0,0,9,0,0,0,7,0,0,5,7,0,0,0,0,0,0,0,11
09-MARA-4.5,12,0,1,0,0,90,75,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,6
09-OTTS-0.2,140,0,0,12,1,43,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
09-PIKC-8.7,5,0,1,45,0,27,88,16,0,0,0,0,2,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0
09-PLMB-12.4,1,0,0,17,0,33,91,0,0,0,2,0,0,0,3,0,0,0,14,0,3,36,0,0,0,0,0,0,0,0,0
09-SCKE-16.4,0,0,101,2,0,62,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,29
09-SOAP-0.8,3,0,2,8,1,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
09-TRAY-2.9,58,0,3,2,0,83,43,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,2,0,0
09-WHIK-0.8,111,0,0,6,1,58,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,3,0,2
09-WSCK-3.4,3,0,62,15,0,59,0,3,0,0,0,0,32,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,1,0,2
10-ARNO-0.1,0,0,4,12,0,151,2,11,5,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,0,0,0,0,0,0,4
10-BISH-0.6,7,0,0,7,2,166,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10-CMIL-3.3,4,0,0,2,7,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18
10-COLW-0.7,0,0,2,11,1,83,2,0,0,0,0,0,0,0,1,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,10
10-LGLN-0.5,3,0,0,12,0,129,6,0,0,0,0,0,0,0,1,0,0,0,10,0,0,35,4,0,0,0,0,0,0,0,0
10-LSAR_T10-0.3,3,0,0,8,0,163,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
10-MILC-6.3,0,0,5,10,0,60,34,3,0,0,0,0,0,24,1,0,0,0,14,0,6,24,14,0,0,0,0,0,0,0,5
10-NSAR_T7-0.8,13,0,0,6,0,159,9,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,1
10-PUTM_T5-0.3,0,0,1,17,1,125,19,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,17,0,0,0,0,0,0,0,10
10-ROUT-1.3,36,0,0,1,0,51,29,0,0,0,0,2,0,0,0,0,10,0,6,0,0,62,0,0,0,0,0,0,0,0,3
10-TRAE-4.5,0,0,4,32,0,103,2,0,0,0,0,0,0,0,4,0,0,0,10,0,0,16,7,0,0,0,1,0,0,0,21
10-TWOB-3.6,0,0,3,6,0,160,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,1,0,0,0,0,1
10-URIL-0.4,0,0,0,9,1,164,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,9,0,0,0,0,0,0,0,3
11-GORN-6.0,58,0,50,2,8,50,1,2,0,0,0,10,0,0,0,0,0,0,1,0,2,0,14,2,0,0,0,0,0,0,0
11-MOSE-12.8,4,2,1,33,0,16,4,94,0,1,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,28
11-ROWL-0.5,23,0,3,6,1,85,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,24,15,0,0,0,0,0,0,0,34
11-SRUN-3.8,96,0,10,0,1,36,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,2
11-TEET-0.8,0,0,0,8,0,141,7,2,0,0,0,0,0,2,1,0,0,0,7,0,2,12,2,0,0,0,0,0,0,0,16
11-TOMH-12.2,85,0,2,0,0,19,40,2,0,0,0,25,0,0,0,0,0,0,23,0,0,2,2,0,0,0,0,0,0,0,0
12-ALPL_T11-2.1,10,1,3,20,2,21,8,1,2,6,0,78,0,3,0,0,0,0,8,0,8,0,0,0,0,1,0,0,0,0,28
12-BARK-0.6,6,0,31,28,0,75,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,20,0,0,0,0,0,0,0,5
13-BASC_T17-2.4,0,0,2,2,0,120,2,0,0,0,0,54,0,0,2,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,3
13-BLKH-8.2,52,0,9,9,0,78,16,3,0,0,0,0,0,1,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0
13-BLKK-1.1,25,3,9,4,0,13,10,2,0,0,0,118,1,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0
13-EBCR-16.3,38,0,0,16,0,82,24,3,0,0,0,15,0,0,1,0,0,0,14,0,0,5,2,0,0,0,0,0,0,0,0
13-FISH-16.3,10,0,2,0,13,2,11,36,0,0,0,18,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
13-NOST-0.3,68,0,19,9,1,43,12,2,0,0,0,0,0,0,0,0,0,0,2,0,0,9,34,0,0,1,0,0,0,0,0
13-QKER-0.9,0,0,4,0,0,61,4,0,0,1,0,0,0,0,0,0,4,0,1,0,0,4,5,0,0,0,0,0,0,0,55
13-QKER-1.0,0,0,1,2,0,132,0,7,0,0,0,1,0,0,0,0,0,0,26,0,0,0,28,0,0,0,0,0,2,0,1
13-RHIN-4.3,104,0,1,14,5,13,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0
13-RIOG-0.7,80,0,2,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,73
13-SPRO-9.2,7,0,12,0,2,52,7,0,0,0,0,49,0,0,0,0,5,0,0,0,0,0,35,0,0,0,0,0,0,0,12
13-WALK_T25-1.5,0,0,0,1,0,126,6,0,0,27,0,1,0,0,0,0,0,0,2,0,0,1,16,0,0,20,0,0,0,0,0
13-WBLKK-8.9,90,3,12,17,3,43,2,3,0,0,0,13,0,0,0,0,0,0,9,0,0,1,2,0,0,0,0,1,0,0,1
13-WKLEI-0.6,3,0,0,1,1,32,5,0,0,0,0,5,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14-HURL-2.8,48,0,8,12,0,60,12,2,0,0,1,3,2,0,0,0,0,0,20,0,0,16,11,0,0,0,0,0,1,0,4
14-TENR-3.7,0,0,0,21,0,94,52,0,0,0,0,0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,0,0,0,0,7
14-WLAK-5.8,23,0,0,15,0,97,38,7,0,0,0,8,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,2
15-HACK-3.3,12,0,6,21,0,145,0,5,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
15-MAWA-3.7,75,0,10,7,1,29,6,0,0,0,0,59,0,1,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,1
15-RAMA-13.7,35,0,26,17,1,36,0,70,8,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1
16-AMEN_T2-1.1,4,0,11,12,3,117,19,5,0,0,0,0,0,0,0,0,0,0,2,0,4,8,6,0,0,0,0,0,0,0,9
16-BOGH-0.3,43,0,0,0,0,120,7,0,0,0,0,8,0,0,1,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,1
16-SWEL-0.1,1,0,3,15,0,140,25,0,0,0,0,3,0,1,0,0,0,0,1,0,3,3,4,0,0,0,0,0,0,0,1
16-SWMP-6.8,72,0,35,1,0,81,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0
16-WEBA-23.3,52,0,27,0,1,16,1,3,1,0,0,42,2,4,0,0,0,0,0,0,0,0,42,0,0,7,0,0,1,0,1
16-WEBA_T4-1.3,0,0,9,4,0,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,0,3,0,0,0,0,0,0,30
17-BRWN-0.9,7,0,0,3,0,157,0,7,0,0,1,9,0,4,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0
17-BVDC-0.4,32,0,0,1,0,135,0,0,0,1,0,12,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12,0,0
17-CARL-0.8,31,0,3,13,2,87,29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,31,0,0,0,0,0,0,1,0,1
17-CARM-12.9,28,0,6,4,0,74,1,3,0,0,0,59,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,13
17-CARM-9.0,47,0,13,4,0,45,7,6,0,9,0,12,0,0,3,0,0,0,4,0,0,38,0,0,0,0,0,0,0,0,12
17-EMED-0.4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,34
17-GREN-0.8,56,0,8,1,0,99,0,2,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0
17-MASS-1.2,60,0,7,2,0,25,0,0,0,0,0,77,0,0,0,0,0,0,1,0,0,2,16,0,0,6,0,0,4,0,0
17-MBUR-2.1,0,0,0,6,0,12,0,0,0,0,0,19,0,2,0,6,0,0,0,0,0,0,148,3,0,0,0,0,0,0,4
17-MIAN-14.2,81,0,12,7,0,20,2,20,0,0,0,12,0,0,0,0,0,0,17,0,0,4,3,0,0,0,0,0,0,0,22
17-MUDL-1.4,23,0,27,2,0,65,0,0,3,0,0,31,0,6,0,3,0,0,0,0,0,0,29,0,0,10,0,0,0,0,1
17-NISS-4.7,30,0,5,5,0,117,3,0,2,0,0,3,0,0,2,4,0,0,1,0,0,15,5,4,0,1,0,0,0,0,3
17-NISS_E-2.6,41,0,0,1,0,71,0,1,0,0,0,2,0,4,0,13,0,0,0,0,0,0,20,1,0,0,0,0,0,0,46
17-OROW-0.6,51,0,0,0,0,10,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
17-PECN-8.9,68,2,1,3,0,62,4,1,3,0,0,7,0,0,0,1,3,0,2,0,0,10,0,0,0,5,0,1,0,0,27
17-PENA-1.4,5,0,3,1,0,10,0,0,0,7,0,151,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,0,0,0,8
17-SAMP-2.1,7,0,1,4,0,126,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,43,3,0,7,0,0,0,0,1
17-SANT-1.7,1,0,5,0,0,10,0,0,0,20,0,32,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,100
17-SWML-1.4,3,0,0,0,0,27,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
17-TERR-0.2,60,0,5,17,0,89,0,2,0,0,0,13,0,5,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
