metric,corrscore,"alkalinity, total (as caco3)",aluminum,arsenic,cadmium,calcium,chloride (as cl),copper,hardness (as caco3),iron,lead,magnesium,nickel,nitrate+nitrite as nitrogen,nitrogen,"nitrogen, ammonia (as n)","nitrogen, kjeldahl, total","nitrogen, nitrate (as n)","nitrogen, nitrite","phosphorus, total (as p)"
pct_rich_ttaxa_potec,3.228407751911804,-0.10489215135714719,0.030664036183036984,-0.16301710733745803,4.503895347078208e-4,-0.11447906841667142,-0.11095446655655221,-0.23498352128965555,-0.12086285659201548,-0.22498326439977687,-0.1504570528723817,-0.11000670032769912,-0.306609385689178,-0.05058160141320629,-0.46972400025334665,-0.356772563180731,-0.3199688181108832,-0.060529107909574435,-0.17222676784214713,-0.18847374408112477
pct_rich_ttaxa_toe,3.597279623651752,-0.1477877872783142,0.0022563020958521252,-0.2047477414415575,0.03408788843943223,-0.16590871348562658,-0.17606207291696113,-0.2307048428166668,-0.16778312578285198,-0.12579327438394955,-0.15434057594648262,-0.15685377739186981,-0.3039320110778599,-0.11430385856707342,-0.46364561461048376,-0.41846873810762497,-0.2786319142250178,-0.12352256665752612,-0.19572872324431068,-0.2054084762528593
rich_family,1.3443177527620394,0.09285622472611026,-0.18458005646775574,-0.029416940490683538,-0.2213241574843207,0.08082454926617219,-0.20949270212598042,-0.3004288287032183,0.08206599582801583,-0.16632608037588373,-0.3846596574866894,0.118126905594617,-0.2173892801390635,0.17893070162343647,-0.1665390239100664,-0.12364403159041697,-0.18242144828103563,0.17884446075549762,0.09082663010854777,0.019428986390677735
rich_genus,2.78895116361941,0.008962289280315703,-0.23894733467046433,-0.08625012929177098,-0.11006544990935567,-0.030485897394459713,-0.33569771737371495,-0.4148100340694244,-0.022018368417364133,-0.1857094118278645,-0.35278382579553597,0.04082572477386267,-0.33414583200759,0.08585349072675376,-0.2913562293451352,-0.23783769488912607,-0.27600502123598125,0.08750310556487696,-0.03384226169969518,-0.06214056603773669
rich_ttaxa,2.7533422688633578,0.01171241934758594,-0.25005309739665404,-0.07903956953639245,-0.07818926808751363,-0.026458778646654982,-0.3170820033015133,-0.417462470650883,-0.017287011186419256,-0.20116436282645428,-0.33911937393018704,0.05119072088060069,-0.3480733234255247,0.08954281743871594,-0.29846175058551877,-0.23560402286684123,-0.2936061527207272,0.09013558216092034,-0.036038646221481146,-0.058283977308415565
rich_ttaxa_chironomidae,3.951297904338946,-0.08663117719870907,-0.3185426972363625,-0.14484836505374854,0.0870841638028968,-0.15481966496115138,-0.3986023414175512,-0.48147805502662333,-0.13440318538015986,-0.20379536626518457,-0.2862194005272413,-0.03706333897575912,-0.40122433308290606,-0.058193966144674286,-0.3855396837876365,-0.272666185518931,-0.34727956458399456,-0.05636103901914851,-0.14757710893219433,-0.12313659502986635
rich_ttaxa_chironominae,1.9849315602045117,0.06103804894387728,-0.243798146767714,0.03493861347136176,0.0526817726040239,0.011258758447884555,-0.25732281886548725,-0.3032779009159309,0.02035853531587242,-0.13224196418223216,-0.31813414727978856,0.09952668308333455,-0.23724102314353473,-0.01773910544772667,-0.33356185489675416,-0.1919973293620678,-0.3123707130418857,-0.017964215845695013,-0.019540713865295017,0.12045596154324578
rich_ttaxa_coleoptera,0.803241029932092,0.16804471130294737,-0.104088997422643,-0.0028739765127827705,-0.07932837921283249,0.14951615437341848,-0.0416355989690572,-0.19763657270656765,0.15756982497189437,-0.337782487448263,-0.26919894726355326,0.1979191467808153,-0.17343306020009908,0.12430747737906686,-0.25033242416134177,-0.09727375881792222,-0.24320516545938342,0.12686518973927063,-0.002182266241967028,0.07150809993690782
rich_ttaxa_cot,3.5921018219797363,-0.11846479800824442,-0.12384634292673012,-0.16477312699750776,-0.04478956048681803,-0.10862223559154031,-0.20485275591025168,-0.32037462568866615,-0.11117530589885112,-0.30615696500234574,-0.2869695266986847,-0.08288579334688231,-0.39806016583025483,0.07729434569338788,-0.4553287529489599,-0.32506864910285055,-0.45961594722643906,0.07012067684148014,-0.05786864363192767,-0.1706636492176498
rich_ttaxa_insecta,3.984664251852938,-0.07075841704232068,-0.25432113004742374,-0.13970768602189287,-0.04342121709375471,-0.11506179281757231,-0.3894887542279685,-0.48209387392226805,-0.10642356268575352,-0.2425836395723987,-0.32580751941831126,-0.03463968795406362,-0.4209132346961008,-0.016085798731362604,-0.397415020911529,-0.35673150941184156,-0.3148976087950603,-0.01599124604857745,-0.11795984817383527,-0.1403627042809031
rich_ttaxa_intol_facul,2.5581594122818845,0.036685619309369304,-0.1562666284043327,-0.09134916133498229,-0.09841488414731307,6.349434111236995e-4,-0.2707680902103065,-0.40325327633358515,0.011605763518820271,-0.21645278100754162,-0.3030266386401785,0.06825882191160251,-0.36191552569439955,0.14103792613539842,-0.32687194986282125,-0.280043946898097,-0.33028657920188514,0.13654817648276252,-0.016916349856363772,-0.09736485145915448
rich_ttaxa_scraper,1.7437327336588837,-0.06671174590839268,0.021998395267321755,-0.09547635579008354,-0.12320617758063772,-0.044140102555929,-0.114649617028387,-0.12230923531911236,-0.03436026784573269,-0.09838716945191031,-0.22330206155275434,-0.009387268170575565,-0.1517648640055812,0.06266759778389948,-0.2518171932815534,-0.19407638300160124,-0.20715991633996292,0.06124172571001141,-0.049664336317225256,-0.10322775827067718
rich_ttaxa_toe,4.242159858995308,-0.1503296763045426,-0.16565351305856865,-0.20871263646912688,-0.002568559681457039,-0.17345731881293378,-0.27966002076097546,-0.38780172022011794,-0.1703417987944854,-0.20765949399061173,-0.2502016810472665,-0.12160176723604665,-0.412876030127182,-0.026286489185517077,-0.4851219130350863,-0.3987603203479648,-0.38549130132386944,-0.031807439020707345,-0.1604462330185225,-0.22338194656032528
shannon_ttaxa,4.42815876433786,-0.11529245947850598,-0.30162085976039466,-0.13502286664845142,0.02071207762700568,-0.14334038054968287,-0.3564482029598309,-0.3976900826789936,-0.12431727693683019,-0.24038902019927874,-0.32367139270750067,-0.03678776562416403,-0.3491729885719958,-0.16858129578832637,-0.43030370719045663,-0.33880660356188064,-0.3138914324244191,-0.15692225612296523,-0.3429566015879298,-0.1736556491732593
shannon_ttaxa_coe,2.4760539870424556,0.08829650856986385,-0.24352064224579864,-0.21038488507150135,-0.01542039995641615,0.06467084533431722,-0.12898906882929792,-0.31940583052231464,0.06809367657250906,-0.359616423452329,-0.22048519250084533,0.10910504159261679,-0.23716728810421478,-0.03596996258273436,-0.35954577883402256,-0.21256465503720026,-0.18154466208671521,-0.03190175391053743,-0.14228733359841425,-0.10741618237942045
shannon_ttaxa_cot,4.172324612399601,-0.14700910103610107,-0.1920147663245044,-0.3658665941478872,-0.01512373885400582,-0.1429176769189735,-0.16619646930952695,-0.3257238551020169,-0.13219998235175096,-0.40301947661448945,-0.3006781834191829,-0.0967867533546437,-0.3772732146801903,0.019329814125495486,-0.3367134451446036,-0.3911647221491829,-0.4227426430448487,0.015390046232910565,-0.06695762911803228,-0.32465622118806653
shannon_ttaxa_cote,4.0553340394786455,-0.07065045937636967,-0.238744965517353,-0.35669250025522836,0.03113460588741094,-0.09554029187123843,-0.18452320577640663,-0.34955170607285246,-0.08613031651344975,-0.36158515192875185,-0.2507987679788476,-0.04484558436557842,-0.31265007015766844,-0.047033111452336816,-0.4516705578526484,-0.34583901283755264,-0.3879665954900999,-0.04410260163436379,-0.1825734321087999,-0.2755703141765102
shannon_ttaxa_cte,3.7333759391536923,-0.02735862796019618,-0.1763503312588934,-0.31610273259352956,0.05671503669178258,-0.0637427826701478,-0.17959387993458675,-0.35985060262258367,-0.05020626164862302,-0.3527130909640622,-0.20715155452756998,0.001128230598845461,-0.3393103572279658,-0.017770258141247663,-0.4576839232678464,-0.3862652866468244,-0.3718106057295989,-0.016230329909952726,-0.2030888444010642,-0.26598973693962774
shannon_ttaxa_insecta,4.509567024108547,-0.12487667371388303,-0.3267089499647639,-0.2850724716819725,0.05903442415426739,-0.15602536997885835,-0.2704721634954193,-0.39876472711066085,-0.13657986547821818,-0.3519503860671938,-0.3055320595829798,-0.05891680471609412,-0.3623666335230896,-0.1524420329390259,-0.3789075560213794,-0.3206587717329096,-0.32457709820908015,-0.14563795905344865,-0.19777497316061957,-0.27133695183321765
shannon_ttaxa_potec,4.0755964904092314,-0.0738938936391571,-0.24227043754212196,-0.35669250025522836,0.03113460588741094,-0.09821965061006283,-0.1842411680144251,-0.35191717440062936,-0.08951488891839907,-0.3627838546555047,-0.25064939408487574,-0.048371180620733964,-0.3137089437301148,-0.04731516909223089,-0.4516705578526484,-0.3428716505210711,-0.3879665954900999,-0.04438485828482372,-0.1825734321087999,-0.2776857464757157
shannon_ttaxa_toe,4.439030285043802,-0.17266376933244984,-0.18678759504471565,-0.3161104723800694,0.008372295429313866,-0.18911802628723953,-0.2547231967207143,-0.3462186985410586,-0.18266281245906935,-0.227330985233228,-0.2608011259697473,-0.142443801558068,-0.33470036761800165,-0.04145635008713161,-0.5095537652345017,-0.34814605238590784,-0.45407050017069867,-0.04208632877452168,-0.1992895743793003,-0.2392391582966922
simpson_ttaxa_coe,1.8940637080763056,0.05314724866834929,0.29012476859273967,0.21223403538646335,-0.02351868407904929,0.024670473519790785,0.013956439305481644,0.22063533121953852,0.03330631285635706,0.3259436839106773,-0.09993675762017278,0.022909104081092153,0.18012781188613614,-0.07993796780417171,0.17694191401977366,0.10488416205684853,0.21166909097633332,-0.08352145799492364,0.03170269230695091,0.27872550678809077
simpson_ttaxa_cote,4.320871419788697,0.13900539668102574,0.23444825018310933,0.43014668085443347,0.05074209864730402,0.12652874596472677,0.1279385370061165,0.3163458933932123,0.12346680101264748,0.34731426125567466,0.045919516335914366,0.1278020612251955,0.22230072869772943,0.08938705154499692,0.46465553229169165,0.36467071967350617,0.36065938961906885,0.08387712365821354,0.2722327148098808,0.39342991693424906
simpson_ttaxa_potec,4.346480256119806,0.14281183249277796,0.23853664420313947,0.4284040204323359,0.05074209864730402,0.13019420267234003,0.12666972506886573,0.31734914234722855,0.1271323868834198,0.3466093408959108,0.04815949274254434,0.13033977452034554,0.2265350282919719,0.09248881043141638,0.46465553229169165,0.3611391419118027,0.36065938961906885,0.08712215956088623,0.2722327148098808,0.39469881829687525
