site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida,,basin,depth,width,cur_spd,algae_diaoms_presen,thickness_diatoms_present,macrophyte_pct,canopy,embeddedness,rock,rubble,gravel,sand,silt,clay,land_use,field_water_qlty,habitat,lgs_habitat_bank,lgs_habitat_macrophyte,lgs_habitat_snag,lgs_habitat_substrate,bottom_type,dominant_substrate,water_clarity_driver,epifaunal_cover,embeddedness_pooling,velocity_depth_regime,sediment_deposition,flow_status,channel_alteration,riffle_bend_frequency,left_bank_stability,right_bank_stability,left_bank_veg,right_bank_veg,left_bank_veg_zone,right_bank_veg_zone,temp,spcond,do_conc,do_pct_sat,ph,salinity,ref_field_yn,riffle_present,chl_a,site_condition_v1,site_condition_v2,site_condition_notes,microtox,hab_present,biosample,habitat_total_score,snag_present,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,landcover_water_pct,landcover_agdev_pct,condition_class
11-TEET-0.8,0,0,0,8,0,143,7,2,0,0,0,0,0,2,1,0,0,0,7,0,2,12,2,0,0,0,0,0,0,0,17,,11,5.5,3.5,10,NA,NA,5,11.6,NA,NA,NA,NA,NA,NA,NA,Forest; Wetland; Agriculture,NA,NA,2,2,2,2,Soft,Sand,DOC,17,17,16,15,19,18,11,9,9,9,9,7,10,15.73,18,8.12,81.7,4.35,NA,Yes,No,1.11,ref,ref,NA,NA,NA,NA,NA,Y,99.29880118,0.214883511,0,0.486315313,0.214883511,1
13-BASC_T17-2.4,0,0,2,2,0,127,3,0,0,0,0,58,0,0,2,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,3,,13,0.1,2,21,100,1,10,20,25,30,50,10,10,NA,NA,Residential,Good,Impoundment,2,2,2,2,Hard,Gravel,DOC,16,16,16,16,18,15,17,10,10,10,10,5,5,20,175,7.3,84,7.4,NA,NA,NA,NA,NA,NA,NA,0,0,1,164,Y,83.99044205,3.166069295,11.02150538,1.821983274,14.18757467,1
13-EBCR-16.3,38,0,0,16,0,83,24,3,0,0,0,15,0,0,1,0,0,0,15,0,0,5,2,0,0,0,0,0,0,0,0,,13,0.1,25,1,100,1,40,49,NA,NA,NA,NA,NA,NA,NA,Wetland,Good,Adequate,2,2,2,2,Soft,Silt,Turbidity,15,15,14,13,14,17,18,8,9,9,9,10,10,19.5,412.3,5.01,54.5,7.19,NA,NA,NA,NA,NA,NA,NA,0,0,1,161,Y,77.86028639,9.780082826,11.5521427,0.807488089,21.33222553,1
13-WBLKK-8.9,103,4,14,20,4,50,5,7,0,0,0,14,0,0,0,0,0,0,11,0,0,2,2,0,0,0,0,1,0,0,1,,13,6.75,2.5,0,NA,NA,20,53.2,NA,NA,NA,NA,NA,NA,NA,Residential; Forest; Wetland;,NA,NA,2,2,2,2,Hard,Gravel,Turb,17,16,16,4,20,19,10,9,9,10,10,10,9,16.98,398,5.77,59.4,6.88,NA,No,No,8.75,test,test,NA,NA,NA,NA,NA,Y,68.78121347,5.063223887,25.65083413,0.504728509,30.71405802,1
14-HURL-2.8,50,0,8,12,0,65,14,2,0,0,1,4,2,0,0,0,0,0,23,0,0,19,12,0,0,0,0,0,1,0,4,,14,0.5,5,0.1,NA,NA,10,42,NA,NA,NA,NA,NA,NA,NA,Residential,NA,NA,2,2,2,2,Hard,Sand,DOC,13,13,10,19,20,16,12,9,9,9,9,2,5,17.4,147,9.6,100,7.3,NA,No,Yes,NA,ref,ref,NA,NA,NA,NA,NA,Y,77.65648315,11.52909762,8.230581952,2.583837273,19.75967957,1
14-TENR-3.7,0,0,0,21,0,98,53,0,0,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,0,0,0,0,0,0,7,,14,0.75,12,10,80,3,20,0,NA,10,10,0,40,10,30,Wetland,NA,NA,2,2,2,2,Soft,Sand,DOC,15,14,13,18,20,20,17,10,10,10,10,10,10,21,108,7.53,84.5,7.26,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,78.54010249,3.698009772,15.94803957,1.813848171,19.64604934,1
14-WLAK-5.8,39,0,0,21,0,155,55,14,0,0,0,11,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,4,,14,0.1,3,0.3,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,Forested,NA,NA,2,2,2,2,Soft,Silt,NA,12,11,9,10,20,18,20,10,10,10,10,2,10,18.5,208,8.2,88,6.5,NA,No,No,NA,ref,ref,NA,NA,NA,NA,NA,Y,80.88406752,7.725452426,3.786688295,7.603791757,11.51214072,1
15-MAWA-3.7,75,0,10,7,1,29,6,0,0,0,0,61,0,1,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,1,,15,0.9,6,0.05,NA,NA,0,80,NA,NA,NA,NA,NA,NA,NA,Residential,NA,NA,2,2,2,2,Hard,Gravel,Turb,15,18,17,18,19,20,20,9,9,9,9,10,5,19.8,483,7.2,72,7.6,NA,No,No,NA,test,test,NA,NA,NA,NA,NA,Y,69.33730023,30.44943524,0,0.213264527,30.44943524,1
16-BOGH-0.3,43,0,0,0,0,121,7,0,0,0,0,8,0,0,1,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,1,,16,60,3,0,NA,NA,50,10,NA,NA,NA,NA,NA,NA,NA,Wetland,NA,NA,2,2,2,2,Very soft,Silt,DOC,17,12,15,5,19,20,13,9,9,10,10,10,10,17.7,161,8.16,84.6,6.96,NA,Yes,No,0.74,ref,ref,NA,NA,NA,NA,NA,Y,96.37925744,2.321775596,0.347754935,0.951212028,2.669530531,1
16-WEBA-23.3,52,0,27,0,1,16,1,3,1,0,0,43,2,4,0,0,0,0,0,0,0,0,42,0,0,7,0,0,1,0,1,,16,0.6,3,90,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,Wetlands; agricultural,NA,NA,2,2,2,2,Hard,Gravel,NA,15,16,16,8,19,16,12,9,9,9,9,9,9,17.02,258,5.33,55.1,6.87,NA,Yes,No,0.74,test,test,NA,NA,NA,NA,NA,Y,74.55490435,3.997567179,20.82273582,0.624792657,24.820303,1
17-MIAN-14.2,91,0,12,7,0,21,3,21,0,0,0,14,0,0,0,0,0,0,19,0,0,4,5,0,0,0,0,0,0,0,23,,17,1,5,40,100,1,30,20,NA,0,0,0,30,70,0,Residential,NA,NA,-9999,-9999,-9999,-9999,Very_soft,Silt,Turbidity,12,12,10,15,19,13,19,9,9,10,9,10,5,18,456,8.35,88.6,7.21,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.69899666,19.39464883,2.725752508,1.180602007,22.12040134,1
17-PECN-8.9,70,2,1,3,0,67,5,1,3,0,0,8,0,0,0,1,3,0,2,0,0,10,0,0,0,5,0,1,0,0,29,,17,0.5,10,20,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,Recreation forest,NA,NA,2,2,2,2,Soft,Sand,DOC,19,16,19,12,18,17,18,10,8,10,10,10,10,25.28,63,12.48,151,6.11,NA,No,No,NA,test,test,NA,NA,NA,NA,NA,Y,58.5471458,32.57562241,8.041608679,0.835623119,40.61723108,1
