site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida,,event_id,site_id,basin,sample_date,arrivetime,crew,depth,width,cur_spd,algae_diaoms_presen,thickness_diatoms_present,macrophyte_pct,canopy,embeddedness,rock,rubble,gravel,sand,silt,clay,land_use,general_comment,field_water_qlty,habitat,lgs_habitat_bank,lgs_habitat_macrophyte,lgs_habitat_snag,lgs_habitat_substrate,bottom_type,dominant_substrate,water_clarity_driver,macro_comment,gradient,epifaunal_cover,embeddedness_pooling,velocity_depth_regime,sediment_deposition,flow_status,channel_alteration,riffle_bend_frequency,left_bank_stability,right_bank_stability,left_bank_veg,right_bank_veg,left_bank_veg_zone,right_bank_veg_zone,habitat_comment,temp,spcond,do_conc,do_pct_sat,ph,salinity,photo,photo_2,ref_field_yn,riffle_present,chl_a,site_condition_v1,site_condition_v2,site_condition_notes,microtox,pht_id_up,pht_id_dwn,hab_present,biosample,habitat_total_score,snag_present,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,landcover_water_pct,landcover_agdev_pct,site_id,condition_class,PC1
02-BLBA-0.4,19,0,21,6,0,54,13,2,0,0,0,0,0,0,0,0,0,0,115,0,0,2,7,0,0,0,0,0,0,0,0,,02-BLBA-0.4_20160831,02-BLBA-0.4,2,8/31/2016,13:52:00,"Lope, Heitz",1,5,NA,NA,NA,50,18,NA,NA,NA,NA,NA,NA,NA,Agriculture,Low gradient,NA,Other,2,2,2,2,Hard,Gravel,Turbidity,NA,NA,16,17,13,15,15,18,14,9,9,9,9,10,10,NA,21.1,387,4.7,52,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14731747070009.jpg,14731747070010.jpg,NA,1,164,Y,42.48155854,22.1108379,35.16171742,0.245886136,57.27255532,02-BLBA-0.4,2,0.093777152
02-CASS-25.6,37,0,84,15,0,35,2,3,0,0,0,1,0,0,0,0,0,0,31,0,0,7,4,0,0,0,0,0,0,0,1,,02-CASS-25.6_20160831,02-CASS-25.6,2,8/31/2016,12:21:00,Duffieber,1,10,5,NA,NA,20,8.5,NA,NA,NA,NA,NA,NA,NA,Agriculture,Low gradient sample,NA,NA,2,2,2,2,Soft,Silt,Turbidity,NA,NA,17,12,16,18,20,19,19,10,5,10,7,10,10,NA,22.3,284,4.5,55,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14731790090011.jpg,14731790090012.jpg,NA,1,173,Y,70.48312071,3.416795878,25.19893356,0.901149849,28.61572944,02-CASS-25.6,1,1.32574528
02-CASS-33.3,61,0,3,19,1,87,9,23,0,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,1,,02-CASS-33.3_20160831,02-CASS-33.3,2,8/31/2016,11:47:00,Duffieber,1,4,0,NA,NA,10,16,NA,NA,NA,NA,NA,NA,NA,Agriculture,Low gradient site,NA,NA,2,2,2,2,Soft,Silt,Turbidity,NA,NA,13,13,10,15,NA,18,20,4,9,4,9,0,2,NA,18.5,401,3.7,40,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14731790090013.jpg,14731790090014.jpg,NA,1,117,Y,60.02418867,5.585567426,32.00765975,2.382584156,37.59322717,02-CASS-33.3,2,0.196746916
02-RAWS-0.8,61,0,16,20,1,20,36,2,0,0,0,1,0,0,0,0,27,0,42,0,0,7,11,0,0,0,0,0,3,0,12,,02-RAWS-0.8_20160830,02-RAWS-0.8,2,8/30/2016,13:06:00,Mosher smith,0.2,4,0,60,2,30,4,30,0,50,20,10,20,NA,Forest,"Sheen on water, water scorpion, hard bottom",NA,Low flow,2,2,2,2,Hard,Gravel,DOC,NA,NA,15,18,17,14,18,17,15,8,9,7,8,3,8,NA,23.4,304,5.3,62,7.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1,14728238780037.jpg,14728238780038.jpg,NA,1,157,Y,77.2955077,1.691826383,20.69981472,0.312851198,22.3916411,02-RAWS-0.8,1,1.322527752
03-BEAG-1.8,70,0,33,1,0,40,0,4,0,0,0,38,0,0,0,0,0,0,1,0,0,4,6,0,0,4,0,0,1,0,2,,03-BEAG-1.8_20150722,03-BEAG-1.8,3,7/22/2015,9:26:00,JL/JD,1,4,2,NA,NA,10,96,NA,NA,NA,NA,NA,NA,NA,AG,Nearly still water,NA,NA,2,2,2,2,Soft,Sand,Turb,NA,NA,7,8,1,6,12,15,9,8,7,7,8,4,6,NA,19,820,4.69,49,7.78,NA,14377589820009.jpg,14377589820010.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,39.26078272,4.150928471,56.56060276,0.02768604,60.71153124,03-BEAG-1.8,3,-1.591009462
03-BEEK-4.5,7,0,1,0,0,62,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,1,0,3,,03-BEEK-4.5_20160817,03-BEEK-4.5,3,8/17/2016,10:31:00,Lojp heitzman mosher onion,0.5,4,0,100,2,50,68,NA,NA,NA,NA,NA,NA,NA,Agriculture,"Swampy, may be impounded downstream of road Done for Permits section info",NA,Low flow,2,2,2,2,Soft,Silt,Turbidity,NA,NA,8,13,15,12,18,13,15,7,10,10,10,6,10,NA,22.5,615,1.9,23,7.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0,14716173550003.jpg,14716173550004.jpg,NA,1,147,Y,45.77231631,5.749395136,48.47828855,0,54.22768369,03-BEEK-4.5,2,-0.487279659
03-CHMO-8.6,38,0,23,0,2,6,4,1,160,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,0,0,3,0,3,,03-CHMO-8.6_20150721,03-CHMO-8.6,3,7/21/2015,16:23:00,A. Smith; R. Smith,1,15,10,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,Agricultural,Very little flow; had to move the site upstream from original coordinates due to access,NA,NA,2,2,2,2,Very soft,Clay,Susp Algae,NA,NA,15,10,7,5,17,15,13,8,8,8,8,8,8,NA,23,506,1.2,13,7.2,NA,14377607730005.jpg,14377607730006.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,44.57132366,5.610427758,49.31338351,0.504865063,54.92381127,03-CHMO-8.6,2,-0.851846481
03-EMIL_E_T6-0.4,46,0,184,4,0,19,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,54,,03-EMIL_E_T6-0.4_20150708,03-EMIL_E_T6-0.4,3,7/8/2015,9:32:00,BDuffy;RSmith,0.2,1,0,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,Agricultural,Mayfly found. May dry up during summer,NA,NA,2,2,0,2,Hard,Gravel,Turb,NA,NA,11,5,2,17,14,7,3,8,7,3,3,2,1,Thick mats of filamentous algae covered most of the substrate.,16.47,802,7.19,73.8,7.33,NA,14363970980007.jpg,14363970980008.jpg,No,No,3.49,test,test,NA,NA,NA,NA,NA,NA,NA,N,31.39534884,7.235142119,61.36950904,0,68.60465116,03-EMIL_E_T6-0.4,3,-2.444768762
03-FOMI-5.5,85,0,4,0,1,17,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,,03-FOMI-5.5_20150721,03-FOMI-5.5,3,7/21/2015,12:45:00,Heitzman; Novak,0.2,2,15,NA,NA,50,44,NA,NA,NA,NA,NA,NA,NA,Agricul; open fields,Scuds; Isopoda; crayfish; damsels,NA,NA,2,2,0,2,Soft,Clay,Turb,NA,NA,10,11,6,17,13,15,10,8,8,9,8,9,7,NA,21.8,908,4.7,54,7.4,NA,14377645430001.jpg,14377645430002.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,N,41.85155305,49.97983058,6.262605889,1.906010488,56.24243647,03-FOMI-5.5,3,-0.874374383
03-FOMI_S-0.1,92,0,10,8,1,74,0,0,0,2,0,20,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,,03-FOMI_S-0.1_20150721,03-FOMI_S-0.1,3,7/21/2015,13:45:00,heitz novak,0.2,3,0,NA,NA,0,88,NA,NA,NA,NA,NA,NA,NA,Rural residential,NA,NA,NA,2,0,2,2,NA,Clay,Turb,NA,NA,10,15,5,11,13,15,13,6,6,4,4,10,9,NA,23,834,6,71,7.7,NA,14377645430003.jpg,14377645430004.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,51.21486697,38.51214867,8.657009292,1.615975068,47.16915796,03-FOMI_S-0.1,2,-0.537876788
03-GUFF-0.9,20,0,62,53,1,12,14,71,0,0,0,1,0,0,1,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,,03-GUFF-0.9_20150721,03-GUFF-0.9,3,7/21/2015,14:34:00,A. Smith; R. Smith,0.3,5,10,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,Agricultural,Impounded by beaver dam so there is very little flow if any. Filamentous algae and macrophytes cover the entire surface area of the water.,NA,NA,2,2,2,2,Very soft,Clay,Turb,NA,NA,17,5,3,7,17,17,10,7,7,8,8,10,10,NA,24.6,373,1.7,20,6.9,NA,14377607730003.jpg,14377607730004.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,39.11541889,3.319964349,57.48663102,0.07798574,60.80659537,03-GUFF-0.9,2,-0.866566222
03-HRTB-2.2,1,0,4,13,2,128,18,1,0,0,0,0,0,0,0,0,0,0,3,0,0,37,1,0,0,0,0,0,0,0,3,,03-HRTB-2.2_20150721,03-HRTB-2.2,3,7/21/2015,12:53:00,A. Smith; R. Smith,0.2,3,70,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,Agricultural and residential,Small; shallow low gradient stream with exposed roots from riparian vegetation.,NA,NA,2,2,2,2,Soft,Sand,Turb,NA,NA,14,16,8,12,17,13,9,6,8,5,8,2,2,NA,22,718,7.1,80,7.7,NA,14377607730001.jpg,14377607730002.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,27.67107962,4.481322643,65.8835229,1.964074834,70.36484555,03-HRTB-2.2,3,-1.48524561
03-JEDO_T3-0.4,18,0,190,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,4,0,0,0,0,2,,03-JEDO_T3-0.4_20150708,03-JEDO_T3-0.4,3,7/8/2015,9:58:00,BDuffy; RSmith,0.2,0.4,0.2,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,Agricultural,NA,NA,NA,2,2,2,2,Hard,Gravel,NA,NA,NA,16,5,5,15,18,17,6,8,8,7,7,3,3,NA,18.35,879,10.69,113,8.06,NA,14363970980001.jpg,14363970980002.jpg,No,No,2.19,test,test,NA,NA,NA,NA,NA,NA,NA,Y,17.1957672,3.439153439,78.30687831,1.058201058,81.74603175,03-JEDO_T3-0.4,3,-2.118482358
03-JOHN-13.7,15,0,3,16,0,147,0,4,6,0,0,17,0,0,0,0,8,0,2,0,0,12,5,0,0,2,0,0,0,0,3,,03-JOHN-13.7_20150721,03-JOHN-13.7,3,7/21/2015,14:53:00,JL/JD,3,15,5,NA,NA,10,86,NA,NA,NA,NA,NA,NA,NA,AG,Net Jab too deep to center,NA,NA,2,1,2,2,Very soft,Silt,Turb,NA,NA,12,2,1,12,16,12,8,3,3,5,5,3,6,NA,25,694,6.6,82.7,8.13,NA,14377589820007.jpg,14377589820008.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,36.41820256,6.195743836,57.16192632,0.224127279,63.35767016,03-JOHN-13.7,3,-1.842360999
03-MIDL-2.4,10,0,2,1,7,98,0,2,0,0,0,55,0,0,0,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,20,,03-MIDL-2.4_20150721,03-MIDL-2.4,3,7/21/2015,12:56:00,JL/JD,0.6,3,10,NA,NA,40,36,NA,NA,NA,NA,NA,NA,NA,AG.,Small stream at culvert,NA,NA,2,2,2,2,Soft,Silt,Turb,NA,NA,15,8,2,8,18,14,4,6,6,4,4,3,3,NA,19.3,939,3.61,39.3,7.73,NA,14377589820005.jpg,14377589820006.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,Y,28.4602688,3.867012497,67.6727187,0,71.5397312,03-MIDL-2.4,3,-2.2805775
03-SAND_T21-4.0,4,0,0,15,0,80,0,0,0,1,0,56,0,0,0,0,0,0,4,0,0,4,13,0,0,3,0,0,0,0,32,,03-SAND_T21-4.0_20150716,03-SAND_T21-4.0,3,7/16/2015,9:39:00,RSmith; Jlojpsberger; CLawrence,0.3,1,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,Wetlands; forest,NA,NA,NA,2,2,2,2,Soft,Clay,DOC,NA,NA,14,14,16,15,19,20,20,9,10,10,10,10,10,NA,18.8,95,5.03,54.5,6.8,NA,14370659950019.jpg,14370659950020.jpg,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,NA,NA,Y,94.55201838,0.525106662,3.807023302,1.115851657,4.332129964,03-SAND_T21-4.0,1,2.681791094
03-TELV-12.8,125,0,8,0,1,55,5,8,0,0,0,0,0,0,1,0,0,0,3,0,0,0,15,0,0,2,0,0,0,0,8,,03-TELV-12.8_20150721,03-TELV-12.8,3,7/21/2015,15:44:00,Heitz novak,0.3,3,0,NA,NA,40,55,NA,NA,NA,NA,NA,NA,NA,Agricultural,Substrate is mainly decomposed plant matter and very sticky mud!,NA,NA,0,2,0,2,Very soft,Silt,Turb,NA,NA,11,11,6,9,14,15,8,7,7,9,9,10,10,NA,24.5,739,5.1,61,7.4,NA,14377645430005.jpg,14377645430006.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,N,49.14694551,5.998899285,44.0286186,0.825536599,50.02751789,03-TELV-12.8,2,-0.721418706
03-YANT_T1c-0.2,1,0,162,0,0,46,0,1,0,0,0,0,0,0,1,0,0,0,5,3,0,0,7,0,0,3,0,0,0,0,9,,03-YANT_T1c-0.2_20150722,03-YANT_T1c-0.2,3,7/22/2015,10:00:00,JL/JD,0.12,1,10,NA,NA,80,52,NA,NA,NA,NA,NA,NA,NA,AG,Channel above stagnant pool; south of Srinagar 360. Micro tox sample done,NA,NA,2,2,0,2,Hard,Sand,Turb,NA,NA,3,3,5,3,10,17,10,5,6,3,6,2,4,NA,18,779,6.45,68.6,7.46,NA,14377589820011.jpg,14377589820012.jpg,No,No,NA,test,test,NA,NA,NA,NA,NA,NA,NA,N,33.81321983,2.804206309,63.38257386,0,66.18678017,03-YANT_T1c-0.2,3,-2.396036774
04-BLAK_N_T1-1.1,0,0,13,2,0,83,0,0,0,1,0,47,0,0,3,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,15,,04-BLAK_N_T1-1.1_20190723,04-BLAK_N_T1-1.1,4,7/23/2019,13:09:00,"Conine,Lemley",0.2,3,10,NA,-9999,30,60,NA,5,0,0,0,95,0,Agriculture,NA,NA,NA,2,2,2,2,Very_soft,Silt,NA,NA,Low,16,15,7,16,15,14,8,8,7,9,9,6,5,NA,18,774,6.76,71.9,7.65,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,54.24505835,2.601809955,43.1531317,0,45.75494165,04-BLAK_N_T1-1.1,2,-0.497490025
04-BLAK_T16-0.8,12,0,8,1,1,140,33,0,0,4,0,0,0,0,1,0,0,0,3,0,0,5,2,0,0,0,0,0,0,0,6,,04-BLAK_T16-0.8_20190723,04-BLAK_T16-0.8,4,7/23/2019,14:18:00,"Conine,Lemley",0.1,0.5,20,0,0,10,30,NA,0,0,10,0,90,0,Agriculture,NA,NA,NA,2,2,1,2,Soft,Silt,DOC,NA,Low,5,8,3,11,9,6,3,6,6,4,4,5,5,NA,21,627,9.12,102,8.29,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,39.72799396,2.432942954,57.83906309,0,60.27200604,04-BLAK_T16-0.8,3,-1.970519076
04-BLAK_T7-3.0,24,0,24,8,1,112,2,2,0,0,0,2,0,0,8,0,0,0,36,0,0,0,18,0,0,1,0,0,0,0,5,,04-BLAK_T7-3.0_20150707,04-BLAK_T7-3.0,4,7/7/2015,15:50:00,Duffy RSmith,0.3,4,0.05,NA,NA,30,40,NA,NA,NA,NA,NA,NA,NA,Ag,Sites flows through onstream pond just upstream,NA,NA,2,2,2,2,Very soft,Silt,Turb,NA,NA,14,8,10,12,18,15,15,5,7,8,8,6,2,NA,25.2,970,10.2,115,7.4,NA,14363970980023.jpg,14363970980024.jpg,No,No,5,test,test,NA,NA,NA,NA,NA,NA,NA,Y,38.71883235,51.75349686,9.000608149,0.527062639,60.75410501,04-BLAK_T7-3.0,3,-0.982422758
04-BLCE-5.2,30,0,10,33,2,125,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,04-BLCE-5.2_20190724,04-BLCE-5.2,4,7/24/2019,15:40:00,"Lemley,Conine",0.8,15,25,10,1,10,20,10,0,10,0,0,90,0,Forest,NA,Poor,Adequate,2,0,1,2,Soft,Silt,DOC,NA,Low,12,10,12,14,14,14,7,8,8,9,8,9,8,NA,23,114,8.75,102.2,7.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,77.08082968,1.869742325,20.44230799,0.607120004,22.31205032,04-BLCE-5.2,1,1.037914567
04-JCOX-4.6,317,0,14,1,31,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,,04-JCOX-4.6_20150708,04-JCOX-4.6,4,7/8/2015,14:35:00,BDuffy; RSmith,0.4,12,0,NA,NA,10,25,NA,NA,NA,NA,NA,NA,NA,Forest,Bedrock substrate. Macrophage and bank is dominant habitat. Substrate sample is specific to the macrophyte beds,NA,NA,2,2,0,2,Hard,NA,Turb,NA,NA,8,3,5,15,19,19,5,8,8,8,8,8,8,NA,21.58,837,10.95,125,8.09,NA,14363970980009.jpg,14363970980010.jpg,NA,Yes,3.9,test,test,NA,NA,NA,NA,NA,NA,NA,N,18.70364648,7.43974042,73.8566131,0,81.29635352,04-JCOX-4.6,3,-1.962659242
