OBJECTID,Name,RegionID,RegionName,AreaPercen,AreaSqMi,StatLabel,StatName,Value,Units,MinLimit,MaxLimit
42,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,DRNAREA,Drainage Area,22.3,square miles,3.14,4780
43,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,JUNAVPRE,Mean June Precipitation,4.694,inches,3.59,5.33
44,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,CENTROIDX,CENTROIDX,260074.8,meters,166000,658000
45,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,CENTROIDY,CENTROIDY,4700772.3,meters,4560000,4920000
46,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,CSL1085LO,10-85 slope of lower half of main channel,4.711,feet per mi,1.56,152
47,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,MAR,Mean Annual Runoff in inches,15.37,inches,11.6,37.4
48,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,SSURGOB,SSURGO Percent Hydrologic Soil Type B,3.63,percent,1.14,65.7
49,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,JULAVPRE,Mean July Precipitation,3.758,inches,3.2,5.26
50,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,MAYAVPRE,Mean May Precipitation,3.37,inches,3.15,5.68
51,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,PRJUNAUG00,Basin average mean precip for June to August,12.054,inches,10.5,15.5
52,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,JUNMAXTMP,Maximum June Temperature,74.187,degrees F,68.8,78.8
53,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,SSURGOA,SSURGO Percent Hydrologic Soil Type A,0.795,percent,0.62,51.2
54,04-BLCE-5.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,22.3,EL1200,Percentage of Basin Above 1200 ft,100.0,percent,0,100
55,04-BLCE-5.2,gc1430,Bankfull_Region_6_SIR2009_5144,100,22.3,DRNAREA,Drainage Area,22.3,square miles,1.02,290
56,04-JCOX_S-3.7,gc1076,2006_Full_Region_6,100,0.19,DRNAREA,Drainage Area,0.19,square miles,0.58,2467
57,04-JCOX_S-3.7,gc1076,2006_Full_Region_6,100,0.19,SLOPERATIO,Slope Ratio NY,3.07,dimensionless,0.019,0.698
58,04-JCOX_S-3.7,gc1076,2006_Full_Region_6,100,0.19,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
59,04-JCOX_S-3.7,gc1076,2006_Full_Region_6,100,0.19,STORAGE,Percent Storage,0.0,percent,0,5.98
60,04-JCOX_S-3.7,gc1076,2006_Full_Region_6,100,0.19,MAR,Mean Annual Runoff in inches,9.65,inches,9.49,22.77
61,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,DRNAREA,Drainage Area,0.19,square miles,3.14,4780
62,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,JUNAVPRE,Mean June Precipitation,3.854,inches,3.59,5.33
63,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,CENTROIDX,CENTROIDX,273666.8,meters,166000,658000
64,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,CENTROIDY,CENTROIDY,4741458.4,meters,4560000,4920000
65,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,CSL1085LO,10-85 slope of lower half of main channel,79.704,feet per mi,1.56,152
66,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,MAR,Mean Annual Runoff in inches,9.65,inches,11.6,37.4
67,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,SSURGOB,SSURGO Percent Hydrologic Soil Type B,35.237,percent,1.14,65.7
68,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,JULAVPRE,Mean July Precipitation,3.335,inches,3.2,5.26
69,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,MAYAVPRE,Mean May Precipitation,3.14,inches,3.15,5.68
70,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,PRJUNAUG00,Basin average mean precip for June to August,10.517,inches,10.5,15.5
71,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,JUNMAXTMP,Maximum June Temperature,76.172,degrees F,68.8,78.8
72,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,SSURGOA,SSURGO Percent Hydrologic Soil Type A,0.0,percent,0.62,51.2
73,04-JCOX_S-3.7,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,0.19,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
74,04-JCOX_S-3.7,gc1431,Bankfull_Region_7_SIR2009_5144,100,0.19,DRNAREA,Drainage Area,0.19,square miles,1.07,349
75,04-MCMI_S-5.0,gc1075,2006_Full_Region_5,0,0.0,DRNAREA,Drainage Area,7.42,square miles,1.7,4773
76,04-MCMI_S-5.0,gc1075,2006_Full_Region_5,0,0.0,CSL10_85,Stream Slope 10 and 85 Method,129.0,feet per mi,2.76,222.55
77,04-MCMI_S-5.0,gc1075,2006_Full_Region_5,0,0.0,PRECIP,Mean Annual Precipitation,30.52,inches,31.64,49.79
78,04-MCMI_S-5.0,gc1076,2006_Full_Region_6,100,7.42,DRNAREA,Drainage Area,7.42,square miles,0.58,2467
79,04-MCMI_S-5.0,gc1076,2006_Full_Region_6,100,7.42,SLOPERATIO,Slope Ratio NY,0.25,dimensionless,0.019,0.698
80,04-MCMI_S-5.0,gc1076,2006_Full_Region_6,100,7.42,EL1200,Percentage of Basin Above 1200 ft,100.0,percent,0,100
81,04-MCMI_S-5.0,gc1076,2006_Full_Region_6,100,7.42,STORAGE,Percent Storage,2.89,percent,0,5.98
82,04-MCMI_S-5.0,gc1076,2006_Full_Region_6,100,7.42,MAR,Mean Annual Runoff in inches,11.08,inches,9.49,22.77
83,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,DRNAREA,Drainage Area,7.42,square miles,3.14,4780
84,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,JUNAVPRE,Mean June Precipitation,4.173,inches,3.59,5.33
85,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,CENTROIDX,CENTROIDX,283574.4,meters,166000,658000
86,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,CENTROIDY,CENTROIDY,4727261.9,meters,4560000,4920000
87,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,CSL1085LO,10-85 slope of lower half of main channel,6.054,feet per mi,1.56,152
88,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,MAR,Mean Annual Runoff in inches,11.08,inches,11.6,37.4
89,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,SSURGOB,SSURGO Percent Hydrologic Soil Type B,15.75,percent,1.14,65.7
90,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,JULAVPRE,Mean July Precipitation,3.573,inches,3.2,5.26
91,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,MAYAVPRE,Mean May Precipitation,3.369,inches,3.15,5.68
92,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,PRJUNAUG00,Basin average mean precip for June to August,11.467,inches,10.5,15.5
93,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,JUNMAXTMP,Maximum June Temperature,74.066,degrees F,68.8,78.8
94,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,SSURGOA,SSURGO Percent Hydrologic Soil Type A,1.497,percent,0.62,51.2
95,04-MCMI_S-5.0,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,7.42,EL1200,Percentage of Basin Above 1200 ft,100.0,percent,0,100
96,04-MCMI_S-5.0,gc1430,Bankfull_Region_6_SIR2009_5144,8,0.6,DRNAREA,Drainage Area,7.42,square miles,1.02,290
97,04-MCMI_S-5.0,gc1431,Bankfull_Region_7_SIR2009_5144,92,6.82,DRNAREA,Drainage Area,7.42,square miles,1.07,349
98,04-WCONI-0.6,gc1075,2006_Full_Region_5,0,0.0,DRNAREA,Drainage Area,28.2,square miles,1.7,4773
99,04-WCONI-0.6,gc1075,2006_Full_Region_5,0,0.0,CSL10_85,Stream Slope 10 and 85 Method,121.61,feet per mi,2.76,222.55
100,04-WCONI-0.6,gc1075,2006_Full_Region_5,0,0.0,PRECIP,Mean Annual Precipitation,30.04,inches,31.64,49.79
101,04-WCONI-0.6,gc1076,2006_Full_Region_6,100,28.2,DRNAREA,Drainage Area,28.2,square miles,0.58,2467
102,04-WCONI-0.6,gc1076,2006_Full_Region_6,100,28.2,SLOPERATIO,Slope Ratio NY,0.24,dimensionless,0.019,0.698
103,04-WCONI-0.6,gc1076,2006_Full_Region_6,100,28.2,EL1200,Percentage of Basin Above 1200 ft,72.52,percent,0,100
104,04-WCONI-0.6,gc1076,2006_Full_Region_6,100,28.2,STORAGE,Percent Storage,1.02,percent,0,5.98
105,04-WCONI-0.6,gc1076,2006_Full_Region_6,100,28.2,MAR,Mean Annual Runoff in inches,10.73,inches,9.49,22.77
106,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,DRNAREA,Drainage Area,28.2,square miles,3.14,4780
107,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,JUNAVPRE,Mean June Precipitation,4.061,inches,3.59,5.33
108,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,CENTROIDX,CENTROIDX,280533.9,meters,166000,658000
109,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,CENTROIDY,CENTROIDY,4728659.1,meters,4560000,4920000
110,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,CSL1085LO,10-85 slope of lower half of main channel,14.331,feet per mi,1.56,152
111,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,MAR,Mean Annual Runoff in inches,10.73,inches,11.6,37.4
112,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,SSURGOB,SSURGO Percent Hydrologic Soil Type B,21.57,percent,1.14,65.7
113,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,JULAVPRE,Mean July Precipitation,3.49,inches,3.2,5.26
114,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,MAYAVPRE,Mean May Precipitation,3.275,inches,3.15,5.68
115,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,PRJUNAUG00,Basin average mean precip for June to August,11.131,inches,10.5,15.5
116,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,JUNMAXTMP,Maximum June Temperature,75.06,degrees F,68.8,78.8
117,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,SSURGOA,SSURGO Percent Hydrologic Soil Type A,2.054,percent,0.62,51.2
118,04-WCONI-0.6,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,28.2,EL1200,Percentage of Basin Above 1200 ft,72.52,percent,0,100
119,04-WCONI-0.6,gc1430,Bankfull_Region_6_SIR2009_5144,2,0.68,DRNAREA,Drainage Area,28.2,square miles,1.02,290
120,04-WCONI-0.6,gc1431,Bankfull_Region_7_SIR2009_5144,98,27.5,DRNAREA,Drainage Area,28.2,square miles,1.07,349
121,04-WDIT-0.1,gc1075,2006_Full_Region_5,100,43.3,DRNAREA,Drainage Area,43.4,square miles,1.7,4773
122,04-WDIT-0.1,gc1075,2006_Full_Region_5,100,43.3,CSL10_85,Stream Slope 10 and 85 Method,102.15,feet per mi,2.76,222.55
123,04-WDIT-0.1,gc1075,2006_Full_Region_5,100,43.3,PRECIP,Mean Annual Precipitation,30.52,inches,31.64,49.79
124,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,DRNAREA,Drainage Area,43.4,square miles,3.14,4780
125,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,JUNAVPRE,Mean June Precipitation,3.975,inches,3.59,5.33
126,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,CENTROIDX,CENTROIDX,271307.8,meters,166000,658000
127,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,CENTROIDY,CENTROIDY,4720253.9,meters,4560000,4920000
128,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,CSL1085LO,10-85 slope of lower half of main channel,5.63,feet per mi,1.56,152
129,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,MAR,Mean Annual Runoff in inches,11.83,inches,11.6,37.4
130,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,SSURGOB,SSURGO Percent Hydrologic Soil Type B,18.014,percent,1.14,65.7
131,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,JULAVPRE,Mean July Precipitation,3.325,inches,3.2,5.26
132,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,MAYAVPRE,Mean May Precipitation,3.099,inches,3.15,5.68
133,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,PRJUNAUG00,Basin average mean precip for June to August,10.776,inches,10.5,15.5
134,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,JUNMAXTMP,Maximum June Temperature,76.53,degrees F,68.8,78.8
135,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,SSURGOA,SSURGO Percent Hydrologic Soil Type A,2.533,percent,0.62,51.2
136,04-WDIT-0.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,43.3,EL1200,Percentage of Basin Above 1200 ft,41.42,percent,0,100
137,04-WDIT-0.1,gc1430,Bankfull_Region_6_SIR2009_5144,100,43.3,DRNAREA,Drainage Area,43.4,square miles,1.02,290
138,04-WMRSG-0.2,gc1075,2006_Full_Region_5,100,12.2,DRNAREA,Drainage Area,12.2,square miles,1.7,4773
139,04-WMRSG-0.2,gc1075,2006_Full_Region_5,100,12.2,CSL10_85,Stream Slope 10 and 85 Method,102.36,feet per mi,2.76,222.55
140,04-WMRSG-0.2,gc1075,2006_Full_Region_5,100,12.2,PRECIP,Mean Annual Precipitation,38.22,inches,31.64,49.79
141,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,DRNAREA,Drainage Area,12.2,square miles,3.14,4780
142,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,JUNAVPRE,Mean June Precipitation,4.944,inches,3.59,5.33
143,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,CENTROIDX,CENTROIDX,255154.9,meters,166000,658000
144,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,CENTROIDY,CENTROIDY,4654857.0,meters,4560000,4920000
145,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,CSL1085LO,10-85 slope of lower half of main channel,19.228,feet per mi,1.56,152
146,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,MAR,Mean Annual Runoff in inches,19.24,inches,11.6,37.4
147,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,SSURGOB,SSURGO Percent Hydrologic Soil Type B,3.919,percent,1.14,65.7
148,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,JULAVPRE,Mean July Precipitation,3.982,inches,3.2,5.26
149,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,MAYAVPRE,Mean May Precipitation,3.498,inches,3.15,5.68
150,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,PRJUNAUG00,Basin average mean precip for June to August,12.612,inches,10.5,15.5
151,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,JUNMAXTMP,Maximum June Temperature,74.403,degrees F,68.8,78.8
152,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,SSURGOA,SSURGO Percent Hydrologic Soil Type A,2.96,percent,0.62,51.2
153,04-WMRSG-0.2,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,12.2,EL1200,Percentage of Basin Above 1200 ft,100.0,percent,0,100
154,04-WMRSG-0.2,gc1430,Bankfull_Region_6_SIR2009_5144,100,12.2,DRNAREA,Drainage Area,12.2,square miles,1.02,290
155,09-BIBK-5.4,gc1071,2006_Full_Region_1,100,25.4,DRNAREA,Drainage Area,25.4,square miles,0.54,4500
156,09-BIBK-5.4,gc1071,2006_Full_Region_1,100,25.4,LAGFACTOR,Lag Factor,0.72,dimensionless,0.004,15.229
157,09-BIBK-5.4,gc1071,2006_Full_Region_1,100,25.4,STORAGE,Percent Storage,10.46,percent,0,28.92
158,09-BIBK-5.4,gc1071,2006_Full_Region_1,100,25.4,FOREST,Percent Forest,89.22,percent,23.83,99.61
159,09-BIBK-5.4,gc1071,2006_Full_Region_1,100,25.4,PRECIP,Mean Annual Precipitation,40.97,inches,29.49,56.1
160,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,DRNAREA,Drainage Area,25.4,square miles,3.14,4780
161,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,JUNAVPRE,Mean June Precipitation,4.033,inches,3.59,5.33
162,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,CENTROIDX,CENTROIDX,538479.8,meters,166000,658000
163,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,CENTROIDY,CENTROIDY,4874555.8,meters,4560000,4920000
164,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,CSL1085LO,10-85 slope of lower half of main channel,4.381,feet per mi,1.56,152
165,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,MAR,Mean Annual Runoff in inches,25.01,inches,11.6,37.4
166,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,SSURGOB,SSURGO Percent Hydrologic Soil Type B,1.663,percent,1.14,65.7
167,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,JULAVPRE,Mean July Precipitation,4.39,inches,3.2,5.26
168,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,MAYAVPRE,Mean May Precipitation,3.835,inches,3.15,5.68
169,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,PRJUNAUG00,Basin average mean precip for June to August,12.925,inches,10.5,15.5
170,09-BIBK-5.4,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,25.4,JUNMAXTMP,Maximum June Temperature,72.082,degrees F,68.8,78.8
