BASIN,LOCATION,RIVMILE,STATION,COLL_DATE,NAME,CREW,ARRIVETIME,WIDTH,DEPTH,CUR_SPD,TEMP,COND,DO,PERCENT_SAT,PH,CANOPY,SALINITY,SECCHI,EMBEDD,ROCK,RUBBLE,GRAVEL,SAND,SILT,CLAY,ALGAE_S,ALGAE_FIL,ALGAE_D,THICKNESS_D,MACRO,LGS_HAB_BNK,LGS_HAB_MAC,LGS_HAB_SNG,LGS_HAB_SUB,BOTTOM_TYPE,DOM_SUBSTRATE,WTRCLR_DRIVER,PHT_ID_UP,PHT_ID_DWN,EPHEM,PLECOP,TRICH,COLEOP,MEGALOP,ODONATA,CHIR,SIMUL,DECAPOD,GAMMAR,MOLLUSK,OLIGO,OTHERS,FIELD_WQA,HABITAT,NOTES,LANDUSE,SAMP,ORG_FOR_TOXICS,MICROTOX,HAB_PRESENT,PROJECT
01,LEDG,2.2,,8/4/2015,,JL/JD,2:16:00 PM,2,0.2,5,21.1,1286,9.25,104.8,7.95,60,,,10,,70,20,5,5,,1,0,100,1,,1,1,0,2,Hard,Gravel,DOC,14393100660033.jpg,14393100660034.jpg,1,0,0,1,0,1,1,0,1,0,1,1,Leeches,Poor,Adequate,,Agriculture,Sampled,0,1,,RIBS_Scr
01,LTON,3.7,,8/4/2015,,JL/JD,12:12:00 PM,3,0.25,60,21,530,7.64,90,7.07,86,,,20,10,60,25,5,,,0,0,100,1,,,,,,,,,14393100660037.jpg,14393100660038.jpg,1,1,1,1,0,0,1,1,1,0,0,0,Tipulidae,Very good,Adequate,,Agricultural,Sampled,0,0,,RIBS_Scr
01,MURD,1.0,,8/4/2015,,JL/JD,2:55:00 PM,4,0.3,60,22.6,1940,8.5,99.9,7.99,45,,,5,,10,80,10,,,0,0,50,1,40,,,,,,,,14393100660041.jpg,14393100660042.jpg,1,0,1,1,0,1,1,1,0,1,1,1,,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,MURD,12.4,,8/4/2015,,Duffy Mosher,2:20:00 PM,4,0.1,43,26,730,14.9,,8.3,1,,,20,20,60,10,5,5,,0,0,100,2,1,,,,,,,,14389704440033.jpg,14389704440034.jpg,1,0,1,1,0,0,1,0,1,1,1,0,,Poor,Adequate,"Gross, mossy, mowed on both sides, smelly,",Residential,Sampled,,0,,RIBS_Scr
01,MURD,20.0,,8/4/2015,,Duffy Mosher,12:40:00 PM,5,0.2,10,21,636,7,79,7.5,90,,,,,,,,,,0,0,,,70,2,2,2,2,Hard,Gravel,Turb,14389715920001.jpg,14389715920002.jpg,,,,,,,,,,,,,,,,Very hard bottom. Lots of macrophytes,Forest agriculture,Sampled,,,,RIBS_Scr
01,RANS,1.4,,8/4/2015,,Duffy Mosher,3:27:00 PM,2,0.05,40,20.5,1212,7.4,,7.7,95,,,50,0,25,70,0,5,,0,1,100,2,0,,,,,,,,14389704440039.jpg,14389704440040.jpg,0,0,1,1,0,0,1,1,1,0,0,0,"Red midges, leech",Poor,Adequate,"Crawling with red midges, gross site, very agricultural, gravel",Agricultural,Sampled,,1,,RIBS_Scr
01,RANS_T1,0.2,,8/4/2015,,Heitzman Pratt,2:46:00 PM,4,0.1,60,21.9,2,9.53,109.5,8.03,95,,,20,25,50,10,5,15,,0,1,10,0,0,,,,,,,,14392988320047.jpg,14392988320048.jpg,0,0,1,1,0,0,0,0,1,0,1,0,Leaches!,Poor,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
01,TONA,51.1,,8/4/2015,,JL/JD,1:43:00 PM,25,0.3,70,24.6,733,6.6,81.5,8.26,16,,,10,60,35,5,,,,0,0,100,2,,,,,,,,,14393100660053.jpg,14393100660054.jpg,1,1,1,1,0,1,1,1,1,0,1,0,,Very good,Adequate,,Residential.,Sampled,0,0,,RIBS_Int
01,TONA,58.3,,8/4/2015,,Duffy Mosher,12:04:00 PM,20,0.2,71,24.3,775,9.4,,7.9,29,0.38,,60,30,60,0,0,10,,0,0,100,2,,,,,,,,,14389704440053.jpg,14389704440054.jpg,1,0,1,1,0,0,0,1,1,1,1,0,"Tons of riffle beetles, leech",Good,Adequate,"More diversity than tona 02. Better habitat, more of a riparian zone.",Residential,Sampled,,0,,RIBS_Scr
01,TONA,65.8,,8/4/2015,,Duffy Mosher,11:35:00 AM,15,0.2,83,22.9,582,9.3,,7.7,0,0.28,,40,10,50,30,0,10,,0,0,100,2,,,,,,,,,14389704440051.jpg,14389704440052.jpg,1,0,1,0,0,0,1,1,1,0,1,0,,Poor,Adequate,"Heavy moss, tons of black fly larvae",Residential commercial,Sampled,,1,,RIBS_Scr
01,TONA,72.6,,8/4/2015,,JL/JD,12:49:00 PM,4,0.3,60,22.4,575,7.12,82.3,7.68,40,,,20,20,60,15,5,,,1,1,100,2,,,,,,,,,14393100660055.jpg,14393100660056.jpg,1,0,1,1,0,0,1,1,1,1,1,1,,Good,Adequate,,Agricultural,Sampled,0,0,,RIBS_Int
01,YUGA,4.7,,8/4/2015,,Duffy Mosher,5:39:00 PM,35,0.1,56,25.8,674,8.4,,8.1,6,,,0,60,20,0,0,20,,0,0,100,3,1,,,,,,,,14389704440057.jpg,14389704440058.jpg,1,0,1,1,0,0,1,1,1,0,1,1,Flatworms,Poor,Adequate,Mostly limestone bedrock,Residential recreation,Sampled,,0,,RIBS_Scr
01,BOUR,0.4,,8/5/2015,,JL/JD,1:56:00 PM,3,0.12,40,20.9,476,8.12,90.9,7.84,85,,,10,80,5,10,5,,,0,0,50,1,,,,,,,,,14393100660003.jpg,14393100660004.jpg,1,0,1,0,0,0,1,1,1,0,0,0,,Good,Bedrock,,Agriculture,Sampled,0,0,,RIBS_Scr
01,BROC,0.1,,8/5/2015,,JL/JD,3:09:00 PM,1,0.2,40,18.6,313,4.1,43.8,7.12,60,,,20,20,60,15,5,,,0,1,100,2,,,,,,,,,14393100660005.jpg,14393100660006.jpg,1,1,1,1,0,0,1,0,1,0,0,1,,Good,Adequate,,Agriculture,Sampled,0,1,,RIBS_Int
01,BSIS,2.0,,8/5/2015,,Duffy Mosher,11:51:00 AM,20,0.3,50,22.8,525,9.1,,8.2,,,,50,30,40,10,10,10,,0,0,100,1,0,,,,,,,,14389704440001.jpg,14389704440002.jpg,1,0,0,1,0,1,0,0,1,0,0,0,Sow bugs,Good,Adequate,Mussels frogs bedrock oh my,Residential,Sampled,,0,,RIBS_Scr
01,BUFC,2.2,,8/5/2015,,Duffy Mosher,9:17:00 AM,35,0.2,43,21.4,527,9.7,,8.2,2,,,60,60,10,15,5,10,,0,1,100,2,0,,,,,,,,14389704440005.jpg,14389704440006.jpg,1,0,1,1,0,0,1,0,0,0,0,0,Red midges,Poor,Adequate,Tiny riffle mostly bedrock with some gravel.,Residential commercial,Sampled,,0,,RIBS_Scr
01,CATT,17.5,,8/5/2015,,Heitzman Pratt,4:03:00 PM,35,0.3,70,25.3,424,8.23,101.8,7.5,18,,,,10,50,20,10,,,0,1,30,0,0,,,,,,,,14392988320005.jpg,14392988320006.jpg,1,0,1,1,0,0,0,0,0,0,0,0,Atherix,Good,Adequate,,Commercial,Sampled,0,0,,RIBS_Scr
01,CAZE,1.6,,8/5/2015,,Duffy Mosher,9:46:00 AM,30,0.1,83,22,562,7.7,,7.9,0,,,60,5,45,40,5,5,,0,0,100,2,60,,,,,,,,14389704440009.jpg,14389704440010.jpg,1,0,1,1,0,0,1,0,1,0,0,0,Red midge,Good,Adequate,,Recreation,Sampled,,0,,RIBS_Scr
01,CAZT,1.4,,8/5/2015,,Heitzman Pratt,10:47:00 AM,3,0.3,50,19,812,8.04,88.9,7.93,98,,,20,40,20,20,10,10,,0,0,30,0,0,,,,,,,,14392988320009.jpg,14392988320010.jpg,1,0,0,0,0,0,0,0,0,1,0,0,Tipulaus isopod,Poor,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
01,CHAU,0.4,,8/5/2015,,JL/JD,1:22:00 PM,4,0.3,60,23.8,410,9.15,109,8.79,52,,,40,20,70,10,,,,0,0,100,1,,,,,,,,,14393100660011.jpg,14393100660012.jpg,1,1,1,1,0,0,1,1,0,0,0,0,,Very good,Adequate,,Residential. Agriculture,Sampled,0,0,,RIBS_Scr
01,CHAU,4.0,,8/5/2015,,JL/JD,12:51:00 PM,3.5,0.18,50,21.8,260,7.51,85.7,8.15,75,,,10,10,60,25,5,,,0,0,100,1,0,,,,,,,,14393100660009.jpg,14393100660010.jpg,1,1,1,1,0,0,1,1,0,0,0,0,Tipulidae,Very good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,COEL,1.5,,8/5/2015,,JL/JD,2:26:00 PM,1.5,0.2,60,19.7,365,7.86,86.1,7.6,90,,,20,40,40,15,5,,,0,0,100,1,,,,,,,,,14393100660017.jpg,14393100660018.jpg,1,0,1,1,0,0,1,1,1,0,0,0,,Good,Adequate,,,Sampled,0,0,,RIBS_Scr
01,CRKB,2.1,,8/5/2015,,JL/JD,5:09:00 PM,1,0.25,60,24.3,470,6.42,70.6,8.03,95,,,30,5,5,75,10,5,,0,0,30,1,,,,,,,,,14393100660021.jpg,14393100660022.jpg,1,0,1,1,0,1,1,0,1,1,1,1,,Good,Adequate,,Residential.,Sampled,0,1,,RIBS_Int
01,CWAY,14.5,,8/5/2015,,Heitzman Pratt,1:07:00 PM,3,0.1,50,18.9,297,9.31,102.8,8.37,66,,,20,30,30,30,5,5,,0,1,30,0,0,,,,,,,,14392988320013.jpg,14392988320014.jpg,1,1,1,1,0,0,0,0,0,0,0,0,Tripulid,Very good,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
01,CWAY,7.4,,8/5/2015,,Heitzman Pratt,11:57:00 AM,10,0.3,40,19.9,361,8.44,102,7.6,50,,,30,50,25,15,10,0,,0,1,100,0,0,,,,,,,,14392988320015.jpg,14392988320016.jpg,1,1,1,0,0,1,0,0,1,0,0,0,Tipelid,Very good,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
01,CWAY,8.3,,8/5/2015,,Heitzman Pratt,12:29:00 PM,5,0.1,30,19.8,337,9.24,103.4,7.6,,,,,50,30,20,,,,0,1,100,0,0,,,,,,,,14392988320017.jpg,14392988320018.jpg,1,1,1,0,0,0,0,1,0,0,0,0,Tipi lied,Very good,Bedrock,,Residential,Sampled,0,0,,RIBS_Scr
01,DELC,1.4,,8/5/2015,,Duffy Mosher,12:14:00 PM,4,0.1,83,20.9,458,10.3,,8.2,99,,,40,20,55,20,0,5,,0,0,100,1,0,,,,,,,,14389704440011.jpg,14389704440012.jpg,1,0,1,0,0,0,0,1,1,0,0,0,Atherix,Poor,Adequate,"Bedrock, not bad.",Residential,Sampled,,0,,RIBS_Scr
01,DUNE,3.0,,8/5/2015,,Duffy Mosher,3:18:00 PM,1.5,0.1,100,20.3,461,9.2,,7.9,81,,,30,0,50,35,10,5,,0,0,100,2,0,,,,,,,,14389704440013.jpg,14389704440014.jpg,1,0,1,0,0,0,1,1,1,0,0,0,,Good,Adequate,Small but nice.,Residential,Sampled,,0,,RIBS_Scr
01,ELLI,10.3,,8/5/2015,,Heitzman Pratt,8:39:00 AM,15,0.3,75,21,1668,7.07,81.5,7.89,44,,,,5,15,50,20,10,,0,1,80,0,5,,,,,,,,14392988320025.jpg,14392988320026.jpg,1,0,1,1,0,0,0,1,1,0,0,0,Leaches,Good,Gravel,,Residential,Sampled,0,0,,RIBS_Scr
01,HALB,0.7,,8/5/2015,,Duffy Mosher,1:50:00 PM,4,0.3,20,20.3,989,9.5,106,8.1,48,,,,,,,,,,0,0,,,10,2,0,2,2,Soft,Silt,Turb,14389715920009.jpg,14389715920010.jpg,,,,,,,,,,,,,,,,"Excavated banks, clearly low gradient so whoever said that it had a riffle is dumb.","Residential, commercial",Sampled,,,,RIBS_Scr
01,HYCK,0.9,,8/5/2015,,JL/JD,5:30:00 PM,1,0.12,45,20.4,578,6.77,71.9,7.66,92,,,30,5,70,20,5,,,0,0,100,1,,,,,,,,,14393100660027.jpg,14393100660028.jpg,1,0,1,1,0,1,1,1,1,1,0,1,,Good,Adequate,,Residential.,Sampled,0,0,,RIBS_Scr
01,LCHA,0.1,,8/5/2015,,JL/JD,12:08:00 PM,3,0.2,60,19.2,364,7.98,86.3,7.56,64,,,10,20,60,15,5,,,0,0,75,1,,,,,,,,,14393100660029.jpg,14393100660030.jpg,1,1,1,1,0,0,1,1,0,0,0,0,,Very good,Adequate,,Residential.,Sampled,0,0,,RIBS_Scr
01,LCWY,4.2,,8/5/2015,,JL/JD,3:38:00 PM,1.5,0.16,40,20.3,207,8.1,80,6.95,88,,,10,70,25,5,,,,0,0,50,1,,,,,,,,,14393100660031.jpg,14393100660032.jpg,1,1,1,1,0,1,1,1,0,0,0,0,,Very good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,LITI,0.9,,8/5/2015,,Heitzman Pratt,3:11:00 PM,,,,19.4,191,8.49,94.1,7.66,,,,10,15,15,50,20,,,0,0,40,0,0,,,,,,,,14392988320035.jpg,14392988320036.jpg,1,0,1,0,0,0,0,0,1,0,1,0,,Good,Gravel,,Residential. Residential,Sampled,0,0,,RIBS_Int
01,LSIS,2.4,,8/5/2015,,Duffy Mosher,11:28:00 AM,20,0.3,1,20.7,909,3.6,40.6,7.5,75,,,,,,,,,,0,0,,,40,2,2,2,2,Soft,Gravel,Turb,14389715920005.jpg,14389715920006.jpg,,,,,,,,,,,,,,,,Bedrock and gravel in places but predominantly mushy clay,Forest,Sampled,,,,RIBS_Scr
01,MANS,0.8,,8/5/2015,,Heitzman Pratt,4:56:00 PM,15,1,10,20.8,324,9.62,109,8.15,45,,,50,5,20,50,5,20,,0,1,50,1,15,,,,,,,,14392988320039.jpg,14392988320040.jpg,1,1,1,1,0,1,0,0,0,0,0,0,Atherix,Very good,Adequate,,Residential,Sampled,0,0,,RIBS_Scr
01,MANS,6.1,,8/5/2015,,Heitzman Pratt,5:46:00 PM,3,0.1,50,17.4,296,9.11,96.8,8.11,,,,15,5,45,35,15,,,0,1,20,0,0,,,,,,,,14392988320037.jpg,14392988320038.jpg,1,0,1,1,0,0,1,1,0,0,0,0,Millipede,Good,Adequate,,Agricultural,Sampled,0,0,,RIBS_Scr
01,MDDE,4.0,,8/5/2015,,Duffy Mosher,1:14:00 PM,2,0.1,10,20.2,498,7.1,,7.8,65,,,20,0,20,60,10,10,,0,0,100,1,0,,,,,,,,14389704440029.jpg,14389704440030.jpg,0,0,1,1,0,1,1,0,0,0,0,0,,Poor,Low flow,Very small low flow.,Residential Residential,Sampled,,0,,RIBS_Scr
01,PICR,1.3,,8/5/2015,,Duffy Mosher,10:58:00 AM,1.5,0.1,1,18.7,495,4.1,,7.5,91,,,50,0,40,55,0,5,,0,0,100,1,0,,,,,,,,14389704440037.jpg,14389704440038.jpg,1,0,1,1,0,0,1,0,1,0,0,0,Toe biter,Poor,Low flow,Very low flow. Bedrocky,Residential Residential,Sampled,0,0,,RIBS_Scr
01,PION,0.9,,8/5/2015,,Duffy Mosher,12:38:00 PM,4,0.5,0,22.2,711,4.7,54,7.8,30,,,,,,,,,,0,0,,,20,2,2,2,2,Soft,Clay,Turb,14389715920007.jpg,14389715920008.jpg,,,,,,,,,,,,,,,,Site was recently undammed. No flow at all,Residential Forest,Sampled,,,,RIBS_Scr
01,RIPL_T85,0.2,,8/5/2015,,JL/JD,11:17:00 AM,2,0.16,50,19.7,360,7.89,86.2,7.92,52,,,30,30,40,25,5,,,0,0,100,1,,,,,,,,,14393100660043.jpg,14393100660044.jpg,1,0,1,1,0,0,1,1,1,0,0,0,,Good,Adequate,,Agriculture Residential.,Sampled,0,0,,RIBS_Scr
01,SILV,0.3,,8/5/2015,,Duffy Mosher,2:09:00 PM,6,0.2,,25.1,468,9.3,,8.4,,,,60,10,50,40,0,0,,0,0,100,2,0,,,,,,,,14389704440041.jpg,14389704440042.jpg,1,0,1,0,0,0,1,1,0,0,0,0,,Poor,Gravel,"Recently disturbed by large implement. Massive reconstruction, upstream is very different",Residential,Sampled,,0,,RIBS_Scr
01,SILV,6.7,,8/5/2015,,Heitzman Pratt,2:28:00 PM,3,0.2,20,22.1,323,9.24,106.2,7.6,55,,,,5,20,30,40,5,,0,1,30,0,0,,,,,,,,14392988320051.jpg,14392988320052.jpg,1,0,1,0,0,0,0,1,0,0,0,1,,Good,Gravel,,Residential,Sampled,0,0,,RIBS_Scr
01,SPOO,0.3,,8/5/2015,,Heitzman Pratt,6:37:00 PM,5,0.2,50,22.8,562,7.76,92.1,8.29,12,,,40,,20,50,10,10,,0,1,100,0,0,,,,,,,,14392988320053.jpg,14392988320054.jpg,1,0,0,0,0,0,0,0,0,0,0,0,,Poor,Adequate,,Agricultural,Sampled,0,1,,RIBS_Scr
01,TEES,0.1,,8/5/2015,,Duffy Mosher,4:17:00 PM,15,0.1,83,25.5,451,10.8,,8.6,25,,,10,5,60,30,0,5,,0,1,100,2,0,,,,,,,,14389704440049.jpg,14389704440050.jpg,1,0,1,1,0,0,1,1,0,0,0,0,,Good,Adequate,Bedrock with deposits of cobble. Surprising amount of filamentous.,Residential,Sampled,,0,,RIBS_Scr
01,TWEN,4.0,,8/5/2015,,JL/JD,10:19:00 AM,8,0.2,50,19.8,312,7.58,83.4,8.03,60,,,10,5,65,25,5,,,0,1,100,1,,,,,,,,,14393100660057.jpg,14393100660058.jpg,1,1,1,1,0,0,1,0,0,0,0,0,Tipulidae,Very good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,VBUR,0.4,,8/5/2015,,JL/JD,4:06:00 PM,1,0.22,50,23.8,820,6.06,73.4,7.89,35,,,40,50,40,5,5,,,0,1,100,1,25,,,,,,,,14393100660059.jpg,14393100660060.jpg,1,0,1,1,0,1,1,0,1,0,0,1,,Good,Adequate,,Agriculture,Sampled,0,0,,RIBS_Scr
01,WLNT,0.1,,8/5/2015,,Duffy Mosher,2:37:00 PM,8,0.2,,24.6,429,9.5,,8.4,,,,,10,30,50,5,5,,0,1,100,2,0,,,,,,,,14389704440055.jpg,14389704440056.jpg,0,0,1,0,0,0,0,0,0,0,0,0,,,Gravel,"Very recently bull dozed, only a few caddis larvae, similar to silver creek.",Residential commercial,Sampled,,0,,RIBS_Scr
01,WLNT,8.2,,8/5/2015,,Heitzman Pratt,1:48:00 PM,4,0.1,30,20.5,340,9.36,106.3,8.38,,,,50,10,5,50,25,10,,0,1,80,0,0,,,,,,,,14392988320057.jpg,14392988320058.jpg,1,0,1,1,0,0,0,0,0,0,0,0,,Good,Adequate,,Commercial,Sampled,0,0,,RIBS_Scr
01,YUGA,12.3,,8/5/2015,,Heitzman Pratt,9:32:00 AM,15,0.2,30,22,583,8.31,96.1,8.19,70,,,2,50,20,10,10,10,,0,1,80,1,5,,,,,,,,14392988320059.jpg,14392988320060.jpg,1,0,1,1,0,0,0,0,1,0,1,0,Diptera,Good,Bedrock,,Residential recreational,Sampled,0,0,,
01,YUGA,3.9,,8/5/2015,,Duffy Mosher,8:35:00 AM,30,0.2,50,23,6,8.1,,7.9,25,,,50,60,20,5,0,15,,0,1,100,4,0,,,,,,,,14389704440059.jpg,14389704440060.jpg,1,0,1,1,0,0,1,1,1,0,0,0,,Poor,Adequate,Mostly limestone bedrock like last Cayuga site,Residential commercial,Sampled,,0,,RIBS_Int
01,BUFC,37.8,,8/6/2015,,Duffy Mosher,9:32:00 AM,4,0.1,91,15.7,470,9.9,,8.1,96,,,40,5,20,20,30,25,,0,1,100,3,0,,,,,,,,14389704440003.jpg,14389704440004.jpg,1,1,1,1,0,0,1,0,1,0,0,0,,Good,Adequate,Nice site but mowed on both sides 10 ft from bank,Residential,Sampled,,0,,RIBS_Scr
01,BUFT,0.8,,8/6/2015,,Duffy Mosher,10:22:00 AM,8,0.1,71,15.2,554,9.8,,8.2,45,,,25,20,60,10,5,5,,0,0,100,2,0,,,,,,,,14389704440007.jpg,14389704440008.jpg,1,1,1,0,1,1,0,0,0,0,0,0,Pteronarcys,Very good,Adequate,"Possible reference site, although has megalops and isonichia, a lot of bedrock",Residential agriculture,Sampled,,0,,RIBS_Scr
01,CATT,48.4,,8/6/2015,,JL/JD,9:37:00 AM,15,0.2,50,16.1,479,13.3,135.5,8.39,18,,,10,5,75,15,5,,,0,1,100,2,,,,,,,,,14393100660007.jpg,14393100660008.jpg,1,0,1,1,0,0,1,0,0,0,0,1,,Good,Adequate,Heavy Filamentous algae on substrate,Agriculture,Sampled,0,0,,RIBS_Scr
01,CAZE_E,7.1,,8/6/2015,,"Pratt, Heitzman",10:12:00 AM,0.3,0.1,10,16.5,345,8.25,88,7.5,,,,40,0,0,50,30,20,0,0,0,30,0,0,,,,,,,,14392988320021.jpg,14392988320022.jpg,0,0,0,0,0,0,0,0,0,0,0,0,,,,"iPad stopped working at site So transferred from paper, no pictures",Agricultural,Sampled,0,0,,RIBS_Scr
01,CAZE_W,0.6,,8/6/2015,,Heitzman Pratt,9:09:00 AM,40,0.1,10,17.46,461,9.9,106.6,8.26,24,,,10,65,10,20,5,,,0,1,80,0,0,,,,,,,,14392988320007.jpg,14392988320008.jpg,1,1,1,1,0,1,0,0,1,0,0,0,,Very good,Bedrock,,Residential,Sampled,0,0,,RIBS_Int
01,CLEA,0.1,,8/6/2015,,JL/JD,11:17:00 AM,3,0.26,90,16.9,440,10,103,7.83,53,,,30,10,70,15,5,,,0,0,100,1,,,,,,,,,14393100660015.jpg,14393100660016.jpg,1,0,1,1,0,0,1,1,0,0,0,1,Atherix,Good,Adequate,,Residential.,Sampled,0,1,,RIBS_Scr
01,CROW,0.4,,8/6/2015,,Heitzman Pratt,12:23:00 PM,5,0.1,10,19.1,362,10.34,115.2,8.48,90,,,20,10,50,30,10,,,0,1,100,1,0,,,,,,,,14392988320011.jpg,14392988320012.jpg,1,1,1,1,1,0,1,0,0,0,0,0,I'm The dipulid atherix in,Very good,Low flow,,Residential,Sampled,0,0,,RIBS_Scr
01,ELTO,4.2,,8/6/2015,,JL//JD,10:40:00 AM,4,0.3,90,16.7,430,10.4,107,8.31,52,,,40,50,40,10,,,,0,1,100,1,,,,,,,,,14393100660023.jpg,14393100660024.jpg,1,0,1,1,0,1,1,1,1,0,0,0,,Good,Adequate,,Residential.,Sampled,0,0,,RIBS_Scr
01,GOON,3.2,,8/6/2015,,JL/JD,8:52:00 AM,2,0.14,60,13.5,215,10.7,103,7.57,94,,,20,10,70,15,5,,,0,1,100,1,,,,,,,,,14393100660025.jpg,14393100660026.jpg,1,1,1,1,1,0,1,1,1,0,0,0,,Very good,Adequate,,Residential,Sampled,0,0,,
01,LIMO,4.6,,8/6/2015,,JL/JD,10:12:00 AM,4.5,0.14,60,14.7,400,10.51,103.6,7.89,82,,,15,5,40,50,5,,,0,1,50,1,,,,,,,,,14393100660035.jpg,14393100660036.jpg,1,1,1,1,1,1,1,0,0,0,0,1,,Very good,Adequate,,Residential. Agriculture,Sampled,0,0,,
01,LTON,14.7,,8/6/2015,,Duffy Mosher,12:19:00 PM,2.5,0.1,67,17.8,470,10.1,,8.1,90,,,25,5,35,50,5,5,,0,1,100,2,0,,,,,,,,14389704440027.jpg,14389704440028.jpg,1,1,1,0,0,1,1,1,0,0,0,0,Hemipterans,Good,Adequate,"Barking dogs. Nice site, buggy",Residential,Sampled,,1,,RIBS_Scr
