"BAS_LOC_RM","BASIN.x","LOCATION.x","RIVMILE.x","STATION.x","COLL_DATE","CREW","ARRIVETIME","SAMP","LANDUSE","DEPTH","WIDTH","CUR_SPD","CANOPY","EMBEDD","ROCK","RUBBLE","GRAVEL","SAND","SILT","CLAY","TEMP","COND","DO","PH","PERCENT_SAT","SALINITY","SECCHI","ALGAE_S","ALGAE_FIL","ALGAE_D","THICKNESS_D","MACRO","EPHEM","PLECOP","TRICH","COLEOP","MEGALOP","ODONATA","CHIR","SIMUL","DECAPOD","GAMMAR","MOLLUSK","OLIGO","OTHERS","FIELD_WQA","HABITAT","ORG_FOR_TOXICS","MICROTOX","LGS_HAB_BNK","LGS_HAB_MAC","LGS_HAB_SNG","LGS_HAB_SUB","BOTTOM_TYPE","DOM_SUBSTRATE","WTRCLR_DRIVER","PHT_ID_UP","PHT_ID_DWN","NOTES","PROJECT","HAB_PRESENT","SITE_ID","LOCATION.y","RIVMILE.y","STATION.y","DESCRIPT","DIRECT","LATITUDE","LONGITUDE","COUNTY","FIPS_CODE","BASIN.y","NAME","HUC_8","WQ_STANDARD","DEC_REGION","PWL_ID","WIN","HABITAT_TYPE","SITE_CONDITION","DRAINAGE","NED10_Elevation"
"13-BASC_T17-2.4",13,"BASC_T17",2.4,NA,"7/26/2017","Smith, Lemley","14:28","Sampled","Residential",0.1,2,21,20,25,30,50,10,10,NA,NA,20,175,7.3,7.4,84,NA,NA,0,0,100,1,10,0,0,1,1,0,0,1,0,0,0,0,0,"Tipulidae","Good","Impoundment",0,0,2,2,2,2,"Hard","Gravel","DOC","15012493640001.jpg","15012493640002.jpg","Stream is very small with a significant debris pile up on the upstream side of the bridge causing an impoundment. This site is borderline a low gradient stream but should be run as low gradient.","RIBS_Scr",0,42675083,"BASC_T17","2.4","2.4","10m downstream of Rte 85/Delaware turnpike bridge","Westerlo",42.5359,-74.07721,"Albany",1,"13","Unnamed Tributary to Basic Creek",2020006,"C",4,"1309-0028","H-193-29","Low gradient-soft bottom","Altered",3,420.3892212
"13-BLKH-8.2",13,"BLKH",8.2,NA,"7/27/2017","Mosher duffy","8:00","Sampled","Wetland",1.5,15,8,6,NA,NA,NA,NA,NA,NA,NA,19.8,333,3.6,7.3,39,NA,NA,0,1,50,2,70,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,0,2,0,2,"Soft","Silt","Turbidity","15012484320001.jpg","15012484320002.jpg","Bedrock partway in stream. No real banks, only macrophyte beds","RIBS_Scr",0,3891,"BLKH","8.2","0","At Riverside Road Bridge","Lloyd",41.744376,-73.985304,"Ulster",111,"13","Black Creek",2020008,"A(T)",3,"1301-0203","H-128",NA,NA,NA,93.43894958
"13-BLKK-1.1",13,"BLKK",1.1,NA,"7/11/2017","Heitzman, Onion","11:45","Sampled","Residential",1,10,20,70,20,10,20,20,20,30,NA,22.3,459.8,4.18,7.57,48.8,NA,NA,1,0,40,1,30,0,0,0,0,0,0,0,0,0,0,0,0,"","","Low flow",0,0,0,2,0,2,"Hard","Gravel","Turbidity","14998646430001.jpg","14998646430002.jpg","","RIBS_Scr",0,2533,"BLKK","1.1","1","10 m below Weaver Rd bridge","Guilderland",42.71081,-73.98769,"Albany",1,"13","Black Creek",2020006,"C",4,"1311-0024","H-221- 4-P270- 1- 1",NA,NA,NA,93.91984558
"13-EBCR-16.3",13,"EBCR",16.3,NA,"7/25/2017","Mosher duffy","15:00","Sampled","Wetland",0.1,25,1,49,NA,NA,NA,NA,NA,NA,NA,19.5,412.3,5.01,7.19,54.5,NA,NA,0,1,100,1,40,1,0,0,1,0,1,1,0,0,1,0,0,"","Good","Adequate",0,0,2,2,2,2,"Soft","Silt","Turbidity","15012484320007.jpg","15012484320008.jpg","Nice low gradient site","RIBS_Scr",0,42675088,"EBCR","16.3","16.3","below rte 22 and confluence with small trib","Patterson",41.47769,-73.57745,"Putnam",79,"13","East Branch Croton River",2030101,"C(T)",3,"1302-0057","H- 31-P44-24 (portion 6)","High gradient- hard bottom","Altered",139,129.8864899
"13-FISH-16.3",13,"FISH",16.3,NA,"7/26/2017","Mosher duffy","14:43","Sampled","Residential",1.5,25,10,90,NA,NA,NA,NA,NA,NA,NA,20.2,506.2,7.82,8.1,86.8,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Very poor","Adequate",0,0,2,0,2,2,"Soft","Silt","Turbidity","15012484320011.jpg","15012484320012.jpg","Very little habitat. Slow deep channel ","RIBS_Scr",0,345,"FISH","16.3","3","150 m below Augusta Dr. (CR 9) bridge","East Fishkill",41.58778,-73.78972,"Dutchess",27,"13","Fishkill Creek",2020008,"B(T)",3,"1304-0010","H- 95",NA,NA,NA,76.32582092
"13-IDNK-0.5",13,"IDNK",0.5,NA,"7/27/2017","Mosher duffy","9:15","Sampled","Wetland",0.5,15,3,43,NA,NA,NA,NA,NA,NA,NA,19.3,236,7.3,7.7,80,NA,NA,0,1,50,2,20,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,2,2,"Soft","Silt","Turbidity","15012484320021.jpg","15012484320022.jpg","Seems to be either tidal or recently unimpounded. Banks muddy and bare. Old water line still wet. Definitely low gradient but with a riffle upstream by bridge","RIBS_Scr",0,42675090,"IDNK","0.5","0.5","In Mills-Norrie State Park, at a road/trail crossing in non-tidal portion of kill.","Hyde Park",41.83883,-73.9348,"Dutchess",27,"13","Indian Kill",2020008,"C",3,"1301-0197","H-105a thru 140, EOH (selected)","Low gradient-soft bottom","Altered",11,1.156829357
"13-NOST-0.3",13,"NOST",0.3,NA,"7/24/2017","Smith, Duffy, Lendrum","10:15","Sampled","Residential",0.3,5,30,1,50,NA,NA,NA,NA,NA,NA,17,443,8.1,7.9,5,NA,NA,0,0,100,1,20,0,0,0,0,0,1,1,0,1,1,0,0,"","Good","Other",0,0,1,1,1,1,"Hard","Gravel","Turbidity","15012493640019.jpg","15012493640020.jpg","Low gradient stream","RIBS_Scr",0,2601,"NOST","0.3","1","Immediately above Rte 7A bridge","Copake",42.09708,-73.54494,"Columbia",21,"13","Noster Kill",2020006,"C(T)",4,"1308-0021","H-188-59",NA,NA,NA,161.7639008
"13-RHIN-4.3",13,"RHIN",4.3,NA,"7/27/2017","Mosher duffy","10:00","Sampled","Forest",0.3,15,15,58,NA,NA,NA,NA,NA,NA,NA,18.8,496,8.4,7.8,90,NA,NA,0,1,80,2,10,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,2,2,"Hard","Sand","Turbidity","15012484320027.jpg","15012484320028.jpg","Tidally influenced ","RIBS_Scr",0,769,"RHIN","4.3","1","10 m below Rt. 9G bridge","Rhinebeck",41.9575,-73.89584,"Dutchess",27,"13","Rhinebeck Kill",2020008,"C",3,"1301-0210","H-136- 6",NA,NA,NA,46.44818115
"16-SWEL-0.1",16,"SWEL",0.1,NA,"7/25/2017","Mosher duffy","11:00","Sampled","Commercial",0.1,1,5,85,20,NA,NA,NA,NA,NA,NA,14.4,233.6,8.2,7.3,80.4,NA,NA,0,1,100,3,20,0,0,0,0,0,1,0,0,0,0,0,0,"","","Adequate",0,0,2,1,0,2,"Hard","Sand","Turbidity","15012484320039.jpg","15012484320040.jpg","Low gradient, very periphytous","RIBS_Scr",0,2637,"SWEL","0.1","1","5 m below Rte 22 bridge","Dover",41.73461,-73.58067,"Dutchess",27,"16","Seven Wells Brook",1100005,"A",3,"1601-0023","Conn 15- 6- 1",NA,NA,NA,117.1291885
"16-SWMP-6.8",16,"SWMP",6.8,NA,"7/25/2017","Mosher duffy","12:00","Sampled","Residential",1,25,1,6,NA,NA,NA,NA,NA,NA,NA,20.2,528.1,1.11,7.15,12.3,NA,NA,1,1,100,2,70,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,1,2,"Hard","Sand","Susp algae","15012484320041.jpg","15012484320042.jpg","Suspended algae","RIBS_Scr",0,NA,"SWMP","6.8",NA,"Pleasant Ridge Rd","Dover",41.64683,-73.56862,"Dutchess",27,"16","Swamp River",1100005,"C(T)",3,"1601-0015","Conn 15- 4",NA,NA,NA,126.6063766
