row_index,instance_id,EVENT_SMAS_ID,MFDH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVERMILE,MFDH_EVENT_SMAS_SAMPLE_DATE,MFDH_BIOSAMPLE_COLLECT_METHOD,MFDH_BIOSAMP_COL_METHOD_NOTE,MFDH_EPHEMEROPTERA,MFDH_PLECOPTERA,MFDH_TRICHOPTERA,MFDH_COLEOPTERA,MFDH_MEGALOPTERA,MFDH_ODONATA,MFDH_CHIRONOMIDAE,MFDH_SIMULIIDAE,MFDH_DECAPODS,MFDH_GAMMARIDAE,MFDH_MOLLUSCA,MFDH_OLIGOCHAETA,MFDH_TIPULIDAE,MFDH_OTHERS,MFDH_OTHER,MFDH_FIELD_WATER_QLTY,MFDH_HABITAT,MFDH_LGS_HABITAT_BANK,MFDH_LGS_HABITAT_MACROPHYTE,MFDH_LGS_HABITAT_SNAG,MFDH_LGS_HABITAT_SUBSTRATE,MFDH_BOTTOM_TYPE,MFDH_DOMINANT_SUBSTRATE,MFDH_WATER_CLARITY_DRIVER,MFDH_MACRO_COMMENT
11,14-DELA-1.8_19740606_11,14-DELA-1.8_19740606,14-DELA-1.8,14,DELA,1.8,06/06/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
12,14-DELA-3.2_19740606_12,14-DELA-3.2_19740606,14-DELA-3.2,14,DELA,3.2,06/06/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
13,14-DELA-11.6_19740606_13,14-DELA-11.6_19740606,14-DELA-11.6,14,DELA,11.6,06/06/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
14,14-DELA-24.2_19740606_14,14-DELA-24.2_19740606,14-DELA-24.2,14,DELA,24.2,06/06/1974,Not_Sampled,,F,T,F,T,F,F,F,F,F,F,T,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
15,14-EDEL-0.8_19740709_15,14-EDEL-0.8_19740709,14-EDEL-0.8,14,EDEL,0.8,07/09/1974,Not_Sampled,,F,F,T,F,F,T,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
16,14-WDEL-1.3_19740709_16,14-WDEL-1.3_19740709,14-WDEL-1.3,14,WDEL,1.3,07/09/1974,Not_Sampled,,T,F,F,F,F,F,T,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
17,14-WDEL-9.5_19740709_17,14-WDEL-9.5_19740709,14-WDEL-9.5,14,WDEL,9.5,07/09/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
18,14-WDEL-16.2_19740709_18,14-WDEL-16.2_19740709,14-WDEL-16.2,14,WDEL,16.2,07/09/1974,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
19,14-DELA-31.2_19740710_19,14-DELA-31.2_19740710,14-DELA-31.2,14,DELA,31.2,07/10/1974,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
20,14-DELA-36.5_19740710_20,14-DELA-36.5_19740710,14-DELA-36.5,14,DELA,36.5,07/10/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
21,14-DELA-45.2_19740710_21,14-DELA-45.2_19740710,14-DELA-45.2,14,DELA,45.2,07/10/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
22,14-DELA-50.4_19740710_22,14-DELA-50.4_19740710,14-DELA-50.4,14,DELA,50.4,07/10/1974,Not_Sampled,,F,F,T,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
23,14-DELA-59.2_19740710_23,14-DELA-59.2_19740710,14-DELA-59.2,14,DELA,59.2,07/10/1974,Not_Sampled,,T,T,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
24,14-DELA-70.1_19740710_24,14-DELA-70.1_19740710,14-DELA-70.1,14,DELA,70.1,07/10/1974,Not_Sampled,,T,T,T,F,F,F,F,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
25,14-DELA-1.8_19740711_25,14-DELA-1.8_19740711,14-DELA-1.8,14,DELA,1.8,07/11/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
26,14-DELA-3.2_19740711_26,14-DELA-3.2_19740711,14-DELA-3.2,14,DELA,3.2,07/11/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
27,14-DELA-11.6_19740711_27,14-DELA-11.6_19740711,14-DELA-11.6,14,DELA,11.6,07/11/1974,Not_Sampled,,F,F,T,F,F,F,T,T,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
28,14-DELA-24.2_19740711_28,14-DELA-24.2_19740711,14-DELA-24.2,14,DELA,24.2,07/11/1974,Not_Sampled,,T,F,F,F,F,F,F,T,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
29,14-EDEL-0.8_19740814_29,14-EDEL-0.8_19740814,14-EDEL-0.8,14,EDEL,0.8,08/14/1974,Not_Sampled,,T,F,F,F,F,F,T,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
30,14-WDEL-1.3_19740814_30,14-WDEL-1.3_19740814,14-WDEL-1.3,14,WDEL,1.3,08/14/1974,Not_Sampled,,F,F,T,F,F,F,T,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
31,14-WDEL-9.5_19740814_31,14-WDEL-9.5_19740814,14-WDEL-9.5,14,WDEL,9.5,08/14/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
32,14-WDEL-16.2_19740814_32,14-WDEL-16.2_19740814,14-WDEL-16.2,14,WDEL,16.2,08/14/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
33,14-DELA-31.2_19740815_33,14-DELA-31.2_19740815,14-DELA-31.2,14,DELA,31.2,08/15/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
34,14-DELA-36.5_19740815_34,14-DELA-36.5_19740815,14-DELA-36.5,14,DELA,36.5,08/15/1974,Not_Sampled,,T,T,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
35,14-DELA-45.2_19740815_35,14-DELA-45.2_19740815,14-DELA-45.2,14,DELA,45.2,08/15/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
36,14-DELA-50.4_19740815_36,14-DELA-50.4_19740815,14-DELA-50.4,14,DELA,50.4,08/15/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
37,14-DELA-59.2_19740815_37,14-DELA-59.2_19740815,14-DELA-59.2,14,DELA,59.2,08/15/1974,Not_Sampled,,F,T,T,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
38,14-DELA-70.1_19740815_38,14-DELA-70.1_19740815,14-DELA-70.1,14,DELA,70.1,08/15/1974,Not_Sampled,,F,T,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
39,14-DELA-1.8_19740816_39,14-DELA-1.8_19740816,14-DELA-1.8,14,DELA,1.8,08/16/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
40,14-DELA-3.2_19740816_40,14-DELA-3.2_19740816,14-DELA-3.2,14,DELA,3.2,08/16/1974,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
41,14-DELA-11.6_19740816_41,14-DELA-11.6_19740816,14-DELA-11.6,14,DELA,11.6,08/16/1974,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,T,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
42,14-DELA-24.2_19740816_42,14-DELA-24.2_19740816,14-DELA-24.2,14,DELA,24.2,08/16/1974,Not_Sampled,,T,F,F,F,F,F,F,T,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
43,14-EDEL-0.8_19740917_43,14-EDEL-0.8_19740917,14-EDEL-0.8,14,EDEL,0.8,09/17/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
44,14-WDEL-1.3_19740917_44,14-WDEL-1.3_19740917,14-WDEL-1.3,14,WDEL,1.3,09/17/1974,Not_Sampled,,F,T,T,F,F,F,F,F,F,F,T,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
45,14-WDEL-9.5_19740917_45,14-WDEL-9.5_19740917,14-WDEL-9.5,14,WDEL,9.5,09/17/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
46,14-WDEL-16.2_19740917_46,14-WDEL-16.2_19740917,14-WDEL-16.2,14,WDEL,16.2,09/17/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
47,14-DELA-24.2_19740918_47,14-DELA-24.2_19740918,14-DELA-24.2,14,DELA,24.2,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
48,14-DELA-31.2_19740918_48,14-DELA-31.2_19740918,14-DELA-31.2,14,DELA,31.2,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
49,14-DELA-36.5_19740918_49,14-DELA-36.5_19740918,14-DELA-36.5,14,DELA,36.5,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
50,14-DELA-45.2_19740918_50,14-DELA-45.2_19740918,14-DELA-45.2,14,DELA,45.2,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
51,14-DELA-50.4_19740918_51,14-DELA-50.4_19740918,14-DELA-50.4,14,DELA,50.4,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
52,14-DELA-59.2_19740918_52,14-DELA-59.2_19740918,14-DELA-59.2,14,DELA,59.2,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
53,14-DELA-70.1_19740918_53,14-DELA-70.1_19740918,14-DELA-70.1,14,DELA,70.1,09/18/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
54,14-DELA-1.8_19740919_54,14-DELA-1.8_19740919,14-DELA-1.8,14,DELA,1.8,09/19/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
55,14-DELA-3.2_19740919_55,14-DELA-3.2_19740919,14-DELA-3.2,14,DELA,3.2,09/19/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
56,14-DELA-11.6_19740919_56,14-DELA-11.6_19740919,14-DELA-11.6,14,DELA,11.6,09/19/1974,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
57,07-OWLI-12.4_19800617_57,07-OWLI-12.4_19800617,07-OWLI-12.4,07,OWLI,12.4,06/17/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,T,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
58,07-OWLI-13.8_19800617_58,07-OWLI-13.8_19800617,07-OWLI-13.8,07,OWLI,13.8,06/17/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
59,04-GENS-2.6_19800618_59,04-GENS-2.6_19800618,04-GENS-2.6,04,GENS,2.6,06/18/1980,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
60,04-GENS-4.7_19800618_60,04-GENS-4.7_19800618,04-GENS-4.7,04,GENS,4.7,06/18/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
61,07-GRBR-0.3_19800618_61,07-GRBR-0.3_19800618,07-GRBR-0.3,07,GRBR,0.3,06/18/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
62,07-GRBR-1.4_19800618_62,07-GRBR-1.4_19800618,07-GRBR-1.4,07,GRBR,1.4,06/18/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,T,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
63,07-OWLI-13.8_19800618_63,07-OWLI-13.8_19800618,07-OWLI-13.8,07,OWLI,13.8,06/18/1980,Unknown,,T,F,F,F,F,F,T,F,F,F,F,F,F,T,X,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
64,04-GENS-10.5_19800619_64,04-GENS-10.5_19800619,04-GENS-10.5,04,GENS,10.5,06/19/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
65,04-GENS-12.3_19800619_65,04-GENS-12.3_19800619,04-GENS-12.3,04,GENS,12.3,06/19/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
66,04-GENS-15.1_19800619_66,04-GENS-15.1_19800619,04-GENS-15.1,04,GENS,15.1,06/19/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
67,04-GENS-35.1_19800619_67,04-GENS-35.1_19800619,04-GENS-35.1,04,GENS,35.1,06/19/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
68,04-GENS-35.1_19800619_68,04-GENS-35.1_19800619,04-GENS-35.1,04,GENS,35.1,06/19/1980,Not_Sampled,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
69,07-GNAR-22.2_19800722_69,07-GNAR-22.2_19800722,07-GNAR-22.2,07,GNAR,22.2,07/22/1980,Not_Sampled,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
70,07-POBK_T4-1.5_19800722_70,07-POBK_T4-1.5_19800722,07-POBK_T4-1.5,07,POBK_T4,1.5,07/22/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
71,04-GENS-2.6_19800723_71,04-GENS-2.6_19800723,04-GENS-2.6,04,GENS,2.6,07/23/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
72,04-GENS-4.7_19800723_72,04-GENS-4.7_19800723,04-GENS-4.7,04,GENS,4.7,07/23/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
73,07-GNAR-13.7_19800723_73,07-GNAR-13.7_19800723,07-GNAR-13.7,07,GNAR,13.7,07/23/1980,Not_Sampled,,F,T,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
74,07-MART-3.8_19800723_74,07-MART-3.8_19800723,07-MART-3.8,07,MART,3.8,07/23/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
75,07-MUSK-0.5_19800723_75,07-MUSK-0.5_19800723,07-MUSK-0.5,07,MUSK,0.5,07/23/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
76,07-OWAS-4.0_19800723_76,07-OWAS-4.0_19800723,07-OWAS-4.0,07,OWAS,4.0,07/23/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
77,04-GENS-10.5_19800724_77,04-GENS-10.5_19800724,04-GENS-10.5,04,GENS,10.5,07/24/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
78,04-GENS-12.3_19800724_78,04-GENS-12.3_19800724,04-GENS-12.3,04,GENS,12.3,07/24/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
79,04-GENS-15.1_19800724_79,04-GENS-15.1_19800724,04-GENS-15.1,04,GENS,15.1,07/24/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
80,04-GENS-35.1_19800724_80,04-GENS-35.1_19800724,04-GENS-35.1,04,GENS,35.1,07/24/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
81,04-GENS-35.1_19800724_81,04-GENS-35.1_19800724,04-GENS-35.1,04,GENS,35.1,07/24/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
82,07-RCKY-0.3_19800826_82,07-RCKY-0.3_19800826,07-RCKY-0.3,07,RCKY,0.3,08/26/1980,Unknown,,F,F,F,F,F,F,T,F,F,T,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
83,07-SEOS_T37-0.2_19800826_83,07-SEOS_T37-0.2_19800826,07-SEOS_T37-0.2,07,SEOS_T37,0.2,08/26/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
84,07-SUKE-0.6_19800826_84,07-SUKE-0.6_19800826,07-SUKE-0.6,07,SUKE,0.6,08/26/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
85,07-BUTL-3.5_19800827_85,07-BUTL-3.5_19800827,07-BUTL-3.5,07,BUTL,3.5,08/27/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
86,07-CANA-26.8_19800827_86,07-CANA-26.8_19800827,07-CANA-26.8,07,CANA,26.8,08/27/1980,Unknown,,T,T,T,F,T,F,F,F,F,F,T,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
87,07-CANA-32.8_19800827_87,07-CANA-32.8_19800827,07-CANA-32.8,07,CANA,32.8,08/27/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
88,04-GENS-2.6_19800827_88,04-GENS-2.6_19800827,04-GENS-2.6,04,GENS,2.6,08/27/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
89,04-GENS-4.7_19800827_89,04-GENS-4.7_19800827,04-GENS-4.7,04,GENS,4.7,08/27/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
90,04-GENS-10.5_19800827_90,04-GENS-10.5_19800827,04-GENS-10.5,04,GENS,10.5,08/27/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
91,04-GENS-12.3_19800827_91,04-GENS-12.3_19800827,04-GENS-12.3,04,GENS,12.3,08/27/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
92,04-GENS-15.1_19800828_92,04-GENS-15.1_19800828,04-GENS-15.1,04,GENS,15.1,08/28/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
93,04-GENS-35.1_19800828_93,04-GENS-35.1_19800828,04-GENS-35.1,04,GENS,35.1,08/28/1980,Unknown,,F,F,F,F,F,F,T,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
94,04-GENS-35.1_19800828_94,04-GENS-35.1_19800828,04-GENS-35.1,04,GENS,35.1,08/28/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
95,07-CAYT_T123-1.9_19800930_95,07-CAYT_T123-1.9_19800930,07-CAYT_T123-1.9,07,CAYT_T123,1.9,09/30/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
96,07-FALL-1.2_19800930_96,07-FALL-1.2_19800930,07-FALL-1.2,07,FALL,1.2,09/30/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
97,07-YAWG-2.3_19800930_97,07-YAWG-2.3_19800930,07-YAWG-2.3,07,YAWG,2.3,09/30/1980,Unknown,,F,F,F,F,F,F,T,F,F,T,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
98,04-GENS-2.6_19801001_98,04-GENS-2.6_19801001,04-GENS-2.6,04,GENS,2.6,10/01/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
99,04-GENS-4.7_19801001_99,04-GENS-4.7_19801001,04-GENS-4.7,04,GENS,4.7,10/01/1980,Unknown,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,
