row_index,HFDH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVERMILE,HFDH_EVENT_SMAS_SAMPLE_DATE,HFDH_GRADIENT,HFDH_EPIFAUNAL_COVER,HFDH_EMBEDDEDNESS_POOLING,HFDH_VELOCITY_DEPTH_REGIME,HFDH_SEDIMENT_DEPOSITION,HFDH_FLOW_STATUS,HFDH_CHANNEL_ALTERATION,HFDH_RIFFLE_BEND_FREQUENCY,HFDH_LEFT_BANK_STABILITY,HFDH_RIGHT_BANK_STABILITY,HFDH_LEFT_BANK_VEG,HFDH_RIGHT_BANK_VEG,HFDH_LEFT_BANK_VEG_ZONE,HFDH_RIGHT_BANK_VEG_ZONE,HFDH_HABITAT_COMMENT,instance_id,EVENT_SMAS_ID
24,13-XSDK-4.2,13,XSDK,4.2,07/01/2008,High,17,16,15,16,15,19,17,6,8,10,10,10,10,,13-XSDK-4.2_20080701_24,13-XSDK-4.2_20080701
25,13-XSTK-4.8,13,XSTK,4.8,07/01/2008,High,15,15,7,17,13,14,18,-9999,-9999,8,9,8,10,,13-XSTK-4.8_20080701_25,13-XSTK-4.8_20080701
26,10-GCHZ-12.0,10,GCHZ,12.0,07/02/2008,High,9,9,20,13,18,8,3,9,9,6,6,1,1,,10-GCHZ-12.0_20080702_26,10-GCHZ-12.0_20080702
27,10-GCHZ-21.3,10,GCHZ,21.3,07/02/2008,High,16,17,17,18,18,15,18,9,9,7,7,2,2,,10-GCHZ-21.3_20080702_27,10-GCHZ-21.3_20080702
28,10-GCHZ-29.4,10,GCHZ,29.4,07/02/2008,High,18,17,17,19,19,15,18,8,9,7,9,3,9,,10-GCHZ-29.4_20080702_28,10-GCHZ-29.4_20080702
29,10-GCHZ-41.2,10,GCHZ,41.2,07/02/2008,High,16,14,18,18,18,13,16,9,9,9,9,9,9,,10-GCHZ-41.2_20080702_29,10-GCHZ-41.2_20080702
30,13-MILL-0.6,13,MILL,0.6,07/10/2008,High,9,10,10,3,18,8,13,8,8,4,4,5,3,,13-MILL-0.6_20080710_30,13-MILL-0.6_20080710
31,13-MILL-2.3,13,MILL,2.3,07/10/2008,High,11,15,10,3,10,20,15,1,9,10,10,10,10,,13-MILL-2.3_20080710_31,13-MILL-2.3_20080710
32,13-MILL-4.1,13,MILL,4.1,07/10/2008,High,10,11,10,5,15,18,13,2,5,2,8,0,8,,13-MILL-4.1_20080710_32,13-MILL-4.1_20080710
33,13-MILL-5.5,13,MILL,5.5,07/10/2008,High,12,11,10,10,11,19,-9999,5,5,8,5,9,2,,13-MILL-5.5_20080710_33,13-MILL-5.5_20080710
34,13-MILL-6.7,13,MILL,6.7,07/10/2008,High,16,10,10,15,14,19,17,6,8,9,9,9,9,,13-MILL-6.7_20080710_34,13-MILL-6.7_20080710
35,13-MILL-9.3,13,MILL,9.3,07/10/2008,High,13,16,13,10,11,19,18,3,5,5,4,2,5,,13-MILL-9.3_20080710_35,13-MILL-9.3_20080710
36,13-CROM-0.6,13,CROM,0.6,07/15/2008,High,11,12,9,19,13,14,16,6,9,2,-9999,4,2,,13-CROM-0.6_20080715_36,13-CROM-0.6_20080715
37,13-WALK-19.0,13,WALK,19.0,07/15/2008,Low,9,18,14,12,18,19,6,9,9,7,9,4,10,,13-WALK-19.0_20080715_37,13-WALK-19.0_20080715
38,13-WALK-22.8,13,WALK,22.8,07/15/2008,High,10,11,15,18,19,13,19,9,9,9,10,7,5,,13-WALK-22.8_20080715_38,13-WALK-22.8_20080715
39,13-WALK-27.8,13,WALK,27.8,07/15/2008,High,10,11,15,10,18,19,18,10,-9999,9,4,7,2,,13-WALK-27.8_20080715_39,13-WALK-27.8_20080715
40,13-WALK-35.6,13,WALK,35.6,07/15/2008,High,10,11,12,12,16,14,18,9,8,9,-9999,9,7,,13-WALK-35.6_20080715_40,13-WALK-35.6_20080715
41,13-WALK-42.4,13,WALK,42.4,07/15/2008,High,8,14,16,17,17,14,10,9,9,9,8,10,9,,13-WALK-42.4_20080715_41,13-WALK-42.4_20080715
42,13-WALK-49.7,13,WALK,49.7,07/15/2008,High,10,19,14,17,18,8,12,9,9,6,6,5,3,,13-WALK-49.7_20080715_42,13-WALK-49.7_20080715
43,13-WALK-60.1,13,WALK,60.1,07/15/2008,Low,9,8,13,-9999,18,15,9,9,8,10,9,4,3,,13-WALK-60.1_20080715_43,13-WALK-60.1_20080715
44,13-BASC-0.4,13,BASC,0.4,07/16/2008,High,16,15,16,18,16,15,17,9,9,7,7,5,8,,13-BASC-0.4_20080716_44,13-BASC-0.4_20080716
45,15-HACK-2.8,15,HACK,2.8,07/16/2008,Low,6,11,11,3,13,12,9,7,6,7,7,3,3,,15-HACK-2.8_20080716_45,15-HACK-2.8_20080716
46,13-KLIN-0.1,13,KLIN,0.1,07/16/2008,High,13,16,15,14,9,15,10,6,6,9,9,7,7,,13-KLIN-0.1_20080716_46,13-KLIN-0.1_20080716
47,13-ONES-0.6,13,ONES,0.6,07/16/2008,High,13,15,10,15,15,20,11,6,-9999,10,9,9,9,,13-ONES-0.6_20080716_47,13-ONES-0.6_20080716
48,13-PEEK-3.7,13,PEEK,3.7,07/16/2008,High,19,19,10,19,19,15,18,6,7,4,2,3,2,,13-PEEK-3.7_20080716_48,13-PEEK-3.7_20080716
49,13-QKER-0.9,13,QKER,0.9,07/16/2008,Low,1,13,7,2,15,14,-9999,7,7,7,7,3,3,,13-QKER-0.9_20080716_49,13-QKER-0.9_20080716
50,13-QUAS-0.3,13,QUAS,0.3,07/16/2008,High,13,18,14,12,9,14,12,8,9,6,5,3,3,,13-QUAS-0.3_20080716_50,13-QUAS-0.3_20080716
51,15-RAMA-1.1,15,RAMA,1.1,07/16/2008,High,16,19,15,19,15,11,11,9,9,7,7,3,3,,15-RAMA-1.1_20080716_51,15-RAMA-1.1_20080716
52,13-VLAT-15.4,13,VLAT,15.4,07/16/2008,High,12,17,14,11,15,20,15,9,9,9,9,10,5,,13-VLAT-15.4_20080716_52,13-VLAT-15.4_20080716
53,13-WYNT-2.9,13,WYNT,2.9,07/16/2008,High,15,14,14,18,15,17,17,6,8,9,9,4,4,,13-WYNT-2.9_20080716_53,13-WYNT-2.9_20080716
54,16-GREE-2.5,16,GREE,2.5,07/17/2008,High,18,18,15,17,16,15,18,9,9,9,9,7,7,,16-GREE-2.5_20080717_54,16-GREE-2.5_20080717
55,13-NORM-3.7,13,NORM,3.7,07/17/2008,High,4,-9999,8,-9999,15,-9999,-9999,4,4,4,4,4,7,,13-NORM-3.7_20080717_55,13-NORM-3.7_20080717
56,13-ROLF-2.4,13,ROLF,2.4,07/17/2008,High,16,18,18,18,20,18,20,9,9,4,10,1,10,,13-ROLF-2.4_20080717_56,13-ROLF-2.4_20080717
57,16-SWMP-0.2,16,SWMP,0.2,07/17/2008,High,12,11,10,11,16,18,13,8,8,9,9,5,10,,16-SWMP-0.2_20080717_57,16-SWMP-0.2_20080717
58,16-WASS-1.2,16,WASS,1.2,07/17/2008,High,11,12,16,8,15,15,16,7,7,5,8,1,6,,16-WASS-1.2_20080717_58,16-WASS-1.2_20080717
59,10-ALDE-0.7,10,ALDE,0.7,07/22/2008,High,15,13,10,16,20,15,20,10,10,10,10,9,10,,10-ALDE-0.7_20080722_59,10-ALDE-0.7_20080722
60,10-BUTB-3.4,10,BUTB,3.4,07/22/2008,High,16,19,10,16,20,15,16,10,10,7,6,7,6,,10-BUTB-3.4_20080722_60,10-BUTB-3.4_20080722
61,10-CBRK_E-0.6,10,CBRK_E,0.6,07/22/2008,High,18,18,15,19,20,20,19,10,10,10,10,10,10,,10-CBRK_E-0.6_20080722_61,10-CBRK_E-0.6_20080722
62,10-CORB-0.8,10,CORB,0.8,07/22/2008,High,16,16,18,18,18,18,18,9,9,9,9,7,7,,10-CORB-0.8_20080722_62,10-CORB-0.8_20080722
63,10-DEAC-3.8,10,DEAC,3.8,07/22/2008,Low,3,9,9,16,17,16,10,7,7,4,4,4,4,,10-DEAC-3.8_20080722_63,10-DEAC-3.8_20080722
64,10-DLET-0.1,10,DLET,0.1,07/22/2008,High,18,20,5,20,17,20,19,10,10,10,10,10,10,,10-DLET-0.1_20080722_64,10-DLET-0.1_20080722
65,10-DLET-2.4,10,DLET,2.4,07/22/2008,High,20,20,18,20,20,20,20,10,10,10,10,10,10,,10-DLET-2.4_20080722_65,10-DLET-2.4_20080722
66,10-LCHZ-2.4,10,LCHZ,2.4,07/22/2008,High,-9999,-9999,18,18,16,18,12,8,8,9,9,5,5,,10-LCHZ-2.4_20080722_66,10-LCHZ-2.4_20080722
67,10-LSAB-5.7,10,LSAB,5.7,07/22/2008,High,18,18,16,18,18,18,16,9,9,8,8,8,8,,10-LSAB-5.7_20080722_67,10-LSAB-5.7_20080722
68,10-LSAB_T6-0.1,10,LSAB_T6,0.1,07/22/2008,High,15,11,13,15,19,13,11,7,7,10,10,6,7,,10-LSAB_T6-0.1_20080722_68,10-LSAB_T6-0.1_20080722
69,10-REAB-3.8,10,REAB,3.8,07/22/2008,Low,16,9,12,14,17,18,12,8,8,8,6,10,4,,10-REAB-3.8_20080722_69,10-REAB-3.8_20080722
70,10-RILE-0.5,10,RILE,0.5,07/22/2008,High,13,12,11,16,16,16,11,8,8,9,9,3,3,,10-RILE-0.5_20080722_70,10-RILE-0.5_20080722
71,10-SABL-2.2,10,SABL,2.2,07/22/2008,High,2,18,8,19,19,10,20,10,10,7,7,5,5,,10-SABL-2.2_20080722_71,10-SABL-2.2_20080722
72,10-SARA-0.9,10,SARA,0.9,07/22/2008,High,-9999,-9999,16,17,18,17,15,8,3,9,3,5,0,,10-SARA-0.9_20080722_72,10-SARA-0.9_20080722
73,10-SARA-10.6,10,SARA,10.6,07/22/2008,High,16,18,13,20,20,20,20,9,9,10,10,10,5,,10-SARA-10.6_20080722_73,10-SARA-10.6_20080722
74,10-SARA-21.8,10,SARA,21.8,07/22/2008,High,16,18,10,15,20,11,18,7,8,8,9,5,6,,10-SARA-21.8_20080722_74,10-SARA-21.8_20080722
75,10-SARA-34.1,10,SARA,34.1,07/22/2008,High,20,18,5,18,20,20,20,10,10,10,10,10,10,,10-SARA-34.1_20080722_75,10-SARA-34.1_20080722
76,10-SARA_T19-0.1,10,SARA_T19,0.1,07/22/2008,High,16,19,10,16,19,15,19,9,9,9,8,10,7,,10-SARA_T19-0.1_20080722_76,10-SARA_T19-0.1_20080722
77,10-SMPL-0.3,10,SMPL,0.3,07/22/2008,Low,16,8,13,13,20,14,-9999,6,6,6,6,9,9,,10-SMPL-0.3_20080722_77,10-SMPL-0.3_20080722
78,10-TRUB-0.7,10,TRUB,0.7,07/22/2008,High,19,19,10,16,18,15,20,7,6,7,6,9,2,,10-TRUB-0.7_20080722_78,10-TRUB-0.7_20080722
79,10-URIL-0.4,10,URIL,0.4,07/22/2008,Low,8,8,8,16,17,16,15,8,8,7,7,6,6,,10-URIL-0.4_20080722_79,10-URIL-0.4_20080722
80,10-WESB-1.4,10,WESB,1.4,07/22/2008,High,20,18,15,20,20,20,20,10,10,10,10,10,10,,10-WESB-1.4_20080722_80,10-WESB-1.4_20080722
81,10-BOQT-2.8,10,BOQT,2.8,07/23/2008,High,18,17,16,18,18,16,16,9,7,9,8,8,2,,10-BOQT-2.8_20080723_81,10-BOQT-2.8_20080723
82,10-CARN-1.2,10,CARN,1.2,07/23/2008,High,18,19,-9999,17,17,16,19,8,8,10,10,10,10,,10-CARN-1.2_20080723_82,10-CARN-1.2_20080723
83,10-COLW-0.7,10,COLW,0.7,07/23/2008,High,-9999,-9999,19,16,19,17,12,8,8,8,8,6,9,,10-COLW-0.7_20080723_83,10-COLW-0.7_20080723
84,10-DUTT-0.6,10,DUTT,0.6,07/23/2008,Low,15,13,0,2,20,20,13,10,10,10,10,10,10,,10-DUTT-0.6_20080723_84,10-DUTT-0.6_20080723
85,10-FICK-1.1,10,FICK,1.1,07/23/2008,High,18,18,15,16,19,20,9,10,10,10,10,10,10,,10-FICK-1.1_20080723_85,10-FICK-1.1_20080723
86,10-GILB-0.4,10,GILB,0.4,07/23/2008,High,19,19,20,19,19,17,20,10,10,10,7,10,4,,10-GILB-0.4_20080723_86,10-GILB-0.4_20080723
87,10-JACK-0.2,10,JACK,0.2,07/23/2008,High,11,11,10,15,20,11,20,7,6,2,1,1,0,,10-JACK-0.2_20080723_87,10-JACK-0.2_20080723
88,10-JONS-0.8,10,JONS,0.8,07/23/2008,High,19,17,19,18,20,16,19,9,10,9,9,5,7,,10-JONS-0.8_20080723_88,10-JONS-0.8_20080723
89,10-MCGU-0.3,10,MCGU,0.3,07/23/2008,High,19,19,-9999,16,17,18,19,9,9,10,10,10,10,,10-MCGU-0.3_20080723_89,10-MCGU-0.3_20080723
90,10-MKEN-2.8,10,MKEN,2.8,07/23/2008,Low,15,13,0,2,20,20,13,10,10,10,10,10,10,,10-MKEN-2.8_20080723_90,10-MKEN-2.8_20080723
91,11-ROAB-0.8,11,ROAB,0.8,07/23/2008,High,19,19,10,20,20,20,19,10,10,10,10,10,10,,11-ROAB-0.8_20080723_91,11-ROAB-0.8_20080723
92,10-ROCY-0.1,10,ROCY,0.1,07/23/2008,High,19,18,5,16,20,12,19,9,3,9,4,9,2,,10-ROCY-0.1_20080723_92,10-ROCY-0.1_20080723
93,10-SABL-13.1,10,SABL,13.1,07/23/2008,High,18,11,11,11,20,20,10,8,8,10,10,10,10,,10-SABL-13.1_20080723_93,10-SABL-13.1_20080723
94,10-SABL-19.3,10,SABL,19.3,07/23/2008,High,15,15,11,11,20,16,11,10,10,6,9,3,9,,10-SABL-19.3_20080723_94,10-SABL-19.3_20080723
95,10-SABL_E-0.4,10,SABL_E,0.4,07/23/2008,High,19,17,15,16,20,18,20,9,9,8,7,8,3,,10-SABL_E-0.4_20080723_95,10-SABL_E-0.4_20080723
96,10-SABL_E-1.9,10,SABL_E,1.9,07/23/2008,High,11,10,13,6,20,20,13,6,4,8,8,7,9,,10-SABL_E-1.9_20080723_96,10-SABL_E-1.9_20080723
97,10-SABL_E-17.2,10,SABL_E,17.2,07/23/2008,High,20,13,9,14,20,15,20,10,10,9,10,6,8,,10-SABL_E-17.2_20080723_97,10-SABL_E-17.2_20080723
98,10-SABL_E-20.9,10,SABL_E,20.9,07/23/2008,High,10,16,14,14,20,16,10,10,10,3,10,2,10,,10-SABL_E-20.9_20080723_98,10-SABL_E-20.9_20080723
99,10-SABL_E-25.8,10,SABL_E,25.8,07/23/2008,High,18,17,15,20,20,15,20,9,8,9,8,10,6,,10-SABL_E-25.8_20080723_99,10-SABL_E-25.8_20080723
100,10-SABL_W-0.2,10,SABL_W,0.2,07/23/2008,High,15,18,15,16,20,10,20,9,8,5,5,2,2,,10-SABL_W-0.2_20080723_100,10-SABL_W-0.2_20080723
101,10-SABL_W-0.3,10,SABL_W,0.3,07/23/2008,High,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,10-SABL_W-0.3_20080723_101,10-SABL_W-0.3_20080723
102,10-SABL_W-8.0,10,SABL_W,8.0,07/23/2008,High,20,10,15,17,17,17,17,9,9,9,9,6,9,,10-SABL_W-8.0_20080723_102,10-SABL_W-8.0_20080723
103,10-SABL_W-25.6,10,SABL_W,25.6,07/23/2008,High,16,14,18,16,17,17,18,8,8,8,8,4,4,,10-SABL_W-25.6_20080723_103,10-SABL_W-25.6_20080723
104,10-SARA-48.1,10,SARA,48.1,07/23/2008,Low,-9999,-9999,14,18,18,18,17,6,9,4,8,5,9,,10-SARA-48.1_20080723_104,10-SARA-48.1_20080723
105,10-SARS-0.1,10,SARS,0.1,07/23/2008,Low,16,11,8,8,19,18,13,9,9,10,10,10,10,,10-SARS-0.1_20080723_105,10-SARS-0.1_20080723
106,10-STYL-3.6,10,STYL,3.6,07/23/2008,High,20,15,10,13,19,13,20,8,3,5,5,7,7,,10-STYL-3.6_20080723_106,10-STYL-3.6_20080723
107,10-TWOB-1.3,10,TWOB,1.3,07/23/2008,High,-9999,-9999,15,17,17,17,17,6,6,5,5,2,2,,10-TWOB-1.3_20080723_107,10-TWOB-1.3_20080723
108,10-TWOB-3.7,10,TWOB,3.7,07/23/2008,Low,-9999,-9999,14,16,16,17,17,9,9,10,10,9,9,,10-TWOB-3.7_20080723_108,10-TWOB-3.7_20080723
109,10-BEAW-2.3,10,BEAW,2.3,07/24/2008,High,20,8,5,2,19,18,20,5,5,7,7,10,9,,10-BEAW-2.3_20080724_109,10-BEAW-2.3_20080724
110,10-BLAR-1.1,10,BLAR,1.1,07/24/2008,High,20,17,10,6,20,15,20,10,10,10,10,10,10,,10-BLAR-1.1_20080724_110,10-BLAR-1.1_20080724
111,10-BOQT-15.0,10,BOQT,15.0,07/24/2008,High,-9999,-9999,6,-9999,20,15,15,8,10,7,7,5,5,,10-BOQT-15.0_20080724_111,10-BOQT-15.0_20080724
112,10-BOQT-23.2,10,BOQT,23.2,07/24/2008,High,18,14,10,13,20,15,20,10,9,10,10,9,10,,10-BOQT-23.2_20080724_112,10-BOQT-23.2_20080724
113,10-BOQT-28.5,10,BOQT,28.5,07/24/2008,High,18,-9999,6,-9999,20,15,-9999,10,10,8,9,5,5,,10-BOQT-28.5_20080724_113,10-BOQT-28.5_20080724
114,10-BRNC-0.4,10,BRNC,0.4,07/24/2008,High,18,14,15,13,20,7,20,8,8,5,5,3,3,,10-BRNC-0.4_20080724_114,10-BRNC-0.4_20080724
115,10-HAGE-0.2,10,HAGE,0.2,07/24/2008,High,15,-9999,5,17,17,15,18,0,0,0,0,3,3,,10-HAGE-0.2_20080724_115,10-HAGE-0.2_20080724
116,10-LCHU-2.0,10,LCHU,2.0,07/24/2008,High,-9999,-9999,14,-9999,-9999,-9999,-9999,8,8,2,2,3,3,,10-LCHU-2.0_20080724_116,10-LCHU-2.0_20080724
117,10-MDBR-4.1,10,MDBR,4.1,07/24/2008,Low,18,-9999,-9999,-9999,20,18,-9999,9,9,9,9,9,9,,10-MDBR-4.1_20080724_117,10-MDBR-4.1_20080724
118,10-MILC-6.3,10,MILC,6.3,07/24/2008,High,5,17,15,17,17,17,14,5,5,3,6,2,6,,10-MILC-6.3_20080724_118,10-MILC-6.3_20080724
119,10-MULB-0.2,10,MULB,0.2,07/24/2008,High,13,14,15,17,17,17,15,8,8,9,9,8,8,,10-MULB-0.2_20080724_119,10-MULB-0.2_20080724
120,10-PTNY-17.8,10,PTNY,17.8,07/24/2008,High,18,-9999,-9999,11,20,18,-9999,9,9,8,8,10,10,,10-PTNY-17.8_20080724_120,10-PTNY-17.8_20080724
121,10-PUTM-13.2,10,PUTM,13.2,07/24/2008,Low,17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,10-PUTM-13.2_20080724_121,10-PUTM-13.2_20080724
122,10-RILY-1.6,10,RILY,1.6,07/24/2008,High,10,16,5,17,20,20,5,10,10,5,5,10,10,,10-RILY-1.6_20080724_122,10-RILY-1.6_20080724
123,10-ROUT-1.3,10,ROUT,1.3,07/24/2008,Low,11,14,16,13,14,16,15,7,7,8,8,2,2,,10-ROUT-1.3_20080724_123,10-ROUT-1.3_20080724
124,10-SMIB-0.5,10,SMIB,0.5,07/24/2008,High,15,15,17,16,16,15,17,8,8,8,8,10,7,,10-SMIB-0.5_20080724_124,10-SMIB-0.5_20080724
125,10-SPEC-0.2,10,SPEC,0.2,07/24/2008,High,18,16,-9999,19,20,15,-9999,10,10,10,10,10,10,,10-SPEC-0.2_20080724_125,10-SPEC-0.2_20080724
126,13-KIND-17.7,13,KIND,17.7,07/29/2008,High,10,10,15,11,15,20,20,-9999,-9999,8,9,9,10,,13-KIND-17.7_20080729_126,13-KIND-17.7_20080729
127,13-KIND-39.4,13,KIND,39.4,07/29/2008,High,18,17,18,18,-9999,20,20,9,9,9,10,9,9,,13-KIND-39.4_20080729_127,13-KIND-39.4_20080729
128,13-ROKY-1.0,13,ROKY,1.0,07/29/2008,High,19,15,18,16,20,20,20,9,10,10,10,9,10,,13-ROKY-1.0_20080729_128,13-ROKY-1.0_20080729
129,06-APUS_T2-0.6,06,APUS_T2,0.6,08/05/2008,High,18,14,10,15,15,20,16,6,7,9,9,8,10,,06-APUS_T2-0.6_20080805_129,06-APUS_T2-0.6_20080805
130,06-BIBS_T1-0.6,06,BIBS_T1,0.6,08/05/2008,High,16,11,7,11,7,20,16,5,5,6,9,7,9,,06-BIBS_T1-0.6_20080805_130,06-BIBS_T1-0.6_20080805
131,06-COLS-0.7,06,COLS,0.7,08/05/2008,Low,11,11,7,11,11,12,11,6,6,8,8,7,7,,06-COLS-0.7_20080805_131,06-COLS-0.7_20080805
132,06-CSPR-0.8,06,CSPR,0.8,08/05/2008,High,18,11,10,16,19,15,20,10,8,9,9,6,5,,06-CSPR-0.8_20080805_132,06-CSPR-0.8_20080805
133,06-DDLY_T6-1.0,06,DDLY_T6,1.0,08/05/2008,High,20,16,15,19,13,20,20,9,9,10,10,10,10,,06-DDLY_T6-1.0_20080805_133,06-DDLY_T6-1.0_20080805
134,06-DILA-52.9,06,DILA,52.9,08/05/2008,Low,7,11,13,17,17,17,11,9,9,10,10,10,10,,06-DILA-52.9_20080805_134,06-DILA-52.9_20080805
135,06-DILA_W-3.8,06,DILA_W,3.8,08/05/2008,Low,9,13,16,15,16,16,11,8,8,8,8,7,7,,06-DILA_W-3.8_20080805_135,06-DILA_W-3.8_20080805
136,06-DOOT-0.3,06,DOOT,0.3,08/05/2008,High,12,16,9,12,15,7,15,8,9,4,6,8,0,,06-DOOT-0.3_20080805_136,06-DOOT-0.3_20080805
137,06-EATO-0.2,06,EATO,0.2,08/05/2008,High,11,14,15,18,19,20,20,9,9,9,9,2,10,,06-EATO-0.2_20080805_137,06-EATO-0.2_20080805
138,06-FLYS-0.3,06,FLYS,0.3,08/05/2008,High,9,9,16,16,16,16,12,9,9,9,9,8,8,,06-FLYS-0.3_20080805_138,06-FLYS-0.3_20080805
139,06-GEEB-2.2,06,GEEB,2.2,08/05/2008,High,15,12,10,16,9,13,16,2,6,4,9,3,5,,06-GEEB-2.2_20080805_139,06-GEEB-2.2_20080805
140,06-HUNC-1.5,06,HUNC,1.5,08/05/2008,High,19,17,10,17,17,17,14,9,9,9,9,9,9,,06-HUNC-1.5_20080805_140,06-HUNC-1.5_20080805
141,06-MANN-0.2,06,MANN,0.2,08/05/2008,High,7,20,10,18,10,18,20,5,3,1,1,2,2,,06-MANN-0.2_20080805_141,06-MANN-0.2_20080805
142,06-MERR-2.9,06,MERR,2.9,08/05/2008,High,15,13,12,10,15,15,15,7,7,7,7,6,6,,06-MERR-2.9_20080805_142,06-MERR-2.9_20080805
143,06-MERR-6.6,06,MERR,6.6,08/05/2008,High,16,14,14,16,17,18,18,5,9,5,9,6,10,,06-MERR-6.6_20080805_143,06-MERR-6.6_20080805
