HABITAT_FIELD_DATA_HISTORY_ID,EVENT_SMAS_ID,HFDH_GRADIENT,HFDH_EPIFAUNAL_COVER,HFDH_EMBEDDEDNESS_POOLING,HFDH_VELOCITY_DEPTH_REGIME,HFDH_SEDIMENT_DEPOSITION,HFDH_FLOW_STATUS,HFDH_CHANNEL_ALTERATION,HFDH_RIFFLE_BEND_FREQUENCY,HFDH_LEFT_BANK_STABILITY,HFDH_RIGHT_BANK_STABILITY,HFDH_LEFT_BANK_VEG,HFDH_RIGHT_BANK_VEG,HFDH_LEFT_BANK_VEG_ZONE,HFDH_RIGHT_BANK_VEG_ZONE,HFDH_HABITAT_COMMENT,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
20,10-LGLN-0.5_20080701,High,14,8,3,18,18,12,8,6,6,9,6,10,2,,,,,
21,13-PETK-6.1_20080701,High,15,19,15,20,11,18,18,8,7,9,9,9,9,,,,,
22,13-XFBK-0.1_20080701,High,16,20,10,20,13,20,19,9,10,10,10,10,10,,,,,
23,13-XFBK-1.2_20080701,High,16,19,10,20,6,20,16,9,8,10,10,10,10,,,,,
24,13-XSDK-4.2_20080701,High,17,16,15,16,15,19,17,6,8,10,10,10,10,,,,,
25,13-XSTK-4.8_20080701,High,15,15,7,17,13,14,18,,,8,9,8,10,,,,,
26,10-GCHZ-12.0_20080702,High,9,9,20,13,18,8,3,9,9,6,6,1,1,,,,,
27,10-GCHZ-21.3_20080702,High,16,17,17,18,18,15,18,9,9,7,7,2,2,,,,,
28,10-GCHZ-29.4_20080702,High,18,17,17,19,19,15,18,8,9,7,9,3,9,,,,,
29,10-GCHZ-41.2_20080702,High,16,14,18,18,18,13,16,9,9,9,9,9,9,,,,,
30,13-MILL-0.6_20080710,High,9,10,10,3,18,8,13,8,8,4,4,5,3,,,,,
31,13-MILL-2.3_20080710,High,11,15,10,3,10,20,15,1,9,10,10,10,10,,,,,
32,13-MILL-4.1_20080710,High,10,11,10,5,15,18,13,2,5,2,8,0,8,,,,,
33,13-MILL-5.5_20080710,High,12,11,10,10,11,19,,5,5,8,5,9,2,,,,,
34,13-MILL-6.7_20080710,High,16,10,10,15,14,19,17,6,8,9,9,9,9,,,,,
35,13-MILL-9.3_20080710,High,13,16,13,10,11,19,18,3,5,5,4,2,5,,,,,
36,13-CROM-0.6_20080715,High,11,12,9,19,13,14,16,6,9,2,,4,2,,,,,
37,13-WALK-19.0_20080715,Low,9,18,14,12,18,19,6,9,9,7,9,4,10,,,,,
38,13-WALK-22.8_20080715,High,10,11,15,18,19,13,19,9,9,9,10,7,5,,,,,
39,13-WALK-27.8_20080715,High,10,11,15,10,18,19,18,10,,9,4,7,2,,,,,
40,13-WALK-35.6_20080715,High,10,11,12,12,16,14,18,9,8,9,,9,7,,,,,
41,13-WALK-42.4_20080715,High,8,14,16,17,17,14,10,9,9,9,8,10,9,,,,,
42,13-WALK-49.7_20080715,High,10,19,14,17,18,8,12,9,9,6,6,5,3,,,,,
43,13-WALK-60.1_20080715,Low,9,8,13,,18,15,9,9,8,10,9,4,3,,,,,
44,13-BASC-0.4_20080716,High,16,15,16,18,16,15,17,9,9,7,7,5,8,,,,,
45,15-HACK-2.8_20080716,Low,6,11,11,3,13,12,9,7,6,7,7,3,3,,,,,
46,13-KLIN-0.1_20080716,High,13,16,15,14,9,15,10,6,6,9,9,7,7,,,,,
47,13-ONES-0.6_20080716,High,13,15,10,15,15,20,11,6,,10,9,9,9,,,,,
48,13-PEEK-3.7_20080716,High,19,19,10,19,19,15,18,6,7,4,2,3,2,,,,,
49,13-QKER-0.9_20080716,Low,1,13,7,2,15,14,,7,7,7,7,3,3,,,,,
50,13-QUAS-0.3_20080716,High,13,18,14,12,9,14,12,8,9,6,5,3,3,,,,,
51,15-RAMA-1.1_20080716,High,16,19,15,19,15,11,11,9,9,7,7,3,3,,,,,
52,13-VLAT-15.4_20080716,High,12,17,14,11,15,20,15,9,9,9,9,10,5,,,,,
53,13-WYNT-2.9_20080716,High,15,14,14,18,15,17,17,6,8,9,9,4,4,,,,,
54,16-GREE-2.5_20080717,High,18,18,15,17,16,15,18,9,9,9,9,7,7,,,,,
55,13-NORM-3.7_20080717,High,4,,8,,15,,,4,4,4,4,4,7,,,,,
56,13-ROLF-2.4_20080717,High,16,18,18,18,20,18,20,9,9,4,10,1,10,,,,,
57,16-SWMP-0.2_20080717,High,12,11,10,11,16,18,13,8,8,9,9,5,10,,,,,
58,16-WASS-1.2_20080717,High,11,12,16,8,15,15,16,7,7,5,8,1,6,,,,,
59,10-ALDE-0.7_20080722,High,15,13,10,16,20,15,20,10,10,10,10,9,10,,,,,
60,10-BUTB-3.4_20080722,High,16,19,10,16,20,15,16,10,10,7,6,7,6,,,,,
61,10-CBRK_E-0.6_20080722,High,18,18,15,19,20,20,19,10,10,10,10,10,10,,,,,
62,10-CORB-0.8_20080722,High,16,16,18,18,18,18,18,9,9,9,9,7,7,,,,,
63,10-DEAC-3.8_20080722,Low,3,9,9,16,17,16,10,7,7,4,4,4,4,,,,,
64,10-DLET-0.1_20080722,High,18,20,5,20,17,20,19,10,10,10,10,10,10,,,,,
65,10-DLET-2.4_20080722,High,20,20,18,20,20,20,20,10,10,10,10,10,10,,,,,
66,10-LCHZ-2.4_20080722,High,,,18,18,16,18,12,8,8,9,9,5,5,,,,,
67,10-LSAB-5.7_20080722,High,18,18,16,18,18,18,16,9,9,8,8,8,8,,,,,
68,10-LSAB_T6-0.1_20080722,High,15,11,13,15,19,13,11,7,7,10,10,6,7,,,,,
69,10-REAB-3.8_20080722,Low,16,9,12,14,17,18,12,8,8,8,6,10,4,,,,,
70,10-RILE-0.5_20080722,High,13,12,11,16,16,16,11,8,8,9,9,3,3,,,,,
71,10-SABL-2.2_20080722,High,2,18,8,19,19,10,20,10,10,7,7,5,5,,,,,
72,10-SARA-0.9_20080722,High,,,16,17,18,17,15,8,3,9,3,5,0,,,,,
73,10-SARA-10.6_20080722,High,16,18,13,20,20,20,20,9,9,10,10,10,5,,,,,
74,10-SARA-21.8_20080722,High,16,18,10,15,20,11,18,7,8,8,9,5,6,,,,,
75,10-SARA-34.1_20080722,High,20,18,5,18,20,20,20,10,10,10,10,10,10,,,,,
76,10-SARA_T19-0.1_20080722,High,16,19,10,16,19,15,19,9,9,9,8,10,7,,,,,
77,10-SMPL-0.3_20080722,Low,16,8,13,13,20,14,,6,6,6,6,9,9,,,,,
78,10-TRUB-0.7_20080722,High,19,19,10,16,18,15,20,7,6,7,6,9,2,,,,,
79,10-URIL-0.4_20080722,Low,8,8,8,16,17,16,15,8,8,7,7,6,6,,,,,
80,10-WESB-1.4_20080722,High,20,18,15,20,20,20,20,10,10,10,10,10,10,,,,,
81,10-BOQT-2.8_20080723,High,18,17,16,18,18,16,16,9,7,9,8,8,2,,,,,
82,10-CARN-1.2_20080723,High,18,19,,17,17,16,19,8,8,10,10,10,10,,,,,
83,10-COLW-0.7_20080723,High,,,19,16,19,17,12,8,8,8,8,6,9,,,,,
84,10-DUTT-0.6_20080723,Low,15,13,0,2,20,20,13,10,10,10,10,10,10,,,,,
85,10-FICK-1.1_20080723,High,18,18,15,16,19,20,9,10,10,10,10,10,10,,,,,
86,10-GILB-0.4_20080723,High,19,19,20,19,19,17,20,10,10,10,7,10,4,,,,,
87,10-JACK-0.2_20080723,High,11,11,10,15,20,11,20,7,6,2,1,1,0,,,,,
88,10-JONS-0.8_20080723,High,19,17,19,18,20,16,19,9,10,9,9,5,7,,,,,
89,10-MCGU-0.3_20080723,High,19,19,,16,17,18,19,9,9,10,10,10,10,,,,,
90,10-MKEN-2.8_20080723,Low,15,13,0,2,20,20,13,10,10,10,10,10,10,,,,,
91,11-ROAB-0.8_20080723,High,19,19,10,20,20,20,19,10,10,10,10,10,10,,,,,
92,10-ROCY-0.1_20080723,High,19,18,5,16,20,12,19,9,3,9,4,9,2,,,,,
93,10-SABL-13.1_20080723,High,18,11,11,11,20,20,10,8,8,10,10,10,10,,,,,
94,10-SABL-19.3_20080723,High,15,15,11,11,20,16,11,10,10,6,9,3,9,,,,,
95,10-SABL_E-0.4_20080723,High,19,17,15,16,20,18,20,9,9,8,7,8,3,,,,,
96,10-SABL_E-1.9_20080723,High,11,10,13,6,20,20,13,6,4,8,8,7,9,,,,,
97,10-SABL_E-17.2_20080723,High,20,13,9,14,20,15,20,10,10,9,10,6,8,,,,,
98,10-SABL_E-20.9_20080723,High,10,16,14,14,20,16,10,10,10,3,10,2,10,,,,,
99,10-SABL_E-25.8_20080723,High,18,17,15,20,20,15,20,9,8,9,8,10,6,,,,,
100,10-SABL_W-0.2_20080723,High,15,18,15,16,20,10,20,9,8,5,5,2,2,,,,,
101,10-SABL_W-0.3_20080723,High,,,,,,,,,,,,,,,,,,
102,10-SABL_W-8.0_20080723,High,20,10,15,17,17,17,17,9,9,9,9,6,9,,,,,
103,10-SABL_W-25.6_20080723,High,16,14,18,16,17,17,18,8,8,8,8,4,4,,,,,
104,10-SARA-48.1_20080723,Low,,,14,18,18,18,17,6,9,4,8,5,9,,,,,
105,10-SARS-0.1_20080723,Low,16,11,8,8,19,18,13,9,9,10,10,10,10,,,,,
106,10-STYL-3.6_20080723,High,20,15,10,13,19,13,20,8,3,5,5,7,7,,,,,
107,10-TWOB-1.3_20080723,High,,,15,17,17,17,17,6,6,5,5,2,2,,,,,
108,10-TWOB-3.7_20080723,Low,,,14,16,16,17,17,9,9,10,10,9,9,,,,,
109,10-BEAW-2.3_20080724,High,20,8,5,2,19,18,20,5,5,7,7,10,9,,,,,
110,10-BLAR-1.1_20080724,High,20,17,10,6,20,15,20,10,10,10,10,10,10,,,,,
111,10-BOQT-15.0_20080724,High,,,6,,20,15,15,8,10,7,7,5,5,,,,,
112,10-BOQT-23.2_20080724,High,18,14,10,13,20,15,20,10,9,10,10,9,10,,,,,
113,10-BOQT-28.5_20080724,High,18,,6,,20,15,,10,10,8,9,5,5,,,,,
114,10-BRNC-0.4_20080724,High,18,14,15,13,20,7,20,8,8,5,5,3,3,,,,,
115,10-HAGE-0.2_20080724,High,15,,5,17,17,15,18,0,0,0,0,3,3,,,,,
116,10-LCHU-2.0_20080724,High,,,14,,,,,8,8,2,2,3,3,,,,,
117,10-MDBR-4.1_20080724,Low,18,,,,20,18,,9,9,9,9,9,9,,,,,
118,10-MILC-6.3_20080724,High,5,17,15,17,17,17,14,5,5,3,6,2,6,,,,,
119,10-MULB-0.2_20080724,High,13,14,15,17,17,17,15,8,8,9,9,8,8,,,,,
120,10-PTNY-17.8_20080724,High,18,,,11,20,18,,9,9,8,8,10,10,,,,,
121,10-PUTM-13.2_20080724,Low,17,,,,,,,,,,,,,,,,,
122,10-RILY-1.6_20080724,High,10,16,5,17,20,20,5,10,10,5,5,10,10,,,,,
123,10-ROUT-1.3_20080724,Low,11,14,16,13,14,16,15,7,7,8,8,2,2,,,,,
124,10-SMIB-0.5_20080724,High,15,15,17,16,16,15,17,8,8,8,8,10,7,,,,,
125,10-SPEC-0.2_20080724,High,18,16,,19,20,15,,10,10,10,10,10,10,,,,,
126,13-KIND-17.7_20080729,High,10,10,15,11,15,20,20,,,8,9,9,10,,,,,
127,13-KIND-39.4_20080729,High,18,17,18,18,,20,20,9,9,9,10,9,9,,,,,
128,13-ROKY-1.0_20080729,High,19,15,18,16,20,20,20,9,10,10,10,9,10,,,,,
129,06-APUS_T2-0.6_20080805,High,18,14,10,15,15,20,16,6,7,9,9,8,10,,,,,
130,06-BIBS_T1-0.6_20080805,High,16,11,7,11,7,20,16,5,5,6,9,7,9,,,,,
131,06-COLS-0.7_20080805,Low,11,11,7,11,11,12,11,6,6,8,8,7,7,,,,,
132,06-CSPR-0.8_20080805,High,18,11,10,16,19,15,20,10,8,9,9,6,5,,,,,
133,06-DDLY_T6-1.0_20080805,High,20,16,15,19,13,20,20,9,9,10,10,10,10,,,,,
134,06-DILA-52.9_20080805,Low,7,11,13,17,17,17,11,9,9,10,10,10,10,,,,,
135,06-DILA_W-3.8_20080805,Low,9,13,16,15,16,16,11,8,8,8,8,7,7,,,,,
136,06-DOOT-0.3_20080805,High,12,16,9,12,15,7,15,8,9,4,6,8,0,,,,,
137,06-EATO-0.2_20080805,High,11,14,15,18,19,20,20,9,9,9,9,2,10,,,,,
138,06-FLYS-0.3_20080805,High,9,9,16,16,16,16,12,9,9,9,9,8,8,,,,,
139,06-GEEB-2.2_20080805,High,15,12,10,16,9,13,16,2,6,4,9,3,5,,,,,
140,06-HUNC-1.5_20080805,High,19,17,10,17,17,17,14,9,9,9,9,9,9,,,,,
141,06-MANN-0.2_20080805,High,7,20,10,18,10,18,20,5,3,1,1,2,2,,,,,
142,06-MERR-2.9_20080805,High,15,13,12,10,15,15,15,7,7,7,7,6,6,,,,,
143,06-MERR-6.6_20080805,High,16,14,14,16,17,18,18,5,9,5,9,6,10,,,,,
144,06-NANG-49.3_20080805,High,12,6,11,14,16,17,6,8,8,9,9,6,6,,,,,
145,06-NANG-66.3_20080805,High,15,11,18,7,15,12,10,9,9,9,9,9,9,,,,,
146,06-NANG_T73-0.4_20080805,High,17,15,10,15,17,15,19,9,9,9,9,3,2,,,,,
147,06-NANG_W-0.3_20080805,High,20,20,15,9,20,20,5,8,8,10,10,9,2,,,,,
148,06-NANT_E-6.3_20080805,High,16,16,9,13,10,18,16,4,8,5,7,1,5,,,,,
149,06-NING-5.1_20080805,High,,12,14,16,19,17,10,9,9,10,10,5,9,,,,,
150,06-OTSE-0.4_20080805,High,7,7,5,15,17,16,20,,,6,8,2,8,,,,,
151,06-OTSL-8.3_20080805,High,18,16,10,17,19,17,16,9,9,6,10,5,10,,,,,
152,06-OTSL-35.1_20080805,High,16,20,15,19,20,20,5,10,8,10,9,3,10,,,,,
153,06-OTTC-4.6_20080805,High,18,16,14,14,9,18,15,3,1,4,3,2,2,,,,,
154,06-OWGO_W-2.5_20080805,High,11,16,13,10,15,13,11,8,6,7,7,10,10,,,,,
155,06-PANE-8.6_20080805,Low,17,9,,15,11,12,12,9,9,9,9,5,5,,,,,
156,06-PAYN-0.4_20080805,Low,14,16,17,17,17,16,9,9,7,9,8,6,6,,,,,
157,06-PAYN_T3-1.0_20080805,Low,14,14,9,15,17,16,6,9,9,9,9,7,7,,,,,
158,06-PLES-1.2_20080805,High,17,12,10,13,18,15,20,9,9,10,9,8,4,,,,,
159,06-PLSN-5.8_20080805,High,17,16,13,12,10,12,18,8,8,9,9,10,10,,,,,
160,06-SLEB-0.3_20080805,High,18,20,20,13,18,15,16,7,9,9,9,5,10,,,,,
161,06-SLEB-0.9_20080805,High,5,11,10,15,20,11,15,,,5,7,0,1,,,,,
162,06-TOGH-29.8_20080805,High,,16,16,16,18,19,14,9,9,9,9,7,5,,,,,
163,06-TOGH_E-0.1_20080805,High,12,15,14,16,18,,,,,,,,,,,,,
164,06-TOGH_W-0.5_20080805,High,11,11,13,13,17,18,15,9,9,9,9,3,3,,,,,
165,06-TROS-0.5_20080805,High,12,11,14,16,17,19,18,6,9,7,9,10,7,,,,,
166,06-BALL-0.4_20080806,High,10,11,6,9,13,6,6,2,2,1,1,1,3,,,,,
167,06-BEVR-1.5_20080806,High,5,15,12,17,12,7,16,5,5,5,5,2,2,,,,,
168,06-BTNT-2.8_20080806,High,15,15,20,15,19,15,17,5,5,6,5,1,7,,,,,
169,06-BTNT-16.0_20080806,High,13,6,15,11,11,12,16,6,8,7,9,6,6,,,,,
170,06-BTNT-20.6_20080806,High,10,10,15,16,14,13,15,8,8,6,8,7,7,,,,,
171,06-BVIL-2.2_20080806,High,15,20,20,,15,15,20,9,8,9,9,10,10,,,,,
172,06-CARR-1.9_20080806,High,15,15,15,20,10,15,17,8,9,8,9,10,10,,,,,
173,06-CATA-1.7_20080806,High,16,16,18,16,16,16,15,9,9,9,9,8,7,,,,,
174,06-CSTL-0.9_20080806,High,14,13,13,15,8,13,14,6,4,7,7,3,3,,,,,
175,06-CSTL-1.9_20080806,High,7,13,11,11,10,20,11,8,4,9,6,9,9,,,,,
176,06-DILA-5.4_20080806,High,20,,20,17,20,16,20,10,10,8,10,10,10,,,,,
177,06-ELLS-1.0_20080806,High,19,17,18,16,15,18,18,7,9,9,9,5,5,,,,,
178,06-FLIC_T7-3.8_20080806,Low,18,11,9,16,16,16,16,9,9,9,9,7,7,,,,,
179,06-FLYD-0.3_20080806,High,6,11,10,15,4,17,16,9,9,8,8,2,5,,,,,
180,06-FLYD-3.9_20080806,High,20,14,13,15,10,20,20,,,9,3,10,10,,,,,
181,06-GREA-0.7_20080806,High,10,10,14,16,14,13,17,5,7,6,6,7,7,,,,,
182,06-HAYD-2.8_20080806,High,11,10,16,16,15,15,19,8,9,9,9,9,9,,,,,
183,06-HYDE-0.9_20080806,High,12,6,15,16,14,14,16,8,8,8,8,6,6,,,,,
184,06-KNTB-6.0_20080806,High,10,19,10,15,4,20,10,10,10,10,10,8,10,,,,,
185,06-LCHO-2.0_20080806,High,10,13,12,13,19,4,11,9,9,3,3,2,2,,,,,
186,06-MLBO-0.3_20080806,High,16,13,10,19,19,20,20,10,10,10,10,2,10,,,,,
187,06-NANG-0.7_20080806,Low,16,19,10,17,19,13,8,9,9,6,5,3,6,,,,,
188,06-NANT-0.6_20080806,High,16,15,11,18,14,14,16,9,9,8,8,6,8,,,,,
189,06-OTGO_T30-2.7_20080806,High,19,6,10,16,16,16,19,9,9,9,9,7,10,,,,,
190,06-OTGO_W-0.5_20080806,High,13,8,17,16,15,16,17,7,8,10,8,8,6,,,,,
191,06-OWGO-0.3_20080806,High,15,16,14,16,15,17,16,8,8,9,8,9,8,,,,,
192,06-PAGE-0.6_20080806,High,13,16,10,10,10,8,11,8,4,1,6,1,5,,,,,
193,06-PATT-0.3_20080806,High,13,13,11,16,9,11,15,9,6,6,6,4,4,,,,,
194,06-PECA-2.5_20080806,High,17,16,10,11,18,18,18,10,10,10,10,3,6,,,,,
195,06-PIPE-9.6_20080806,Low,18,16,6,17,17,20,15,7,,10,10,10,10,,,,,
196,06-ROGR-0.3_20080806,High,14,19,20,15,15,15,15,9,7,8,5,2,1,,,,,
197,06-SHWL-0.1_20080806,High,14,11,16,16,11,9,15,8,8,8,8,6,6,,,,,
198,06-SNAK-0.4_20080806,High,12,13,10,15,8,14,16,6,8,6,6,5,5,,,,,
199,06-SOUB-0.2_20080806,Low,18,14,7,13,14,15,11,8,6,9,8,9,7,,,,,
200,06-SUGC-0.3_20080806,High,10,12,5,10,8,12,5,0,0,3,3,8,3,,,,,
201,06-SUSQ-3.8_20080806,High,15,15,18,16,16,18,16,9,8,9,9,8,8,,,,,
202,06-SUSQ-25.2_20080806,High,,16,17,15,16,17,11,8,6,8,8,10,8,,,,,
203,06-THOS-0.5_20080806,High,13,15,11,16,16,13,11,9,9,8,5,5,2,,,,,
204,06-WHAR-18.0_20080806,High,9,12,16,9,15,13,11,9,9,9,9,8,5,,,,,
205,06-YALE-4.5_20080806,High,18,13,10,10,10,20,20,9,2,10,2,10,10,,,,,
206,06-BELD-0.5_20080807,High,8,11,6,9,10,1,3,1,1,2,2,1,1,,,,,
207,06-CATA-11.7_20080807,High,17,16,16,17,18,20,15,9,9,10,10,10,10,,,,,
208,06-CAYU-15.5_20080807,High,15,18,10,15,15,20,18,9,9,9,8,9,9,,,,,
209,06-CAYU-17.3_20080807,High,18,18,16,16,16,18,15,8,9,9,9,5,10,,,,,
210,06-CHAR-9.5_20080807,High,12,11,12,7,13,13,11,1,4,1,7,0,2,,,,,
211,06-CHER-12.7_20080807,High,10,9,16,11,11,11,14,8,8,6,9,3,6,,,,,
212,06-CORL-0.3_20080807,High,13,13,8,15,8,11,5,7,3,7,3,3,2,,,,,
213,06-DANB-1.3_20080807,High,15,16,13,14,15,20,16,7,8,8,8,10,10,,,,,
214,06-DECA-0.3_20080807,High,11,12,15,16,16,16,16,9,9,9,4,3,2,,,,,
215,06-JAKC-0.4_20080807,High,17,16,10,15,13,16,18,9,9,8,7,2,2,,,,,
216,06-MASV_E-1.4_20080807,High,15,11,15,15,18,20,19,10,9,10,10,7,10,,,,,
217,06-MICI-3.7_20080807,High,16,16,,15,16,19,19,9,10,10,5,10,2,,,,,
218,06-NVUS-0.9_20080807,High,12,18,20,15,20,18,20,1,3,4,2,9,1,,,,,
219,06-OAKS-0.7_20080807,High,15,15,18,17,18,19,16,8,9,8,8,6,6,,,,,
220,06-OAKS_T2-0.8_20080807,High,18,,10,14,15,15,17,10,10,9,9,8,8,,,,,
221,06-OCCA-0.2_20080807,High,13,11,5,8,8,13,5,2,1,4,1,6,6,,,,,
222,06-OWGO_W-7.8_20080807,High,16,17,10,16,18,18,16,9,6,9,9,10,10,,,,,
223,06-PROP-0.1_20080807,High,16,17,10,16,12,16,18,8,9,8,7,7,7,,,,,
224,06-SUSQ-46.3_20080807,Low,18,11,11,8,16,12,8,8,5,8,8,3,6,,,,,
225,06-TRED-0.5_20080807,High,15,13,10,18,20,16,20,9,8,8,8,5,10,,,,,
226,06-USSQ-56.0_20080807,Low,13,15,10,,18,20,10,8,8,8,8,6,3,,,,,
227,06-USSQ-69.1_20080807,Low,10,16,11,7,19,20,9,6,8,6,8,5,2,,,,,
228,06-USSQ-99.3_20080807,High,16,11,11,13,11,13,8,8,6,,,2,2,,,,,
229,06-USSQ-154.7_20080807,High,16,,15,16,17,17,9,7,7,10,10,9,9,,,,,
230,06-WILK-0.2_20080807,High,13,13,11,15,10,14,12,5,5,5,5,3,3,,,,,
231,11-SRUN-2.9_20080812,Low,10,12,5,8,20,19,6,10,10,7,7,10,10,,,,,
232,11-SRUN-3.7_20080812,Low,6,5,2,13,20,12,13,9,9,3,3,0,0,,,,,
233,11-SRUN-4.2_20080812,Low,13,12,14,10,20,16,14,8,8,7,7,10,10,,,,,
234,11-SRUN-5.5_20080812,Low,11,12,6,6,20,13,6,5,6,7,5,9,0,,,,,
235,11-SRUN-5.9_20080812,Low,4,4,3,3,16,5,1,8,8,7,7,1,10,,,,,
236,13-USOP-1.3_20080813,High,18,13,14,18,20,20,20,9,10,10,10,10,10,,,,,
237,13-USOP-4.6_20080813,High,20,18,14,18,18,16,20,,,8,9,10,6,,,,,
238,13-USOP-6.7_20080813,High,18,13,18,18,20,18,18,10,10,9,7,10,7,,,,,
239,13-USOP-8.2_20080813,High,13,13,18,18,20,15,20,8,8,8,8,9,9,,,,,
240,13-USOP-10.1_20080813,High,13,13,18,18,18,20,19,10,10,10,10,8,8,,,,,
241,13-USOP-14.2_20080813,High,18,15,20,19,20,20,20,10,10,10,10,10,10,,,,,
242,13-USOP-16.9_20080813,High,16,19,5,20,20,15,20,9,8,8,9,6,8,,,,,
243,13-USOP-20.7_20080813,High,18,20,20,20,20,18,20,10,10,10,10,10,10,,,,,
244,08-BEEV-0.8_20080819,High,18,,5,20,20,20,,10,10,10,10,0,2,,,,,
245,08-PINC-0.4_20080819,High,18,,13,18,20,20,,10,10,10,10,10,10,,,,,
246,08-ROAR-2.1_20080819,High,15,,15,18,20,20,18,10,10,10,10,5,2,,,,,
247,03-SAND-16.4_20080819,High,12,,13,16,20,18,18,10,10,8,8,7,7,,,,,
248,08-BLCK-88.1_20080820,High,20,18,5,20,20,13,20,10,10,10,10,1,5,,,,,
249,08-LBLK-5.0_20080820,High,19,15,20,20,10,20,20,10,10,10,10,9,9,,,,,
250,10-CHUB-0.4_20080827,High,19,15,19,18,20,20,15,10,10,10,10,10,10,,,,,
251,10-SMOW-1.4_20080827,High,20,15,12,20,16,20,20,10,10,10,10,10,10,,,,,
252,10-WHIF-1.6_20080827,High,20,15,15,20,19,20,20,10,10,8,8,10,10,,,,,
253,10-BISH-0.6_20080828,High,15,10,9,9,14,14,14,7,7,4,4,4,4,,,,,
254,10-BOQT-15.0_20080828,High,11,10,15,20,20,18,13,,,8,9,1,1,,,,,
255,10-BOQT-28.5_20080828,High,18,15,20,11,5,20,20,8,3,8,10,10,2,,,,,
256,10-METT-11.1_20080828,High,19,15,13,19,17,15,20,8,8,10,7,10,5,,,,,
257,10-SABL-19.3_20080828,High,17,10,11,20,15,20,20,10,8,10,10,10,1,,,,,
258,10-SARA-0.9_20080828,High,15,11,10,20,20,18,20,8,9,9,9,5,5,,,,,
259,10-SARA-10.6_20080828,High,20,20,20,20,20,16,20,10,10,10,9,9,5,,,,,
260,10-SARA-48.1_20080828,Low,15,15,15,20,20,17,18,8,8,7,9,10,1,,,,,
261,10-TWOB-1.3_20080828,High,20,11,15,16,20,18,20,10,10,9,9,1,1,,,,,
262,10-TWOB-3.7_20080828,Low,13,16,13,20,20,18,20,10,10,10,10,10,10,,,,,
263,10-LCHU-2.0_20080902,High,12,16,14,15,13,12,14,8,7,2,2,2,2,,,,,
264,10-MDBR-4.1_20080902,Low,6,6,14,10,10,15,16,4,4,8,6,9,6,,,,,
265,10-PTNY-17.8_20080902,High,12,10,10,5,14,19,18,7,6,3,9,2,9,,,,,
266,05-CHEM-5.4_20080903,High,13,13,18,18,8,18,10,9,9,9,9,6,10,,,,,
267,05-COHO-5.9_20080903,High,16,11,19,19,19,15,12,9,9,8,8,4,4,,,,,
