NewID,Date_Habitat,Biological Sample,Epifaunal Substrate/Available Cover,Pool Substrate Characterization,Pool Variability,Sediment Deposition,Channel Flow Status,Channel Alteration,Channel Sinuosity ,LB Stability,RB Stability,LB Vegetative Protection,RB Vegetative Protection, LB Riparian Zone Width, RB Riparian Zone Width,Comments,Site Type
LGSS-06,7/7/2015,Yes,10,5,5,18,20,17,12,8,9,10,10,4,8,,LGSS
LGSS-07,7/8/2015,Yes,10,8,12,9,18,18,12,9,9,9,9,9,9,,LGSS
LGSS-09,7/8/2015,Yes,17,6,13,9,19,18,12,4,3,3,3,9,9,Site directly down stream of beaver dam.,LGSS
LGSS-10,7/7/2015,Yes,14,8,10,12,18,15,15,5,7,8,8,6,2,,LGSS
HARB-0.5,7/7/2015,Yes,6,6,11,6,18,1,1,8,8,4,5,2,7,,LGSS
WBOT-01,7/7/2015,Yes,15,9,14,10,14,15,10,7,8,8,6,9,4,Right bank is adjacent to a home,LGSS
BUTL-01,7/7/2015,Yes,10,10,10,18,20,15,15,10,9,10,9,5,10,,LGSS
POBK-01,7/7/2015,,10,6,10,10,15,13,12,7,7,8,8,9,2,,LGSS
MUSK-01,7/7/2015,Yes,14,12,13,8,14,18,13,9,9,8,8,8,7,,LGSS
LGSS-43,7/14/2015,Yes,13,8,14,10,19,14,14,6,5,7,6,9,7,Tires and bottles present.,LGSS
LGSS-31,7/14/2015,Yes,10,8,11,13,19,17,7,8,8,5,5,7,7,,LGSS
LGSS-36,7/14/2015,Yes,18,16,17,15,19,18,15,9,9,8,8,7,9,,LGSS
LGSS-T02,7/16/2015,Yes,10,13,13,12,19,17,11,8,5,7,6,7,3,,LGSS
LGSS-R02,7/16/2015,Yes,14,14,16,15,19,20,20,9,10,10,10,10,10,,LGSS
LGSS-T06,7/15/2015,Yes,12,7,10,7,19,20,15,10,10,10,10,10,10,This could be used as a reference site.,LGSS
LGSS-R07,7/14/2015,Yes,19,15,16,17,19,19,17,8,8,8,8,9,9,,LGSS
LGSS-T07,7/15/2015,Yes,12,14,15,11,19,18,19,5,8,4,8,0,9,Looks to have been past beaver activity. Short cut grass along most of left side of stream (facing downstream).,LGSS
LGSS-T03,7/15/2015,Yes,4,6,11,10,20,20,14,10,10,8,8,9,9,,LGSS
LGSS-13,7/15/2015,Yes,13,11,11,7,20,18,16,7,8,5,7,8,8,Stream is surrounded on all sides by agricultural fields.,LGSS
LGSS-T04,7/15/2015,Yes,14,8,6,10,16,15,6,8,8,9,9,10,10,,LGSS
LGSS-R04,7/15/2015,Yes,12,16,11,16,19,20,6,10,10,7,7,4,9, ,LGSS
LGSS-R05,7/14/2015,Yes,10,5,6,4,19,19,16,9,9,8,8,9,8,Characterized best as predominantly wetland with a small stream flowing through it.,LGSS
LGSS-R06,7/14/2015,Yes,14,12,12,15,19,18,7,9,9,9,9,9,9,,LGSS
LGSS-T08,7/14/2015,Yes,9,14,13,15,19,18,13,7,7,9,7,9,7,,LGSS
LGSS-T05,7/15/2015,Yes,8,6,7,11,19,19,8,10,10,9,9,8,7,,LGSS
LGSS-22,7/15/2015,Yes,7,7,11,8,6,19,19,7,7,8,8,10,10,,LGSS
LGSS-R01,7/16/2015,Yes,13,14,15,14,19,19,18,10,10,10,10,10,10,,LGSS
CHMO-10.1,7/21/2015,Yes,12,7,7,4,17,17,8,7,7,7,7,2,5,,LGSS
CHMO-8.0,7/21/2015,Yes,15,10,7,5,17,15,13,8,8,8,8,8,8,,LGSS
GUFF-1.8,7/21/2015,Yes,17,5,3,7,17,17,10,7,7,8,8,10,10,,LGSS
HRBT-2.2,7/21/2015,Yes,14,16,8,12,17,13,9,6,8,5,8,2,2,,LGSS
FOMI-5.7,7/21/2015,,10,11,6,17,13,15,10,8,8,9,8,9,7,,LGSS
FOMI_S-0.1,7/21/2015,Yes,10,15,5,11,13,15,13,6,6,4,4,10,9,,LGSS
IRON-08,7/22/2015,Yes,10,9,14,11,15,16,10,5,5,5,5,1,1,Park grass almost to stream bank.,LGSS
TELV-10.6,7/21/2015,Yes,11,11,6,9,14,15,8,7,7,9,9,10,10,,LGSS
BEAG-1.8,7/22/2015,Yes,7,8,1,6,12,15,9,8,7,7,8,4,6,,LGSS
BERO-4.4,7/23/2015,Yes,6,3,4,0,10,2,5,5,5,1,1,0,0,,LGSS
0,7/23/2015,Yes,12,10,3,10,10,4,6,7,7,3,4,2,3,,LGSS
GHIL-1.5,7/21/2015,Yes,14,4,2,5,16,5,2,5,5,3,4,2,5,,LGSS
JOHN-12.7,7/21/2015,Yes,12,2,1,12,16,12,8,3,3,5,5,3,6,,LGSS
MIDL-2.5,7/21/2015,Yes,15,8,2,8,18,14,4,6,6,4,4,3,3,,LGSS
0,7/23/2015,,4,2,3,1,8,14,12,8,9,6,7,4,4,,LGSS
YANT-0.2,7/22/2015,Yes,3,3,5,3,10,17,10,5,6,3,6,2,4,,LGSS
LGSS-12,8/12/2015,Yes,5,5,6,10,20,12,9,10,10,10,10,7,6,,LGSS
LGSS-14,8/12/2015,Yes,12,16,15,17,17,18,17,10,7,9,9,10,10,,LGSS
LGSS-27,8/12/2015,Yes,12,11,9,10,20,18,20,10,10,10,10,2,10,,LGSS
LGSS-34,8/13/2015,Yes,15,18,17,18,19,20,20,9,9,9,9,10,5,Good site except for dead mammal,LGSS
LGSS-T09,8/12/2015,Yes,15,10,10,5,20,15,13,7,8,6,7,3,4,,LGSS
LGSS-T11,8/12/2015,Yes,13,13,10,19,20,16,12,9,9,9,9,2,5,,LGSS
LGSS-T12,8/13/2015,Yes,13,8,18,11,20,13,20,8,8,7,7,10,10,,LGSS
BLKE-0.1,8/4/2015,Yes,9,9,8,11,8,13,8,10,10,9,9,8,8,,Screening
FISN-2.4,8/4/2015,Yes,5,13,10,6,15,10,0,10,10,9,9,3,3,Swamp,Screening
GILL-0.3,8/4/2015,Yes,10,10,10,5,11,10,4,8,8,8,8,5,5,,Screening
GOTC-0.2,8/4/2015,Yes,4,3,3,7,16,2,2,9,9,8,8,10,2,"Gross, highly channelized behind condos",Screening
0,8/5/2015,Yes,10,4,6,12,14,10,14,4,2,7,2,2,1,"Right bank dug out and cleared, channelized beyond culvert other side of road",Screening
0,8/4/2015,Yes,6,10,1,2,10,10,8,8,8,6,6,3,4,,Screening
LSIS-2.0,8/5/2015,Yes,17,14,15,13,19,15,13,9,8,9,8,6,10,,Screening
MURD-16.9,8/4/2015,Yes,17,18,17,15,17,15,17,6,9,10,10,9,2,"Hard bottom, lots of macrophytes ",Screening
PION-0.9,8/5/2015,Yes,12,16,6,13,12,13,14,5,5,6,6,10,10,Looks like it used to be dammed,Screening
TONA-103.5,8/6/2015,Yes,18,19,17,15,18,13,18,9,9,10,3,9,8,Channelized through pasture downstream,Screening
OATK-46.2,7/29/2015,Yes,13,12,16,8,11,16,14,5,7,5,5,4,4,,Intensive
BRND-2.5,9/22/2015,Yes,11,13,13,12,13,16,12,6,4,8,5,8,6,,Intensive
JEWT-3.1,9/23/2015,Yes,12,13,12,14,14,15,16,7,8,3,4,3,1,,Intensive
LSAL-1.0,9/21/2015,Yes,11,7,5,15,7,17,11,8,8,5,5,9,9,,Intensive
PIKC-8.7,9/21/2015,Yes,13,11,12,12,13,16,15,4,3,1,2,5,7,,Intensive
PLMB_T-0.1,9/22/2015,Yes,17,17,13,8,9,20,16,7,5,8,5,6,10,,Intensive
WSCK-3.4,9/23/2015,Yes,14,13,15,12,15,16,13,5,4,5,4,7,9,,Intensive
0,8/19/2015,Yes,3,3,1,5,10,6,8,4,4,5,3,3,6,,Screening
BARK-0.6,8/19/2015,Yes,8,15,10,16,12,16,10,10,10,8,8,7,8,,Screening
