NewID,Location,Station,Direct,Name,Basin,Descript,Lat,Long,Lat/Long,Date_FieldData,Time,Bank,Macrophyte,Crew,Snags,Substrate,Reference?,% Macrophyte,Depth,Bottom type,Width,Dominant substrate,Current,Riffle present,% slope,Canopy,Land use,Temp,Algae filamentous,Algae suspended,Conduct,Notes,pH,DO,Photo,Photo_2,%Sat,ChlA,Water Clarity Driver,Sample Type
LGSS-02,LGSS,10.191083,,,3,Clip46_adjusted,43.2268,-78.4671,43.22636 -78.46652,7/8/2015,9:58,2,2,BDuffy; RSmith ,2,2,No,10,0.2,Hard,0.4,Gravel,0.2,No,,3,Agricultural ,18.35,1,0,879,,8.06,10.69,14363970980001.jpg,14363970980002.jpg,113,2.19,,Low gradient
LGSS-03,LGSS,13.832853,,,3,Clip50_Adjusted,43.1866,-78.5753,43.18660 -78.57482,7/8/2015,9:32,2,2,BDuffy;RSmith ,0,2,No,100,0.2,Hard,1,Gravel,0,No,,2,Agricultural ,16.47,1,0,802,Mayfly found. May dry up during summer ,7.33,7.19,14363970980007.jpg,14363970980008.jpg,73.8,3.49,Turb,Low gradient
LGSS-04,LGSS,13.846,,,,Clip301_Adjusted,41.8481,-73.5523,41.64428 -73.81075,6/30/2015,13:11,2,2,RSmith; JLopsberger ,2,2,No,10,70,Very soft,8,Sand,20,Yes,,20,Residential,16.23,0,0,533,,7.74,10.04,14357777680067.jpg,14357777680068.jpg,101.1,1.18,,Low gradient
LGSS-05,LGSS,18.617062,,,4,Clip67_RedoLndCvr,42.8361,-77.7753,42.83710 -77.78400,7/8/2015,14:35,2,2,BDuffy; RSmith ,,2,,10,0.4,Hard,12,,0,Yes,,25,Forest ,21.58,0,0,837,Bedrock substrate. Macrophage and bank is dominant habitat. Substrate sample is specific to the macrophyte beds ,8.09,10.95,14363970980009.jpg,14363970980010.jpg,125,3.9,Turb,Low gradient
LGSS-06,LGSS,25.36,Lancaster,,1, Clip16-25.36,42.9202,-78.6086,42.91053 -78.62258,7/7/2015,18:08,,,Duffy RSmith,,,No,40,0.2,Soft,1,Silt,0.1,No,,5,Suburban ,23.1,0,0,664,Root mat bottom small site moved from inside airport fence.good variety of bugs,7.5,5.6,14363970980015.jpg,14363970980016.jpg,66,1.9,Turb,Low gradient
LGSS-07,LGSS,25.540275,,,4,Clip66_RedoLndCvr,42.8627,-77.6324,42.86238 -77.63226,7/8/2015,15:04,1,2,BDuffy; RSmith ,0,2,No,70,0.5,Soft,3,Silt,0.1,No,,27,Wetlands; forest,22.14,0,0,722,Entire stream channel is enclosed by 3 meter tall cat tails.,7.44,3.05,14363970980017.jpg,14363970980018.jpg,35.2,5.35,DOC,Low gradient
LGSS-12,LGSS,29.69057,,,13,Clip250,41.6321,-74.1635,41.63192 -74.16363,8/12/2015,12:48,2,2,Duffy RSmith,0,2,No,10,0.1,Soft,3,Silt,0.1,No,,0,Prison,21.4,1,0,340,Site is near prisons. Approached within 30 seconds about why we're here. No issues; gross site,7.4,9.2,14395794810037.jpg,14395794810038.jpg,104,,,Low gradient
LGSS-14,LGSS,32.919255,,,15,Test_1482,41.2791,-74.1493,41.28174 -74.14502,8/12/2015,16:09,2,2,Duffy rsmith,2,2,No,0,0.6,,8,Sand,0.1,No,,45,Highway,23.1,0,0,1140,Almost would be reference except for highway salt influence which is very high. Had to hike across field. Tough walk,7.5,9.1,14395794810041.jpg,14395794810042.jpg,107,,Turn,Low gradient
LGSS-08,LGSS,33.896,,,,,42.9345,-74.9239,42.66431 -75.48855,7/3/2015,10:50,2,2,RSmith; JLopsberger ,2,2,No,20,0.7,Soft,0.5,Silt,0.4,No,,96,Agricultural ,13.86,0,0,211,,7.26,9.14,14359571840001.jpg,14359571840002.jpg,87.3,0.42,Turn,Low gradient
LGSS-09,LGSS,35.697941,,,1,Clip6-35.7,42.7715,-78.2738,42.69574 -78.18329,7/8/2015,12:37,2,0,BDuffy; RSmith ,2,2,No,0,0.1,Very soft,0.3,Silt,0.4,No,,45,Wetlands ,17.79,0,0,282,Directly downstream of beaver dam.,7.2,6.9,14363970980021.jpg,14363970980022.jpg,72.7,1.39,,Low gradient
LGSS-10,LGSS,36.092932,,,4,Clip59_Adjusted,43.1117,-77.7895,43.11171 -77.78960,7/7/2015,15:50,2,2,Duffy RSmith ,2,2,No,30,0.3,Very soft,4,Silt,0.05,No,,40,Ag ,25.2,1,1,970,Sites flows through onstream pond just upstream,7.4,10.2,14363970980023.jpg,14363970980024.jpg,115,5,Turb,Low gradient
LGSS-18,LGSS,45.83,,,5,40m downstream of bridge,42.143868,76.939462,,6/15/2015,15:51,2,2,Rsmith; AJSmith; Emosher,2,2,No,25,0.09,Hard,1.5,Clay,0,No,0,8,Residential,13.6,0,0,380,Narrow low gradient site. ,7.1,5.9,Yes,,57,0.29,Turb,Low gradient
LGSS-11,LGSS,46.004,,,,,43.1623,-76.1823,42.93469 -74.92383,7/3/2015,9:24,2,2,RSmith; JLopsberger ,2,2,No,10,0.24,Hard,1,Gravel,0.4,No,,33,Agricultural,14.43,0,0,470,,7.47,8.2,14359571840013.jpg,14359571840014.jpg,80.5,2.19,,Low gradient
LGSS-24,LGSS,53.33,,,5,Clip82_Adjusted. 20m downstream of culvert.,42.28952,77.509042,,6/15/2015,15:36,2,2,Rsmith; AJSmith; Emosher,2,2,No,10,0.2,Soft,2,Silt,10,Yes,1,36,Agriculture,19,0,0,136,Water clarity is very poor due to recent rains and higher water. If this site looks odd it could be its normally more high gradient. Also chlorophyl a is very high but I am guessing it is due to turbidity not algae.,6.7,7.5,Yes,,82,2.9,Turb,Low gradient
LGSS-13,LGSS,58.547,,,,Clip155_Adjusted,44.77323,-75.23782,44.77323 -75.23782,7/15/2015,12:57,2,0,RSmith ,2,2,No,0,0.5,Soft,2.5,Silt,0,No,,20,Agricultural ,21.54,0,0,345,Engine block; carpets and other trash in stream. Lots of woody debris,7.18,6.21,14370659950031.jpg,14370659950032.jpg,70.9,,Turb,Low gradient
LGSS-27,LGSS,59,,,14,Clip269_Adjusted,41.6747,-74.8196,41.67528 -74.81919,8/12/2015,10:53,2,2,Duffy RSmith,2,2,No,20,0.1,Soft,3,Silt,0.3,No,,0,Forested,18.5,1,0,208,Nice site flowing out of woods. Took newts out of sample.,6.5,8.2,14395794810083.jpg,14395794810084.jpg,88,,,Low gradient
LGSS-15,LGSS,67.24,,,11,Clip210_Adjusted. 40m upstream of bridge,43.078452,73.738042,,6/18/2015,13:03,2,2,Rsmith; AJSmith; Emosher,2,2,No,,0.45,Soft,4.5,Sand,70,No,2,32,Residential,15,0,1,1309,Gray water color and conductivity is very high. Nice habitat plenty of snags and overhanging vegetation. ,7.3,9.6,Maybe,,96,0.25,Turb,Low gradient
LGSS-34,LGSS,69.556835,,,15,Test_2191,41.1358,-74.1219,41.13568 -74.12200,8/13/2015,8:06,2,2,Duffy RSmith,2,2,No,0,0.9,Hard,6,Gravel,0.05,No,,80,Residential,19.8,0,0,483,Site is deep with good habitat and sinuous. There is a dead mammal smelling it up but otherwise good.lots of snags and undercut banks. DO is questionable,7.6,7.2,14395794810105.jpg,14395794810106.jpg,72,,Turn,Low gradient
LGSS-16,LGSS,73.76,,,11,Clip214_Adjusted,43.012842,73.925225,,6/18/2015,10:15,2,2,Rsmith; AJSmith; Emosher,2,2,Yes,25,0.6,Soft,1.5,Clay,40,No,0,6.4,Forest; Wetland ,16.79,0,0,310,Stonefly found on log. Good reference site.,7.47,10.14,Yes,,104,1.7,DOC,Low gradient
LGSS-17,LGSS,34.996_adjusted,,,,,42.61323,-75.5317,42.61323 -75.53170,7/3/2015,11:34,2,2,RSmith; JLopsberger ,2,2,No,50,0.7,Very soft,8,Silt,40,No,,99,Wetland/meadow,14.73,0,0,393,Extreme deposition. Very difficult to walk in all parts of stream due to deposition. Woody debris sample was very sparse.,7.71,10.74,14359571840019.jpg,14359571840020.jpg,106,2.17,Turn,Low gradient
LGSS-25,LGSS,BRWN-01,,,17,20 m below Aldrich St. culvert,40.74611,-73.07694,40.74647 -73.07679,6/25/2015,12:01,,,Duffy mosher RSmith ,,,No,20,0.3,Hard,15,Gravel,20,Yes,0,95,Residential,16.98,0,0,288,Down stream is actually GREAT low gradient habitat. Possibly a good reference site. Good mix of over head vegetation; macrophytes; and banks,6.01,11.6,14355859100017.jpg,,120,,,Low gradient
LGSS-26,LGSS,BVDC-01,,,17,5m below South Country Rd bridge,40.77806,-72.91583,40.77796 -72.91640,6/25/2015,14:21,2,2,Duffy; Mosher RSmith ,2,2,No,30,0.05,Hard,1.75,Gravel,70,Yes,,78,Residential forest,17.38,0,0,275,Eels and minnows; ponded upstream of site,6.12,11.62,14355859100013.jpg,,121,,,Low gradient
LGSS-28,LGSS,CARL-02,,,17,20 m below Park Ave. culvert,40.702108,-73.328317,40.70256 -73.32826,6/25/2015,8:49,2,2,Duffy; Mosher; RSmith,0,2,Yes,10,0.5,Hard,4,Gravel,0.7,Yes,-1,61,Recreation,21.39,0,0,240,Mayflies and signs for brook trout. Slope indicated opposite flow; even though this is not the case.,2.2,9.55,14355859100002.jpg,,108.3,,,Low gradient
LGSS-29,LGSS,CARM-01,,,17,below foot bridge at USGS gaging station,40.83,-72.90694,40.86300 -72.94260,6/26/2015,9:55,2,2,Duffy mosher RSmith ,2,2,No,70,0.4,Soft,10,Silt,0.1,No,,87,Forest,15.8,0,0,218,Very swampy but has distinct flow,4.55,7.8,14355859100014.jpg,,78,,DOC,Low gradient
LGSS-30,LGSS,CARM-03,,,17,below East Bartlett Rd.,40.863276,-72.942207,40.83051 -72.90648,6/26/2015,9:05,2,2,Duffy; Mosher; RSmith ,1,2,Yes,80,0.6,Hard,10,Sand,30,No,,20,Forest,20.5,1,0,202,Perlid exuviae on bridge; stream dammed directly underneath railroad bridge; Ryan got stung by a shiny green buggy,6.5,7.3,14355859100012.jpg,,81,,DOC,Low gradient
LGSS-31,LGSS,COLW-01,,,,off Reber Rd N,44.32758,-73.48029,44.32758 -73.48029,7/14/2015,12:03,2,0,RSmith; JLojpsberger; CLawrence,2,2,No,0,0.7,Soft,4,Sand,20,No,,0,Ag,21.79,0,0,166,Down unnamed dirt road past old barn ,7.57,8.56,14370659950011.jpg,14370659950012.jpg,97.6,0.45,DOC,Low gradient
LGSS-23,LGSS,Eastern Ave.,,,,,42.951982,73.985737,,6/18/2015,15:11,2,2,Rsmith; AJSmith; Emosher,0,2,Yes,60,0.15,Very Soft,1,Clay,10,No,0,58.4,Residential; Forest; Wetland ,18.52,0,0,285,,7.06,8.62,Yes,,92.3,1.02,DOC,Low gradient
LGSS-32,LGSS,GREN-00,,,17,Easy St below culvert.,40.74149,-73.09317,40.74123 -73.09318,6/25/2015,11:07,2,2,Duffy; Mosher RSmith ,2,2,No,10,0.1,Soft,1.5,Sand,0.2,Yes,1.5,100,Residential forestry,15.8,0,0,230,Oligochaets;mud flat downstream and impoundment upstream,5.9,8.5,14355859100018.jpg,,86,,,Low gradient
GREN-01,LGSS,GREN-01,,,17,Brook St @bridge,40.73639,-73.09167,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
LGSS-33,LGSS,MASS-01,,,17,150 m above Clark Ave.,40.68167,-73.46056,40.68016 -73.46170,6/24/2015,17:53,2,2,Duffy mosher RSmith,1,2,No,60,0.5,Hard,10,Gravel,0.2,Yes,2,20,Urban park,22,1,0,388,Site has historic riffle upstream; sow bugs; red midge; site flows out of pond upstream and into another right here,6.2,9.2,14355859100022.jpg,,106,,,Low gradient
LGSS-35,LGSS,MBur-01,,,17,,40.6583,-73.60267,40.65830 -73.60267,6/24/2015,16:13,2,2,Duffy RSmith mosher,2,2,No,10,0.2,Hard,2.5,Sand,0.05,No,,36,Urban,19.5,0,0,573,First site of the day on Long Island. Horrible trip and will not be coming back until 2023. Good low gradient site finally. Lots ofSow bugs and some beetles,6.6,7.4,14355859100008.jpg,,81,,Susp Algae,Low gradient
LGSS-36,LGSS,MLLM-01,,,,just off Mill Brook Rd,44.05322,-73.53968,44.05322 -73.53968,7/14/2015,10:55,2,,RSmith; Jlojpsberger; CLawrence,2,2,,0,0.3,Soft,4,Sand,20,Yes,,11,Forest; ag,20.04,0,0,82,Next to farm where I did the fish ibi with zach and Anne ,7.17,8.75,14370659950013.jpg,14370659950014.jpg,96.7,0.47,,Low gradient
LGSS-37,LGSS,MUDL-01,,,17,10 m below RR off Montauk Highway,40.76722,-72.98055,40.76705 -72.98042,6/25/2015,13:35,,,Duffy RSmith,,,No,20,0.2,Soft,8,Sand,0.5,No,,65,Forest,16.1,0,0,320,Good sandy site. Elizabeth taking short nap to recover from last night. Having a rough day. Site previously sampled but saw no evidence of riffle,6.06,12.7,14355859100016.jpg,,128,,,Low gradient
LGSS-38,LGSS,NISS-E,,,17,,40.85015,-73.1831,40.85010 -73.18296,6/26/2015,10:49,2,0,Duffy Mosher RSmith ,2,2,No,0,0.2,Soft,3,Sand,70,No,,80,Residential forest,15.8,0,0,522,,5.98,6.7,14355859100007.jpg,,68,,DOC,Low gradient
LGSS-39,LGSS,Nisseq_1,,,17,,40.858423,-73.210681,40.85786 -73.21117,6/26/2015,11:27,1,2,Duffy Mosher RSmith ,2,2,No,10,0.4,Hard,25,Gravel,70,Yes,,3,Recreation ,21.9,0,0,179,Very wide shallow river; very different than other Long Island sites. Eels and zygoptera ,6.8,9.5,14355859100020.jpg,,108,,DOC,Low gradient
LGSS-40,LGSS,PECN-01,,,17,10 m below culvert in Otis Pike Preserve,40.90361,-72.76472,40.90361 -72.76474,6/25/2015,16:39,2,2,Duffy Mosher RSmith ,2,2,No,10,0.5,Soft,10,Sand,20,No,,5,Recreation forest,25.28,0,0,63,,6.11,12.48,14355859100015.jpg,,151,,DOC,Low gradient
LGSS-R01,LGSS,Ref12,,,,,42.64496,-75.98175,42.64496 -75.98175,7/16/2015,12:22,2,2,RSmith; Jlojpsberger; CLawrence ,2,2,Yes,50,0.6,Soft,3,Silt,0.4,No,,25,,16.89,1,0,84,,6.87,8.79,14370659950067.jpg,14370659950068.jpg,90.7,,DOC,Low gradient
LGSS-R09,LGSS,REF28,,,,Clip306_Adjusted,41.7548,-73.5163,,6/30/2015,14:32,2,2,RSmith; JLopsberger ,2,2,Yes,50,60,Very soft,3,Silt,0,No,,10,Wetland,17.7,0,0,161,Extremely mucky. No flow. Stream winds through dense wetland. Walked upstream 30 yards from culvert on ,6.96,8.16,14357777680007.jpg,14357777680008.jpg,84.6,0.74,DOC,Low gradient
LGSS-R10,LGSS,REF30,,,,Clip298,41.9936,-73.5126,,6/30/2015,9:22,2,2,RSmith; JLopsberger,2,2,Yes,10,0.6,Hard,3,Gravel,90,No,,2,Wetlands; agricultural ,17.02,1,0,258,Sample taken downstream of route 62 culvert. Site is downstream of a beaver dam. Good undercut banks present. Lots of woody debris ,6.87,5.33,14357777680011.jpg,14357777680012.jpg,55.1,0.74,,Low gradient
LGSS-19,LGSS,Road1,,,,,41.92911,-73.52637,41.92911 -73.52637,6/30/2015,12:08,2,2,RSmith; JLopsberger ,2,2,No,10,0.5,Hard,1.5,Gravel,140,No,,3.5,Wetland; agricultural ,13.75,0,0,424,Upstream of Downey street culvert. Spring house with green roof next to stream. Beaver activity. ,7.29,10.74,14357777680073.jpg,14357777680074.jpg,103.6,0.04,,Low gradient
LGSS-20,LGSS,Road2,,,,,41.64428,-73.81075,41.64428 -73.81075,6/30/2015,16:37,2,2,RSmith;JLopsberger ,2,2,No,0,25,Soft,7,Gravel,30,No,,15,Forest,17.45,1,0,414,Large cobble with moderate sediment deposit prevalent.,8.04,11.73,14357777680075.jpg,14357777680076.jpg,119,1.74,Turn,Low gradient
LGSS-21,LGSS,Road3,,,,,42.66433,-75.48853,42.66433 -75.48853,7/3/2015,10:55,2,2,RSmith; JLopsberger ,2,2,,10,0.7,Soft,7,Silt,0.4,No,,93,Agricultural ,13.89,0,0,211,,7.13,8.8,14359571840017.jpg,14359571840018.jpg,85,0.42,Turn,Low gradient
LGSS-22,LGSS,Road4,,,,,44.86006,-74.5603,44.86006 -74.56030,7/15/2015,10:22,2,2,RSmith; Jlojpsberger; CLawrence ,2,2,Yes,30,1.5,Very soft,5,Silt,10,No,,0,Forest; meadow,20.12,0,0,213,,7.52,7.31,14370659950065.jpg,14370659950066.jpg,80.9,,DOC,Low gradient
LGSS-41,LGSS,SAMP-00,,,17,,40.72716,-73.31255,40.72738 -73.31251,6/25/2015,9:56,2,2,RSmith; Duffy; Mosher,2,2,No,10,0.1,Soft,6,Sand,20,No,,85,Residential; forest,15.93,0,0,262,Over hanging vegetation limited.  Difficult to find good sample spots in stream. Lots of mucky areas present; red midges present; sow bugs back swimmers,6.04,9.13,14355859100021.jpg,,93.4,,,Low gradient
LGSS-42,LGSS,TERR-01,,,17,10m below Fowen Rd culvert,40.80944,-72.77417,40.80930 -72.77440,6/25/2015,15:31,,,Duffy mosher RSmith ,,,No,10,0.1,Hard,0.3,Sand,10,Yes,,100,Forest,17.84,0,0,127,Within pine barrens; iron precipitate,6.11,11.32,14355859100024.jpg,,119,,,Low gradient
LGSS-T01,LGSS,Test02,,,,,42.8501,-76.0006,42.85014 -76.00067,7/3/2015,13:25,2,2,RSmith;JLopsberger ,2,2,No,20,0.5,Hard,12,Gravel,70,No,,15,Wetland; agriculture,14.55,0,0,560,Braided. Heavy sediment deposits.,7.66,10.82,14359571840007.jpg,14359571840008.jpg,106.2,0.14,,Low gradient
LGSS-43,LGSS,URIL-01,,,,Irish Settlement Rd,44.65233,-73.52236,44.65233 -73.52236,7/14/2015,16:46,2,2,RSmith; Jlojpsberger; CLawrence ,2,2,No,10,0.5,Hard,3.5,Gravel,10,No,,22,Residential ,23.98,0,0,314,Heavy beaver activity. Lots of woody debris. Lots of odonates. Iron precipitate along banks.,7.55,7.19,14370659950009.jpg,14370659950010.jpg,85.7,,DOC,Low gradient
LGSS-R03,LGSS_R,16,,,8,50m upstream of bridge,43.524287,75.135703,,6/19/2015,15:53,2,2,Rsmith; AJSmith; Emosher,2,2,Yes,25,0.5,Soft,8,Sand,60,No,0,17,Forest,19,0,0,70,Nice reference site. Small spill way at downstream end of reach probably makes water temp be a little high.,5.9,6.9,Yes,,75,2,DOC,Low gradient
LGSS-R05,LGSS_R,22,,,,Clip179_Adjusted,44.57062,-73.97394,44.57062 -73.97394,7/14/2015,14:52,2,2,RSmith; Jlojpsberger; CLawrence ,1,2,Yes,10,0.1,Very soft,0.2,Silt,20,No,,8,Wetlands; forest,21,0,0,71,Very mucky. Many side channels. Heavy vegetation growth along sides of main channel.,6.73,6.94,14370659950039.jpg,14370659950040.jpg,77.8,,DOC,Low gradient
LGSS-R06,LGSS_R,23,,,,Ref_Site_229,44.41233,-74.11144,44.41233 -74.11144,7/14/2015,13:49,2,2,RSmith; Jlojpsberger; CLAWRENCE ,2,2,Yes,70,0.3,Soft,4,Sand,50,No,,2,Forest; wetland,22.35,0,0,120,Beaver dam upstream of site. Chlorophyll meter was not working.,6.83,7.37,14370659950041.jpg,14370659950042.jpg,84.8,,DOC,Low gradient
LGSS-R07,LGSS_R,24,,,,Clip184_Adjusted,43.93636,-73.53655,43.93636 -73.53655,7/14/2015,10:08,2,2,RSmith; jlojpsberger; clawrence ,2,2,Yes,10,0.5,Soft,2,Sand,30,No,,95,Forest ,19.45,0,0,136,,6.97,7.37,14370659950025.jpg,14370659950026.jpg,80.5,0,DOC,Low gradient
LGSS-R08,LGSS_R,27,,,12,,43.31526,74.556118,,6/19/2015,14:06,2,2,Rsmith; AJSmith; Emosher,2,2,Yes,5,5.5,Soft,3.5,Sand,10,No,1,11.6,Forest; Wetland; Agriculture,15.73,0,0,18,,4.35,8.12,Yes,,81.7,1.11,DOC,Low gradient
LGSS-R02,LGSS_R,04_Adjusted,,,,,43.84061,-75.79467,43.84061 -75.79467,7/16/2015,9:39,2,2,RSmith; Jlojpsberger; CLawrence ,2,2,Yes,10,0.3,Soft,1,Clay,0,No,,,Wetlands; forest ,18.8,1,0,95,,6.8,5.03,14370659950019.jpg,14370659950020.jpg,54.5,,DOC,Low gradient
LGSS-R04,LGSS_R,19_Alternative,,,,,44.95903,-73.87795,44.95903 -73.87795,7/15/2015,8:35,2,2,RSmith; Jlojpsberger; CLawrence ,0,2,Yes,10,1,Hard,2.5,Gravel,10,No,,1,Meadow ,20.05,0,0,111,Water extremely dark from DOC staining.,6.54,4.2,14370659950037.jpg,14370659950038.jpg,47.2,,DOC,Low gradient
