NewID,WATER,DEVEL,NATURAL,FARM,WETLAND,Nat+Wetl,ELEV_M,SLOPE_PCT,DRNAREA,Condition
0,0.0,52.4,37.1,10.5,0.0,37.1,27.10162,2.4549,1.930086,Test
JOHN-12.7,0.2,6.2,19.6,57.2,16.8,36.4,141.23645,1.28647,77.118346,Test
LGSS-T01,1.1,6.1,30.0,57.4,5.3,35.4,443.06676,6.88841,4.682724,Test
IRON-08,1.1,7.4,27.0,57.0,7.4,34.5,208.5173,4.8408,24.095748,Test
YANT-0.2,0.0,2.8,26.6,63.1,7.5,34.1,103.26738,1.02351,2.769395,Test
MUSK-01,3.8,4.6,13.3,57.7,20.6,33.8,134.19616,5.61512,21.588323,Test
LGSS-11,0.1,58.0,12.2,8.2,21.5,33.7,121.74289,1.4104,23.360802,Test
WSCK-3.4,0.0,21.9,33.1,45.0,0.0,33.1,151.82836,2.78147,0.159653,Test
HARB-0.5,0.3,49.5,29.8,17.5,2.8,32.7,222.48844,6.05074,12.040634,Test
LGSS-03,0.0,6.9,20.7,61.1,11.2,31.9,187.75039,0.58373,0.26865,Test
MITL-0.5,0.0,68.4,4.5,0.0,27.1,31.6,12.7277,3.68181,0.954946,Test
LGSS-T12,7.0,62.9,24.5,1.1,4.6,29.1,72.7597,7.25631,32.417601,Test
LGSS-29,0.4,68.8,28.1,2.1,0.6,28.8,36.62674,2.34988,73.053115,Test
LGSS-12,0.0,14.7,19.1,56.7,9.6,28.6,126.13792,4.39277,1.40464,Test
MIDL-2.5,0.0,4.0,13.5,67.5,15.0,28.5,193.32985,1.48949,4.415271,Test
HRBT-2.2,2.0,4.5,14.4,65.9,13.3,27.7,219.61418,3.30929,5.579292,Test
GILL-0.3,3.8,52.9,15.3,16.4,11.7,27.0,185.17981,1.08765,12.157044,Test
LGSS-30,0.3,72.0,25.5,2.0,0.2,25.7,37.60824,2.23613,66.691078,Test
LGSS-06,0.4,49.6,16.1,24.6,9.3,25.4,231.86552,0.96253,0.807031,Test
0,0.0,9.9,20.3,68.8,0.9,21.2,218.29771,2.7564,2.899009,Test
SWAN-01,0.0,79.5,20.0,0.2,0.3,20.3,28.16346,1.69504,6.791498,Test
LGSS-05,0.0,7.5,14.9,73.8,3.8,18.7,273.12307,4.22794,4.500252,Test
LGSS-07,0.0,5.1,10.4,77.9,6.6,17.0,309.2845,4.46557,6.130221,Test
LGSS-02,1.6,3.4,8.6,78.3,8.1,16.7,145.69878,1.26273,0.132317,Test
LGSS-37,0.0,84.0,13.4,1.5,1.1,14.6,21.55075,1.14193,4.348437,Test
LGSS-41,0.1,85.8,13.7,0.1,0.3,14.0,47.59087,2.3769,20.702064,Test
LGSS-39,0.7,86.1,10.1,0.3,2.9,13.0,31.75396,3.67467,28.092484,Test
LSIS-2.0,0.1,86.5,12.1,0.5,0.8,12.9,47.01083,2.64986,39.212651,Test
LGSS-33,0.1,86.5,12.1,0.5,0.8,12.9,46.95895,2.64796,39.221879,Test
PACH-01,0.6,87.1,11.7,0.0,0.6,12.3,30.88851,2.54021,13.388672,Test
LGSS-28,0.2,87.7,10.7,0.3,1.2,11.9,41.5889,2.89314,37.063529,Test
LGSS-38,0.1,90.0,6.5,0.8,2.6,9.2,26.74748,2.60365,6.192924,Test
LGSS-01,0.0,5.2,1.5,88.4,4.9,6.4,290.54466,4.21076,0.313592,Test
POBK-01,0.4,11.9,5.2,81.8,0.6,5.8,151.11283,2.84993,0.793903,Test
MILR-5.3,0.1,96.5,3.4,0.0,0.0,3.4,37.0132,1.85584,8.502394,Test
MILR-3.5,0.1,97.0,2.9,0.0,0.0,2.9,33.92048,1.79022,9.842902,Test
OROW-01,0.0,97.5,2.0,0.0,0.4,2.5,29.99943,1.22659,7.747063,Test
GREN-01,0.0,98.5,1.3,0.0,0.2,1.5,25.24325,1.02499,6.935437,Test
LGSS-32,0.0,98.8,1.2,0.0,0.0,1.2,25.58877,1.0143,6.803661,Test
SAMP-01,0.0,98.9,0.0,0.0,1.1,1.1,4.70311,0.87395,0.09556,Test
LGSS-35,0.1,99.6,0.0,0.0,0.3,0.3,17.06485,0.68129,4.461256,Test
LGSS-25,0.0,100.0,0.0,0.0,0.0,0.0,7.82704,0.89167,0.260773,Test
