OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,URBNLCD2001,ExcludeCode,CSL10_85,GlobalWatershed_LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,ORIG_FID,Shape_Length,Shape_Area,OBJECTID_1,HydroID_1,DrainID_1,Slp,Slp_pct,Slp1085,ElevUP,ElevDS,Elev10,Elev85,SHAPE_Length_1
11,2,2,07-BLDY-0.1,SS v4 Batch,1,,4140201,3.125870279,0,19.85173,0,,0,0,0,27.08794926,3.500604215,89.49298964,0.30268235,0.116429285,0,0.009949589,16.2896878,18.73616,31.9569774,26.4292661,87.45356859,34.54730477,3.448559839,3.736398421,3.927478736,3.192713,19.47908,77.035838,3.492866079,38.77144,11.27705511,0,4773834.592,402205,4772225,1,20840,9045600,11,3,2,0.005154955,0.515495473,0.005130293,140.0858594,111.0459277,113.2842034,134.9599568,5633.401872
12,2,2,07-CANA-32.8,SS v4 Batch,1,,4140201,1038.584398,0,12.23689,0,,0,0,0,15.76168613,31.62477707,555.5339115,0.02837214,3.016766439,36.34715946,9.678069636,50.02396947,12.1601,0.606652577,67.39897517,7.028022906,1.12753102,3.185846453,3.931379917,3.263752359,5.957271,34.97566,75.302096,186.9524751,31.83879,10.43475196,0,4733476.553,314965,4750725,1,176640,484157500,12,3,2,0.008232247,0.823224711,0.002985168,625.2657031,206.304707,206.304707,320.2470671,50892.6652
13,2,2,07-COWA_T10-0.9,SS v4 Batch,1,,4140202,2.366672828,0,20.10865,0,,0,0,0,42.57168651,2.016918085,228.8584118,0.186017566,0.07062914,0,0.474216795,37.48553079,20.38977,13.40953144,55.592493,36.69765879,13.77547515,3.562862989,3.969913382,3.463566138,0,20.12621,77.172674,1.03412097,39.6205,11.26758267,0,4770107.207,445005,4771245,1,9360,2678100,13,3,2,0.008990383,0.899038253,0.008062819,160,130.8194043,130.8376498,150.4651133,3245.756852
14,2,2,07-GEDD-1.4,SS v4 Batch,1,,4140201,30.67878347,0,18.64316,0,,0,0,0,110.4895122,6.763996715,365.0688828,0.302653875,0.095608188,0,1.179984377,35.08845288,18.08939,54.80671367,88.6871361,45.72025916,14.54688692,3.479228343,3.885048421,3.815516138,1.652617,72.88073,76.074116,8.403560237,38.1042,11.31662204,0,4764721.978,399525,4767965,1,35920,21763000,14,3,2,0.018629784,1.862978368,0.020926044,328.5964453,125.81,133.0930607,303.9291053,10885.06709
15,2,2,07-HARB-0.5,SS v4 Batch,1,,4140201,45.57139562,0,18.89334,0,,0,0,0,81.39890314,9.183469523,378.4043067,0.215110932,0.180067736,0,0.401753222,32.38971024,18.25659,26.11069243,94.94031902,49.29540886,15.62600078,3.490256296,3.902796846,3.862857083,1.080085,63.27885,76.091774,12.04304359,38.26933,11.37973227,0,4763657.879,403485,4767745,1,45640,31188300,15,3,2,0.015303081,1.530308058,0.015416459,340.2889453,114.1302051,114.1570808,285.0328194,14778.6414
16,2,2,07-HENC_T4-1.2,SS v4 Batch,1,,4140201,1.772923341,0,11.50684,0,,0,0,0,226.6730533,1.763941332,323.2926967,0.70113876,0.008488477,98.27476038,0,35.93155894,13.07479,183.7905969,232.6839139,2.006759611,0.31657513,3.375395272,4.177925193,3.929837398,1.422335,27.24968,74.715782,0.548395729,32.42093,11.7745118,0,4702225.816,356855,4703635,1,8200,1420200,16,3,2,0.041601971,4.160197085,0.042930503,477.1134375,359.02,365.815452,457.2139575,2838.650071
17,2,2,07-JACB-1.9,SS v4 Batch,1,,4140201,9.106175523,0,11.97833,0,,0,0,0,128.2974093,3.654295272,254.435275,0.504243792,0.048274712,0,0.019420409,13.97622079,11.48025,33.04271727,167.3230822,3.290680362,0.336372268,2.990061021,3.57756417,3.159215351,1.507552,66.84279,76.291286,3.578975252,31.30671,9.752216526,0,4729140.631,331945,4727675,1,18000,9268600,17,3,2,0.019041048,1.904104806,0.024298752,354.5666406,242.5913477,243.157345,350.3281729,5880.731599
18,2,2,07-LITR-0.2,Reran single basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,44.3,,,,,,,,,,,,,0.28,0.002,233.82,137.86,138.651,182.308,34408.624
19,2,2,07-NINE-0.7,SS v4 Batch,1,,4140201,562.9692785,0,17.9299,0,,0,0,0,16.31951047,37.9546836,489.2802532,0.033354116,1.473909775,17.95613648,4.344130147,45.21519796,18.77106,23.01584732,26.611566,13.47081384,3.56488626,3.517752752,4.002263775,3.767722043,2.789957,62.30228,75.391718,115.0606988,38.62477,11.33109054,0,4756637.811,400145,4770525,1,193900,297976800,19,3,2,0.007034521,0.703452117,0.003090816,539.82,110.1573145,121.1090294,262.6973941,61079.1659
20,2,2,07-NORB_T10-1.5,SS v4 Batch,1,,4140201,0.67978121,0,15.85384,0,,0,0,0,62.32580104,1.766332338,165.1457479,0.377398708,0.02398041,0,0,41.0412758,16.29629,91.76596609,57.48479414,19.32457786,8.272701689,3.226139367,3.847820469,3.639591335,0,70.07505,76.16102,0.411625016,35.97093,10.83681101,0,4758145.012,372695,4758885,1,8700,1066000,20,3,2,0.013969393,1.396939279,0.011804129,212.4179688,172.71,175.2476094,200.4125177,2842.497834
21,2,2,07-SNDR-1.5,SS v4 Batch,1,,4140201,1.126035192,0,20.43832,0,,0,0,0,19.11998086,1.69628748,122.7380589,0.155778732,0.08761967,0,0,23.76362642,18.74932,5.867181545,53.57794258,77.76421567,38.77600067,3.44325354,3.763690154,4.038464563,1.481544,16.14546,77.1665,0.917429526,38.83146,11.34498818,0,4771770.633,412095,4771055,1,9200,2375900,21,3,2,0.006178683,0.617868252,0.003621208,138.5664258,121.7,121.8388932,129.2527121,2729.777054
22,2,2,08-BENE-0.2,SS v4 Batch,1,,4150101,54.54050637,0,25.67889,0,,0,0,0,74.0575754,6.075793239,645.4900934,0.11473077,0.082040407,100,27.07488838,72.87804076,31.19076,42.61717959,124.7455957,0.089114748,0.004144978,4.001122043,4.137303145,4.612988184,9.394724,0.5951951,72.47192,8.449472258,48.43518,13.3960866,0,4839028.556,523515,4835915,1,34740,21881900,22,3,2,0.013762673,1.376267309,0.014026056,695.12,560.5545703,568.6826205,671.538125,9777.564928
23,2,2,08-MURM-3.4,SS v4 Batch,1,,4150101,49.79540642,0,25.72932,0,,0,0,0,55.80504979,9.902024379,358.6810094,0.155584066,0.13701661,42.90686029,4.117864663,85.11088056,22.67271,64.64767209,78.55769968,0.149083111,0.026172986,3.617710233,3.75062598,4.022070862,36.82969,19.33796,73.251662,13.88292246,39.89164,11.87377952,0,4859674.48,472105,4859045,1,53320,35953100,23,3,2,0.011952649,1.195264938,0.010569138,461.24,270.7746875,285.67,411.9843101,15934.987
24,2,2,11-MOSE-12.8,SS v4 Batch,1,,2020003,127.1240347,0,19.49953,0,,0,0,0,26.09683799,13.04754652,566.5840901,0.046059956,0.374943744,0.007743654,5.905616833,40.89168533,18.62709,14.88808267,75.21737621,6.108522916,1.416468608,3.974437004,3.754491729,3.834137004,5.261618,0.5114816,76.966736,22.43692276,37.91484,11.81135038,0,4791329.239,621235,4785225,1,60240,58105700,24,3,2,0.012718811,1.271881093,0.004942583,331.72,64.66354004,67.76135453,145.5957948,20996.96752
25,2,2,11-ROWL-0.5,SS v4 Batch,1,,2020003,29.84684049,0,18.06382,0,,0,0,0,41.90335047,9.432591883,258.9418218,0.161825348,0.280087689,0,6.9211571,74.64364081,18.60571,35.96603479,29.68111796,16.62015712,3.495415487,4.107110232,4.051775586,3.772974799,34.7964,48.19532,77.602046,11.52646578,38.45111,11.86908267,0,4770123.998,595475,4769195,1,45300,29850500,25,3,2,0.007529928,0.752992765,0.007936241,208.05,93.74912109,94.94206561,185.2934595,15179.54544
26,2,2,11-TOMH-12.2,SS v4 Batch,1,,2020003,42.43183318,0,16.76511,0,,0,0,0,217.3441983,5.082389732,655.9061297,0.331364791,0.034708746,7.551425963,3.689378339,73.53866356,19.43763,52.35936317,400.8347075,3.323484645,0.513558361,4.169496059,4.192051177,4.034712594,4.450413,0.7595607,76.201592,6.469192962,39.24228,12.53744881,0,4738338.404,618925,4739725,1,27940,16753500,26,3,2,0.03501799,3.501799018,0.041163674,434.91,148.5008398,148.5008398,401.006478,8178.914857
27,2,2,13-BASC_T17-2.4,SS v4 Batch,1,,2020006,4.309058968,0,15.9315,0,,0,0,0,115.8508825,3.336680212,371.3091058,0.312006568,0.02770625,100,2.455579956,84.80069209,20.68745,147.7369007,96.51130199,2.475544021,0.422439609,4.449842515,4.548437003,4.121736216,3.666733,19.82631,73.506614,1.160504523,40.9397,12.51940156,0,4711821.116,575795,4709695,1,13540,3005400,27,3,2,0.021976478,2.197647843,0.021941455,538.125,420.12,427.5252346,515.8879382,5369.604615
28,2,2,13-BLKH-8.2,SS v4 Batch,1,,2020008,77.67174584,0,14.82465,0,,0,0,0,29.57870391,12.28391002,468.4579691,0.063140572,0.348957587,0,6.785968802,75.05298263,17.53438,23.39296155,49.79996716,9.657976739,1.827507185,4.815295271,4.247370074,4.494192909,12.44625,0.5206411,78.392084,16.58030196,38.63371,12.78380707,0,4617297.519,584375,4621895,1,46380,42938600,28,3,2,0.007049482,0.704948194,0.005602027,231.5128516,92.15817383,92.33679688,175.3927621,19768.07358
29,2,2,13-BLKK-1.1,SS v4 Batch,1,,2020006,76.14026329,0,15.72035,0,,0,0,0,26.62799619,12.78448836,382.3209142,0.069648285,0.511814647,25.27056277,4.905642817,58.59393935,20.13188,2.108282898,199.7339103,10.83212313,3.176287874,3.82708228,3.974948815,3.605160233,7.007812,7.884654,76.319834,19.91527548,40.22514,11.18188188,0,4724733.497,582895,4729195,1,52560,51575300,29,3,2,0.015506487,1.550648739,0.005043181,412.8714453,93.84660156,96.50652082,174.323954,20573.63707
30,2,2,13-EBCR-16.3,SS v4 Batch,1,,2020009,358.268925,0,11.82074,0,,0,0,0,42.94425969,13.39023195,669.7623816,0.06411865,0.827846887,1.407718742,7.985779254,75.88392406,24.37036,1.604903718,99.43486147,9.619793547,1.992383599,4.593637791,4.212350389,4.619807082,0.7673674,45.17167,77.520236,53.49194503,45.36457,13.37292912,0,4596645.317,618755,4592745,1,94040,138530000,30,3,2,0.011155885,1.115588511,0.008133383,370.0577344,129.6658203,129.7057855,261.1520606,21548.43938
31,2,2,13-FISH-16.3,SS v4 Batch,1,,2020008,340.8575364,0,12.8671,0,,0,0,0,29.62107859,19.12535192,608.3461397,0.048691159,0.640793396,2.212436037,5.074932772,70.79916804,21.41128,12.00559057,67.49403285,14.24087926,3.206257055,4.454133854,4.251311019,4.583429129,5.037324,29.55911,77.898344,56.03019632,42.39145,13.19568503,0,4608166.252,600885,4604705,1,99420,145103400,31,3,2,0.010178806,1.017880637,0.005610053,385.23,71.9490332,85.0813125,214.58,30777.77054
32,2,2,13-IDNK-0.5,SS v4 Batch,1,,2020008,13.53659331,0,15.50342,0,,0,0,0,77.88167514,4.576770688,317.9700593,0.244933988,0.071579028,0,2.248526077,86.66485261,17.15158,117.8591193,33.39649586,15.04852608,2.289052154,4.538326767,3.846932673,4.363858263,7.162812,33.83543,79.671866,4.257191178,38.09101,12.00875983,0,4632944.413,588455,4632435,1,29080,11025000,32,3,2,0.014508864,1.450886389,0.014750317,108.13,1.26874207,5.165275037,86.64498991,7365.239533
33,2,2,13-NOST-0.3,SS v4 Batch,1,,2020006,116.0002347,0,16.06866,0,,0,0,0,36.84364536,7.042346913,969.0987409,0.038018464,0.253888155,25.98884823,3.610450693,69.56892019,23.73893,33.10397014,21.56030732,3.852717354,0.753552545,4.428633854,4.184015744,4.390803145,12.69405,7.602567,75.736364,11.96990872,43.68119,13.06648424,0,4658259.976,620325,4661575,1,35040,30998900,33,3,2,0.006826122,0.68261223,0.006977963,238.6804883,161.32,165.2756764,224.5866525,11333.00649
34,2,2,13-RHIN-4.3,SS v4 Batch,1,,2020008,12.10750142,0,15.99844,0,,0,0,0,23.90298108,3.588590809,280.8903566,0.085097193,0.164407151,0,4.792704339,55.39291217,17.9428,12.65236116,33.89785262,14.73286272,4.197970043,4.48624409,3.858587004,4.289062988,4.640413,58.51682,79.574468,4.310401241,38.45868,12.01132282,0,4646760.127,591495,4645665,1,24880,11162800,34,3,2,0.00518545,0.518545015,0.00452708,75.30549316,45.35954102,46.8480562,66.45595565,5774.995667
35,2,2,16-SWEL-0.1,SS v4 Batch,1,,1100005,16.16142038,0,14.21238,0,,0,0,0,225.0118095,4.523052637,618.3616373,0.363883842,0.021200448,10.31366295,0.534830465,69.91800251,21.18962,273.890033,164.5824137,2.294452242,0.254679767,4.509031492,4.149633854,4.600685035,0,39.54386,76.504766,2.613587165,41.55885,13.13306692,0,4621774.817,618035,4621285,1,19820,6768500,35,3,2,0.03741169,3.741168985,0.042615873,388.27,115.9580566,121.2424113,353.8864974,7278.792924
36,2,2,16-SWMP-6.8,SS v4 Batch,1,,1100005,119.7329057,0,12.59459,0,,0,0,0,21.41856345,11.5751465,655.4283137,0.032678728,0.912361448,0.639281569,7.079414065,72.78826439,22.80707,1.434090025,65.12756088,13.19283857,3.45203661,4.542421255,4.212921256,4.676850389,0.3910461,28.42195,77.758736,18.2678873,44.10669,13.35646849,0,4605964.655,619205,4611555,1,62380,47309000,36,3,2,0.009118783,0.911878343,0.004056546,295.59,125.73,125.73,182.4024383,18627.48484
